"","RFID","Date","Weight","stationname"
"1","900 001000731902",2020-03-04,368,"Anguil"
"2","900 081000633216",2020-03-04,411,"Anguil"
"3","900 081000633220",2020-03-04,576,"Anguil"
"4","900 081000633222",2020-03-04,437,"Anguil"
"5","900 081000633235",2020-03-04,433,"Anguil"
"6","900 081000633244",2020-03-04,540,"Anguil"
"7","900 081000633247",2020-03-04,467,"Anguil"
"8","900 081000633251",2020-03-04,473,"Anguil"
"9","900 081000633257",2020-03-04,556,"Anguil"
"10","900 081000633260",2020-03-04,475,"Anguil"
"11","900 081000637563",2020-03-04,392,"Anguil"
"12","900 081000637564",2020-03-04,660,"Anguil"
"13","900 081000637565",2020-03-04,423,"Anguil"
"14","900 081000637566",2020-03-04,516,"Anguil"
"15","900 081000637567",2020-03-04,485,"Anguil"
"16","900 081000637569",2020-03-04,450,"Anguil"
"17","900 081000637570",2020-03-04,489,"Anguil"
"18","900 081000637572",2020-03-04,588,"Anguil"
"19","900 081000637573",2020-03-04,626,"Anguil"
"20","900 081000637574",2020-03-04,486,"Anguil"
"21","900 081000637575",2020-03-04,594,"Anguil"
"22","900 081000637577",2020-03-04,520,"Anguil"
"23","900 081000637578",2020-03-04,441,"Anguil"
"24","900 081000637579",2020-03-04,427,"Anguil"
"25","900 081000637580",2020-03-04,400,"Anguil"
"26","900 081000637581",2020-03-04,506,"Anguil"
"27","900 081000637583",2020-03-04,475,"Anguil"
"28","900 081000637584",2020-03-04,401,"Anguil"
"29","900 081000637585",2020-03-04,528,"Anguil"
"30","900 081000637586",2020-03-04,449,"Anguil"
"31","900 081000637587",2020-03-04,479,"Anguil"
"32","900 081000637588",2020-03-04,480,"Anguil"
"33","900 081000637589",2020-03-04,536,"Anguil"
"34","900 081000637590",2020-03-04,448,"Anguil"
"35","900 081000637591",2020-03-04,536,"Anguil"
"36","900 081000637592",2020-03-04,520,"Anguil"
"37","900 081000637593",2020-03-04,329,"Anguil"
"38","900 081000637594",2020-03-04,461,"Anguil"
"39","900 081000637596",2020-03-04,417,"Anguil"
"40","900 081000637597",2020-03-04,504,"Anguil"
"41","900 081000637598",2020-03-04,347,"Anguil"
"42","900 081000637599",2020-03-04,526,"Anguil"
"43","900 081000637600",2020-03-04,528,"Anguil"
"44","900 081000637601",2020-03-04,516,"Anguil"
"45","900 081000637602",2020-03-04,512,"Anguil"
"46","900 081000637603",2020-03-04,436,"Anguil"
"47","900 081000637604",2020-03-04,342,"Anguil"
"48","900 081000637605",2020-03-04,408,"Anguil"
"49","900 081000637606",2020-03-04,466,"Anguil"
"50","900 081000637607",2020-03-04,476,"Anguil"
"51","900 081000637608",2020-03-04,387,"Anguil"
"52","900 081000637609",2020-03-04,465,"Anguil"
"53","900 081000637611",2020-03-04,440,"Anguil"
"54","964 001026850010",2020-03-04,436,"Anguil"
"55","964 001026850011",2020-03-04,465,"Anguil"
"56","964 001026850012",2020-03-04,490,"Anguil"
"57","964 001026850013",2020-03-04,431,"Anguil"
"58","964 001026850014",2020-03-04,430,"Anguil"
"59","964 001026850020",2020-03-04,406,"Anguil"
"60","964 001026850021",2020-03-04,438,"Anguil"
"61","964 001026850022",2020-03-04,467,"Anguil"
"62","964 001026850023",2020-03-04,406,"Anguil"
"63","964 001026850024",2020-03-04,376,"Anguil"
"64","964 001026850035",2020-03-04,465,"Anguil"
"65","964 001026850036",2020-03-04,542,"Anguil"
"66","964 001026850037",2020-03-04,465,"Anguil"
"67","964 001026850038",2020-03-04,510,"Anguil"
"68","964 001026850039",2020-03-04,530,"Anguil"
"69","964 001026850056",2020-03-04,440,"Anguil"
"70","964 001026850057",2020-03-04,550,"Anguil"
"71","964 001026850058",2020-03-04,461,"Anguil"
"72","964 001026850059",2020-03-04,472,"Anguil"
"73","964 001026850060",2020-03-04,504,"Anguil"
"74","964 001026850061",2020-03-04,480,"Anguil"
"75","964 001026850062",2020-03-04,445,"Anguil"
"76","964 001026850063",2020-03-04,481,"Anguil"
"77","964 001026850064",2020-03-04,433,"Anguil"
"78","964 001026850065",2020-03-04,514,"Anguil"
"79","964 001026850066",2020-03-04,466,"Anguil"
"80","964 001026850068",2020-03-04,510,"Anguil"
"81","964 001026850069",2020-03-04,534,"Anguil"
"82","964 001026850085",2020-03-04,466,"Anguil"
"83","964 001026850086",2020-03-04,428,"Anguil"
"84","964 001026850087",2020-03-04,443,"Anguil"
"85","964 001026850088",2020-03-04,618,"Anguil"
"86","964 001026850089",2020-03-04,478,"Anguil"
"87","964 001026850090",2020-03-04,439,"Anguil"
"88","964 001026850091",2020-03-04,514,"Anguil"
"89","964 001026850092",2020-03-04,516,"Anguil"
"90","964 001026850093",2020-03-04,491,"Anguil"
"91","964 001026850094",2020-03-04,570,"Anguil"
"92","964 001026850095",2020-03-04,472,"Anguil"
"93","964 001026850096",2020-03-04,480,"Anguil"
"94","964 001026850097",2020-03-04,526,"Anguil"
"95","964 001026850098",2020-03-04,437,"Anguil"
"96","964 001026850099",2020-03-04,540,"Anguil"
"97","964 001026850100",2020-03-04,401,"Anguil"
"98","964 001026850101",2020-03-04,512,"Anguil"
"99","964 001026850102",2020-03-04,604,"Anguil"
"100","964 001026850103",2020-03-04,442,"Anguil"
"101","964 001026850104",2020-03-04,372,"Anguil"
"102","964 001026850106",2020-03-04,476,"Anguil"
"103","964 001026850107",2020-03-04,458,"Anguil"
"104","964 001026850109",2020-03-04,524,"Anguil"
"105","964 001026850110",2020-03-04,457,"Anguil"
"106","964 001026850111",2020-03-04,497,"Anguil"
"107","964 001026850112",2020-03-04,506,"Anguil"
"108","964 001026850113",2020-03-04,452,"Anguil"
"109","964 001026850114",2020-03-04,449,"Anguil"
"110","964 001026850115",2020-03-04,594,"Anguil"
"111","964 001026850116",2020-03-04,508,"Anguil"
"112","964 001026850117",2020-03-04,512,"Anguil"
"113","964 001026850118",2020-03-04,534,"Anguil"
"114","964 001026850119",2020-03-04,400,"Anguil"
"115","964 001026850120",2020-03-04,466,"Anguil"
"116","964 001026850121",2020-03-04,506,"Anguil"
"117","964 001026850122",2020-03-04,387,"Anguil"
"118","964 001026850123",2020-03-04,429,"Anguil"
"119","964 001026850124",2020-03-04,514,"Anguil"
"120","964 001026850125",2020-03-04,377,"Anguil"
"121","964 001026850126",2020-03-04,397,"Anguil"
"122","964 001026850127",2020-03-04,477,"Anguil"
"123","964 001026850128",2020-03-04,532,"Anguil"
"124","964 001026850129",2020-03-04,459,"Anguil"
"125","964 001026850130",2020-03-04,407,"Anguil"
"126","964 001026850131",2020-03-04,455,"Anguil"
"127","964 001026850132",2020-03-04,516,"Anguil"
"128","964 001026850133",2020-03-04,427,"Anguil"
"129","964 001026850134",2020-03-04,485,"Anguil"
"130","964 001026850135",2020-03-04,470,"Anguil"
"131","964 001026850136",2020-03-04,524,"Anguil"
"132","964 001026850137",2020-03-04,536,"Anguil"
"133","964 001026850138",2020-03-04,476,"Anguil"
"134","964 001026850139",2020-03-04,473,"Anguil"
"135","964 001026850140",2020-03-04,460,"Anguil"
"136","964 001026850141",2020-03-04,458,"Anguil"
"137","964 001026850142",2020-03-04,438,"Anguil"
"138","964 001026850143",2020-03-04,470,"Anguil"
"139","964 001026850144",2020-03-04,419,"Anguil"
"140","964 001026850146",2020-03-04,492,"Anguil"
"141","964 001026850147",2020-03-04,459,"Anguil"
"142","964 001026850148",2020-03-04,390,"Anguil"
"143","964 001026850149",2020-03-04,502,"Anguil"
"144","964 001026850150",2020-03-04,476,"Anguil"
"145","964 001026850151",2020-03-04,532,"Anguil"
"146","964 001026850152",2020-03-04,494,"Anguil"
"147","964 001026850153",2020-03-04,448,"Anguil"
"148","964 001026850154",2020-03-04,415,"Anguil"
"149","964 001026850155",2020-03-04,481,"Anguil"
"150","964 001026850156",2020-03-04,381,"Anguil"
"151","964 001026850157",2020-03-04,359,"Anguil"
"152","964 001026850158",2020-03-04,522,"Anguil"
"153","964 001026850159",2020-03-04,594,"Anguil"
"154","964 001026850160",2020-03-04,491,"Anguil"
"155","964 001026850161",2020-03-04,520,"Anguil"
"156","964 001026850162",2020-03-04,458,"Anguil"
"157","964 001026850163",2020-03-04,435,"Anguil"
"158","964 001026850164",2020-03-04,546,"Anguil"
"159","964 001026850165",2020-03-04,500,"Anguil"
"160","964 001026850166",2020-03-04,454,"Anguil"
"161","964 001026850167",2020-03-04,440,"Anguil"
"162","964 001026850168",2020-03-04,463,"Anguil"
"163","964 001026850169",2020-03-04,449,"Anguil"
"164","964 001026850170",2020-03-04,447,"Anguil"
"165","964 001026850171",2020-03-04,556,"Anguil"
"166","964 001026850172",2020-03-04,588,"Anguil"
"167","964 001026850173",2020-03-04,374,"Anguil"
"168","964 001026850174",2020-03-04,469,"Anguil"
"169","964 001026850175",2020-03-04,447,"Anguil"
"170","964 001026850176",2020-03-04,464,"Anguil"
"171","964 001026850177",2020-03-04,438,"Anguil"
"172","964 001026850178",2020-03-04,462,"Anguil"
"173","964 001026850179",2020-03-04,454,"Anguil"
"174","964 001026850180",2020-03-04,572,"Anguil"
"175","964 001026850181",2020-03-04,470,"Anguil"
"176","964 001026850182",2020-03-04,502,"Anguil"
"177","964 001026850183",2020-03-04,424,"Anguil"
"178","964 001026850184",2020-03-04,481,"Anguil"
"179","964 001026850185",2020-03-04,471,"Anguil"
"180","964 001026850186",2020-03-04,487,"Anguil"
"181","964 001026850187",2020-03-04,480,"Anguil"
"182","964 001026850188",2020-03-04,451,"Anguil"
"183","964 001026850189",2020-03-04,552,"Anguil"
"184","964 001026850190",2020-03-04,493,"Anguil"
"185","964 001026850191",2020-03-04,407,"Anguil"
"186","964 001026850192",2020-03-04,508,"Anguil"
"187","964 001026850193",2020-03-04,475,"Anguil"
"188","964 001026850194",2020-03-04,441,"Anguil"
"189","964 001026850195",2020-03-04,427,"Anguil"
"190","964 001026850196",2020-03-04,419,"Anguil"
"191","964 001026850197",2020-03-04,448,"Anguil"
"192","964 001026850198",2020-03-04,430,"Anguil"
"193","964 001026850199",2020-03-04,473,"Anguil"
"194","964 001026850505",2020-03-04,473,"Anguil"
"195","964 001026850506",2020-03-04,468,"Anguil"
"196","964 001026850515",2020-03-04,556,"Anguil"
"197","964 001026850516",2020-03-04,403,"Anguil"
"198","964 001026850517",2020-03-04,405,"Anguil"
"199","964 001026850518",2020-03-04,538,"Anguil"
"200","964 001026850519",2020-03-04,473,"Anguil"
"201","964 001026850525",2020-03-04,502,"Anguil"
"202","964 001026850526",2020-03-04,518,"Anguil"
"203","964 001026850527",2020-03-04,495,"Anguil"
"204","964 001026850528",2020-03-04,489,"Anguil"
