"","RFID","Date","Weight","stationname"
"1","982 126059232675",2019-12-12,390,"Belcarce"
"2","982 126059232675",2020-02-12,435,"Belcarce"
"3","982 126059232675",2020-04-02,451,"Belcarce"
"4","982 126059232676",2019-12-12,346,"Belcarce"
"5","982 126059232676",2020-02-12,389,"Belcarce"
"6","982 126059232676",2020-04-02,424,"Belcarce"
"7","982 126059232677",2019-12-12,429,"Belcarce"
"8","982 126059232677",2020-02-12,478,"Belcarce"
"9","982 126059232677",2020-04-02,506,"Belcarce"
"10","982 126059232678",2019-12-12,400,"Belcarce"
"11","982 126059232678",2020-02-12,56,"Belcarce"
"12","982 126059232678",2020-04-02,448,"Belcarce"
"13","982 126059232679",2019-12-12,309,"Belcarce"
"14","982 126059232679",2020-02-12,356,"Belcarce"
"15","982 126059232679",2020-04-02,388,"Belcarce"
"16","982 126059232680",2019-12-12,432,"Belcarce"
"17","982 126059232680",2020-02-12,498,"Belcarce"
"18","982 126059232680",2020-04-02,514,"Belcarce"
"19","982 126059232681",2019-12-12,416,"Belcarce"
"20","982 126059232681",2020-02-12,469,"Belcarce"
"21","982 126059232681",2020-04-02,485,"Belcarce"
"22","982 126059232682",2019-12-12,394,"Belcarce"
"23","982 126059232682",2020-02-12,449,"Belcarce"
"24","982 126059232682",2020-04-02,468,"Belcarce"
"25","982 126059232683",2019-12-12,421,"Belcarce"
"26","982 126059232683",2020-02-12,465,"Belcarce"
"27","982 126059232683",2020-04-02,480,"Belcarce"
"28","982 126059232684",2019-12-12,404,"Belcarce"
"29","982 126059232684",2020-02-12,467,"Belcarce"
"30","982 126059232684",2020-04-02,482,"Belcarce"
"31","982 126059232685",2019-12-12,333,"Belcarce"
"32","982 126059232685",2020-02-12,371,"Belcarce"
"33","982 126059232685",2020-04-02,387,"Belcarce"
"34","982 126059232686",2019-12-12,0,"Belcarce"
"35","982 126059232686",2020-02-12,455,"Belcarce"
"36","982 126059232686",2020-04-02,487,"Belcarce"
"37","982 126059232687",2019-12-12,404,"Belcarce"
