,RFID,Date,Weight,stationname
1,942 000002126815,05-03-18 0:00,510,Belmont
2,942 000002126815,24-05-18 0:00,580,Belmont
3,942 000002126815,14-08-18 0:00,588,Belmont
4,942 000002126815,25-02-19 0:00,570,Belmont
5,942 000002126815,20-05-19 0:00,558,Belmont
6,942 000002126815,27-08-19 0:00,548,Belmont
7,942 000002126815,11-11-19 0:00,425,Belmont
8,942 000002679208,19-12-17 0:00,586,Belmont
9,942 000002679208,11-01-18 0:00,624,Belmont
10,942 000002679208,01-02-18 0:00,672,Belmont
11,942 000002679208,26-02-18 0:00,580,Belmont
12,942 000002679208,09-03-18 0:00,594,Belmont
13,942 000002679208,14-03-18 0:00,624,Belmont
14,942 000002679208,05-04-18 0:00,632,Belmont
15,942 000002679208,24-05-18 0:00,660,Belmont
16,942 000002679208,22-08-18 0:00,666,Belmont
17,942 000002679208,05-11-18 0:00,580,Belmont
18,942 000002679208,21-12-18 0:00,538,Belmont
19,942 000002679208,28-02-19 0:00,624,Belmont
20,942 000002679208,02-04-19 0:00,614,Belmont
21,942 000002679208,24-05-19 0:00,602,Belmont
22,942 000002679208,28-08-19 0:00,642,Belmont
23,942 000002679208,24-03-20 0:00,596,Belmont
24,942 000002679416,09-03-18 0:00,526,Belmont
25,942 000002679416,21-05-18 0:00,584,Belmont
26,942 000002679416,22-08-18 0:00,574,Belmont
27,942 000002679416,19-12-18 0:00,495,Belmont
28,942 000002679416,01-03-19 0:00,524,Belmont
29,942 000002679416,02-04-19 0:00,538,Belmont
30,942 000002679416,23-05-19 0:00,500,Belmont
31,942 000002679416,28-08-19 0:00,560,Belmont
32,942 000002679416,24-03-20 0:00,462,Belmont
33,942 000002679476,05-03-18 0:00,504,Belmont
34,942 000002679476,24-05-18 0:00,570,Belmont
35,942 000002679476,14-08-18 0:00,572,Belmont
36,942 000002679476,20-05-19 0:00,440,Belmont
37,942 000002679476,27-08-19 0:00,514,Belmont
38,942 000002679476,11-11-19 0:00,388,Belmont
39,942 000002679490,19-12-17 0:00,596,Belmont
40,942 000002679490,11-01-18 0:00,642,Belmont
41,942 000002679490,01-02-18 0:00,674,Belmont
42,942 000002679490,26-02-18 0:00,602,Belmont
43,942 000002679490,09-03-18 0:00,594,Belmont
44,942 000002679490,14-03-18 0:00,642,Belmont
45,942 000002679490,05-04-18 0:00,662,Belmont
46,942 000002679490,24-05-18 0:00,732,Belmont
47,942 000002679490,22-08-18 0:00,712,Belmont
48,942 000002679490,05-11-18 0:00,584,Belmont
49,942 000002679490,21-12-18 0:00,548,Belmont
50,942 000002679490,28-02-19 0:00,654,Belmont
51,942 000002679490,02-04-19 0:00,600,Belmont
52,942 000002679490,24-05-19 0:00,636,Belmont
53,942 000002679490,28-08-19 0:00,672,Belmont
54,942 000002679490,24-03-20 0:00,638,Belmont
55,942 000002679646,09-03-18 0:00,534,Belmont
56,942 000002679646,21-05-18 0:00,578,Belmont
57,942 000002679646,14-08-18 0:00,590,Belmont
58,942 000002679646,19-12-18 0:00,494,Belmont
59,942 000002679646,01-03-19 0:00,550,Belmont
60,942 000002679646,24-05-19 0:00,499,Belmont
61,942 000002679646,26-08-19 0:00,574,Belmont
62,942 000002679646,11-11-19 0:00,482,Belmont
63,942 000002679646,24-03-20 0:00,495,Belmont
64,942 000002679679,09-03-18 0:00,524,Belmont
65,942 000002679679,21-05-18 0:00,564,Belmont
66,942 000002679679,14-08-18 0:00,562,Belmont
67,942 000002679679,19-12-18 0:00,107.5,Belmont
68,942 000002679679,01-03-19 0:00,451,Belmont
69,942 000002679679,24-05-19 0:00,418,Belmont
70,942 000002679679,26-08-19 0:00,497,Belmont
71,942 000002679679,11-11-19 0:00,403,Belmont
72,942 000002679679,24-03-20 0:00,423,Belmont
73,942 000002679726,09-03-18 0:00,544,Belmont
74,942 000002679726,21-05-18 0:00,606,Belmont
75,942 000002679726,14-08-18 0:00,620,Belmont
76,942 000002679726,19-12-18 0:00,459,Belmont
77,942 000002679726,01-03-19 0:00,490,Belmont
78,942 000002679726,02-04-19 0:00,508,Belmont
79,942 000002679726,23-05-19 0:00,522,Belmont
80,942 000002679726,28-08-19 0:00,536,Belmont
81,942 000002679726,24-03-20 0:00,482,Belmont
82,942 000002679907,09-03-18 0:00,572,Belmont
83,942 000002679907,21-05-18 0:00,630,Belmont
84,942 000002679907,14-08-18 0:00,616,Belmont
85,942 000002679907,19-12-18 0:00,592,Belmont
86,942 000002679907,01-03-19 0:00,588,Belmont
87,942 000002679907,24-05-19 0:00,538,Belmont
88,942 000002679907,26-08-19 0:00,634,Belmont
89,942 000002679907,11-11-19 0:00,592,Belmont
90,942 000002679907,24-03-20 0:00,538,Belmont
91,942 000002679947,19-12-17 0:00,514,Belmont
92,942 000002679947,11-01-18 0:00,546,Belmont
93,942 000002679947,01-02-18 0:00,582,Belmont
94,942 000002679947,26-02-18 0:00,510,Belmont
95,942 000002679947,09-03-18 0:00,506,Belmont
96,942 000002679947,14-03-18 0:00,552,Belmont
97,942 000002679947,05-04-18 0:00,556,Belmont
98,942 000002679947,24-05-18 0:00,562,Belmont
99,942 000002679947,22-08-18 0:00,596,Belmont
100,942 000002679947,05-11-18 0:00,463,Belmont
101,942 000002679947,21-12-18 0:00,483,Belmont
102,942 000002679947,28-02-19 0:00,548,Belmont
103,942 000002679947,02-04-19 0:00,522,Belmont
104,942 000002679947,24-05-19 0:00,522,Belmont
105,942 000002679947,28-08-19 0:00,526,Belmont
106,942 000002679947,24-03-20 0:00,530,Belmont
107,942 000002679982,05-03-18 0:00,512,Belmont
108,942 000002679982,24-05-18 0:00,576,Belmont
109,942 000002679982,14-08-18 0:00,552,Belmont
110,942 000002679982,20-05-19 0:00,584,Belmont
111,942 000002679982,27-08-19 0:00,560,Belmont
112,942 000002679982,11-11-19 0:00,508,Belmont
113,942 000002680000,19-12-17 0:00,500,Belmont
114,942 000002680000,11-01-18 0:00,550,Belmont
115,942 000002680000,01-02-18 0:00,566,Belmont
116,942 000002680000,26-02-18 0:00,493,Belmont
117,942 000002680000,09-03-18 0:00,502,Belmont
118,942 000002680000,14-03-18 0:00,516,Belmont
119,942 000002680000,05-04-18 0:00,528,Belmont
120,942 000002680000,24-05-18 0:00,576,Belmont
121,942 000002680000,22-08-18 0:00,608,Belmont
122,942 000002680000,05-11-18 0:00,493,Belmont
123,942 000002680000,21-12-18 0:00,476,Belmont
124,942 000002680000,28-02-19 0:00,530,Belmont
125,942 000002680000,02-04-19 0:00,479,Belmont
126,942 000002680000,24-05-19 0:00,506,Belmont
127,942 000002680000,28-08-19 0:00,538,Belmont
128,942 000002680023,07-03-18 0:00,502,Belmont
129,942 000002680023,23-05-18 0:00,536,Belmont
130,942 000002680023,14-08-18 0:00,572,Belmont
131,942 000002680023,18-09-18 0:00,574,Belmont
132,942 000002680023,06-11-18 0:00,464,Belmont
133,942 000002680023,17-12-18 0:00,484,Belmont
134,942 000002680023,25-02-19 0:00,534,Belmont
135,942 000002680023,20-05-19 0:00,554,Belmont
136,942 000002680023,26-08-19 0:00,586,Belmont
137,942 000002680070,19-12-17 0:00,570,Belmont
138,942 000002680070,11-01-18 0:00,111,Belmont
139,942 000002680070,01-02-18 0:00,608,Belmont
140,942 000002680070,26-02-18 0:00,544,Belmont
141,942 000002680070,09-03-18 0:00,538,Belmont
142,942 000002680070,14-03-18 0:00,570,Belmont
143,942 000002680070,05-04-18 0:00,594,Belmont
144,942 000002680070,24-05-18 0:00,596,Belmont
145,942 000002680070,22-08-18 0:00,626,Belmont
146,942 000002680070,05-11-18 0:00,518,Belmont
147,942 000002680070,21-12-18 0:00,514,Belmont
148,942 000002680070,28-02-19 0:00,590,Belmont
149,942 000002680070,02-04-19 0:00,544,Belmont
150,942 000002680070,24-05-19 0:00,590,Belmont
151,942 000002680070,28-08-19 0:00,608,Belmont
152,942 000002680070,24-03-20 0:00,560,Belmont
153,942 000002680117,09-03-18 0:00,540,Belmont
154,942 000002680117,21-05-18 0:00,594,Belmont
155,942 000002680117,14-08-18 0:00,570,Belmont
156,942 000002680117,19-12-18 0:00,457,Belmont
157,942 000002680117,01-03-19 0:00,488,Belmont
158,942 000002680117,02-04-19 0:00,504,Belmont
159,942 000002680117,23-05-19 0:00,518,Belmont
160,942 000002680117,28-08-19 0:00,540,Belmont
161,942 000002680117,24-03-20 0:00,459,Belmont
162,942 000002680136,09-03-18 0:00,528,Belmont
163,942 000002680136,21-05-18 0:00,556,Belmont
164,942 000002680136,22-08-18 0:00,560,Belmont
165,942 000002680136,19-12-18 0:00,486,Belmont
166,942 000002680136,01-03-19 0:00,502,Belmont
167,942 000002680136,02-04-19 0:00,516,Belmont
168,942 000002680136,23-05-19 0:00,514,Belmont
169,942 000002680136,28-08-19 0:00,560,Belmont
170,942 000002680136,24-03-20 0:00,472,Belmont
171,942 000002680174,19-12-17 0:00,588,Belmont
172,942 000002680174,11-01-18 0:00,586,Belmont
173,942 000002680174,01-02-18 0:00,646,Belmont
174,942 000002680174,26-02-18 0:00,572,Belmont
175,942 000002680174,09-03-18 0:00,568,Belmont
176,942 000002680174,14-03-18 0:00,602,Belmont
177,942 000002680174,05-04-18 0:00,618,Belmont
178,942 000002680174,24-05-18 0:00,640,Belmont
179,942 000002680174,22-08-18 0:00,664,Belmont
180,942 000002680174,05-11-18 0:00,556,Belmont
181,942 000002680174,21-12-18 0:00,530,Belmont
182,942 000002680174,28-02-19 0:00,570,Belmont
183,942 000002680174,02-04-19 0:00,574,Belmont
184,942 000002680174,24-05-19 0:00,594,Belmont
185,942 000002680174,28-08-19 0:00,594,Belmont
186,942 000002680174,24-03-20 0:00,568,Belmont
187,942 000002715538,09-03-18 0:00,534,Belmont
188,942 000002715538,21-05-18 0:00,604,Belmont
189,942 000002715538,22-08-18 0:00,580,Belmont
190,942 000002715538,19-12-18 0:00,530,Belmont
191,942 000002715689,09-03-18 0:00,580,Belmont
192,942 000002715689,21-05-18 0:00,648,Belmont
193,942 000002715689,14-08-18 0:00,624,Belmont
194,942 000002715689,19-12-18 0:00,510,Belmont
195,942 000002715689,01-03-19 0:00,568,Belmont
196,942 000002715689,02-04-19 0:00,580,Belmont
197,942 000002715689,23-05-19 0:00,606,Belmont
198,942 000002715689,28-08-19 0:00,608,Belmont
199,942 000002715689,24-03-20 0:00,487,Belmont
200,942 000002719837,09-03-18 0:00,491,Belmont
201,942 000002719837,21-05-18 0:00,560,Belmont
202,942 000002719837,22-08-18 0:00,552,Belmont
203,942 000002719837,19-12-18 0:00,491,Belmont
204,942 000002719837,01-03-19 0:00,514,Belmont
205,942 000002719837,02-04-19 0:00,522,Belmont
206,942 000002719837,23-05-19 0:00,524,Belmont
207,942 000002719837,28-08-19 0:00,548,Belmont
208,942 000002719837,24-03-20 0:00,447,Belmont
209,942 000002719840,19-12-17 0:00,522,Belmont
210,942 000002719840,11-01-18 0:00,542,Belmont
211,942 000002719840,01-02-18 0:00,566,Belmont
212,942 000002719840,26-02-18 0:00,504,Belmont
213,942 000002719840,09-03-18 0:00,508,Belmont
214,942 000002719840,14-03-18 0:00,538,Belmont
215,942 000002719840,05-04-18 0:00,544,Belmont
216,942 000002719840,24-05-18 0:00,566,Belmont
217,942 000002719840,22-08-18 0:00,604,Belmont
218,942 000002719840,05-11-18 0:00,480,Belmont
219,942 000002719840,21-12-18 0:00,481,Belmont
220,942 000002719840,28-02-19 0:00,552,Belmont
221,942 000002719840,02-04-19 0:00,524,Belmont
222,942 000002719840,24-05-19 0:00,524,Belmont
223,942 000002719840,28-08-19 0:00,564,Belmont
224,942 000002719840,24-03-20 0:00,487,Belmont
