"","RFID","Date","Weight","stationname"
"1","942 000021784612",2017-11-03,234,"Berrigurra"
"2","942 000021784612",2018-02-07,334,"Berrigurra"
"3","942 000021784612",2018-03-02,312,"Berrigurra"
"4","942 000021785283",2017-11-03,250,"Berrigurra"
"5","942 000021785283",2018-02-07,368,"Berrigurra"
"6","942 000021785283",2018-03-02,328,"Berrigurra"
"7","942 000021785567",2017-11-03,236,"Berrigurra"
"8","942 000021785567",2018-02-07,342,"Berrigurra"
"9","942 000021785567",2018-03-02,312,"Berrigurra"
"10","942 000021785908",2017-11-03,240,"Berrigurra"
"11","942 000021785908",2018-02-07,334,"Berrigurra"
"12","942 000021785908",2018-03-02,322,"Berrigurra"
"13","942 000021785975",2017-11-03,252,"Berrigurra"
"14","942 000021785975",2018-02-07,348,"Berrigurra"
"15","942 000021785975",2018-03-02,316,"Berrigurra"
"16","942 000021786237",2017-11-03,298,"Berrigurra"
"17","942 000021786237",2018-02-07,420,"Berrigurra"
"18","942 000021786237",2018-03-02,394,"Berrigurra"
"19","942 000024450704",2017-11-03,244,"Berrigurra"
"20","942 000024450704",2018-02-07,358,"Berrigurra"
"21","942 000024450704",2018-03-02,336,"Berrigurra"
"22","942 000024450708",2017-11-03,242,"Berrigurra"
"23","942 000024450708",2018-02-07,354,"Berrigurra"
"24","942 000024450708",2018-03-02,328,"Berrigurra"
"25","942 000024450711",2017-11-03,250,"Berrigurra"
"26","942 000024450711",2018-03-02,334,"Berrigurra"
"27","942 000024450711",2018-02-07,364,"Berrigurra"
"28","942 000024450793",2017-11-03,266,"Berrigurra"
"29","942 000024450793",2018-02-07,364,"Berrigurra"
"30","942 000024450793",2018-03-02,340,"Berrigurra"
"31","942 000024450934",2017-11-03,270,"Berrigurra"
"32","942 000024450934",2018-02-07,360,"Berrigurra"
"33","942 000024450934",2018-03-02,328,"Berrigurra"
"34","942 000024450939",2017-11-03,246,"Berrigurra"
"35","942 000024450939",2018-02-07,342,"Berrigurra"
"36","942 000024450939",2018-03-02,316,"Berrigurra"
"37","942 000024450993",2017-11-03,230,"Berrigurra"
"38","942 000024450993",2018-02-07,428,"Berrigurra"
"39","942 000024450993",2018-03-02,392,"Berrigurra"
"40","942 000024451002",2017-11-03,242,"Berrigurra"
"41","942 000024451002",2018-03-02,316,"Berrigurra"
"42","942 000024451054",2017-11-03,264,"Berrigurra"
"43","942 000024451054",2018-02-07,350,"Berrigurra"
"44","942 000024451054",2018-03-02,332,"Berrigurra"
"45","942 000024451237",2017-11-03,254,"Berrigurra"
"46","942 000024451237",2018-02-07,352,"Berrigurra"
"47","942 000024451237",2018-03-02,318,"Berrigurra"
"48","942 000024451389",2017-11-03,292,"Berrigurra"
"49","942 000024451389",2018-02-07,380,"Berrigurra"
"50","942 000024451389",2018-03-02,344,"Berrigurra"
"51","942 000024451426",2017-11-03,250,"Berrigurra"
"52","942 000024451426",2018-02-07,352,"Berrigurra"
"53","942 000024451426",2018-03-02,382,"Berrigurra"
"54","942 000024451520",2017-11-03,244,"Berrigurra"
"55","942 000024451520",2018-02-07,316,"Berrigurra"
"56","942 000024451520",2018-03-02,314,"Berrigurra"
"57","942 000024451581",2017-11-03,270,"Berrigurra"
"58","942 000024451581",2018-02-07,386,"Berrigurra"
"59","942 000024451581",2018-03-02,336,"Berrigurra"
"60","942 000024451593",2018-02-07,314,"Berrigurra"
"61","942 000024451593",2018-03-02,302,"Berrigurra"
"62","942 000024451670",2017-11-03,280,"Berrigurra"
"63","942 000024451670",2018-02-07,398,"Berrigurra"
"64","942 000024451670",2018-03-02,374,"Berrigurra"
"65","942 000024451766",2017-11-03,272,"Berrigurra"
"66","942 000024451766",2018-02-07,350,"Berrigurra"
"67","942 000024451766",2018-03-02,324,"Berrigurra"
"68","942 000024451814",2017-11-03,260,"Berrigurra"
"69","942 000024451814",2018-02-07,340,"Berrigurra"
"70","942 000024451814",2018-03-02,330,"Berrigurra"
"71","942 000024452005",2017-11-03,260,"Berrigurra"
"72","942 000024452005",2018-02-07,390,"Berrigurra"
"73","942 000024452005",2018-03-02,362,"Berrigurra"
"74","942 000024452013",2017-11-03,262,"Berrigurra"
"75","942 000024452013",2018-02-07,358,"Berrigurra"
"76","942 000024452013",2018-03-02,352,"Berrigurra"
"77","942 000024452113",2017-11-03,242,"Berrigurra"
"78","942 000024452113",2018-02-07,344,"Berrigurra"
"79","942 000024452113",2018-03-02,336,"Berrigurra"
"80","942 000024452259",2017-11-03,268,"Berrigurra"
"81","942 000024452259",2018-02-07,340,"Berrigurra"
"82","942 000024452259",2018-03-02,328,"Berrigurra"
"83","942 000024452278",2017-11-03,278,"Berrigurra"
"84","942 000024452278",2018-03-02,364,"Berrigurra"
"85","942 000024452358",2017-11-03,274,"Berrigurra"
"86","942 000024452358",2018-02-07,362,"Berrigurra"
"87","942 000024452358",2018-03-02,334,"Berrigurra"
"88","942 000024452390",2017-11-03,264,"Berrigurra"
"89","942 000024452390",2018-02-07,382,"Berrigurra"
"90","942 000024452390",2018-03-02,325,"Berrigurra"
"91","942 000024452426",2017-11-03,300,"Berrigurra"
"92","942 000024452426",2018-02-07,410,"Berrigurra"
"93","942 000024452426",2018-03-02,404,"Berrigurra"
"94","942 000024452441",2017-11-03,288,"Berrigurra"
"95","942 000024452441",2018-02-07,370,"Berrigurra"
"96","942 000024452441",2018-03-02,354,"Berrigurra"
"97","942 000024452446",2017-11-03,234,"Berrigurra"
"98","942 000024452446",2018-02-07,320,"Berrigurra"
"99","942 000024452446",2018-03-02,306,"Berrigurra"
"100","942 000024452459",2017-11-03,240,"Berrigurra"
"101","942 000024452459",2018-02-07,326,"Berrigurra"
"102","942 000024452459",2018-03-02,312,"Berrigurra"
"103","942 000024452461",2017-11-03,282,"Berrigurra"
"104","942 000024452461",2018-02-07,360,"Berrigurra"
"105","942 000024452461",2018-03-02,344,"Berrigurra"
"106","942 000024452506",2017-11-03,270,"Berrigurra"
"107","942 000024452506",2018-03-02,370,"Berrigurra"
"108","942 000024452621",2017-11-03,280,"Berrigurra"
"109","942 000024452621",2018-02-07,370,"Berrigurra"
"110","942 000024452621",2018-03-02,366,"Berrigurra"
"111","942 000024455289",2017-11-03,236,"Berrigurra"
"112","942 000024455289",2018-02-07,310,"Berrigurra"
"113","942 000024455289",2018-03-02,300,"Berrigurra"
"114","942 000024455303",2017-11-03,244,"Berrigurra"
"115","942 000024455303",2018-02-07,310,"Berrigurra"
"116","942 000024455303",2018-03-02,300,"Berrigurra"
"117","942 000024455345",2017-11-03,330,"Berrigurra"
"118","942 000024455345",2018-02-07,394,"Berrigurra"
"119","942 000024455345",2018-03-02,380,"Berrigurra"
"120","942 000024455347",2017-11-03,304,"Berrigurra"
"121","942 000024455347",2018-02-07,412,"Berrigurra"
"122","942 000024455347",2018-03-02,374,"Berrigurra"
"123","942 000024455437",2017-11-03,230,"Berrigurra"
"124","942 000024455437",2018-02-07,324,"Berrigurra"
"125","942 000024455437",2018-03-02,304,"Berrigurra"
"126","942 000024455526",2017-11-03,266,"Berrigurra"
"127","942 000024455526",2018-02-07,370,"Berrigurra"
"128","942 000024455526",2018-03-02,352,"Berrigurra"
"129","942 000024455537",2017-11-03,252,"Berrigurra"
"130","942 000024455537",2018-02-07,328,"Berrigurra"
"131","942 000024455537",2018-03-02,312,"Berrigurra"
"132","942 000024455540",2017-11-03,250,"Berrigurra"
"133","942 000024455540",2018-02-07,346,"Berrigurra"
"134","942 000024455540",2018-03-02,326,"Berrigurra"
"135","942 000024455549",2017-11-03,262,"Berrigurra"
"136","942 000024455549",2018-02-07,368,"Berrigurra"
"137","942 000024455549",2018-03-02,360,"Berrigurra"
"138","942 000024455561",2017-11-03,240,"Berrigurra"
"139","942 000024455561",2018-02-07,342,"Berrigurra"
"140","942 000024455561",2018-03-02,306,"Berrigurra"
"141","942 000024455591",2017-11-03,260,"Berrigurra"
"142","942 000024455591",2018-02-07,360,"Berrigurra"
"143","942 000024455591",2018-03-02,344,"Berrigurra"
"144","942 000024455605",2017-11-03,268,"Berrigurra"
"145","942 000024455605",2018-02-07,340,"Berrigurra"
"146","942 000024455605",2018-03-02,334,"Berrigurra"
"147","942 000024455651",2017-11-03,268,"Berrigurra"
"148","942 000024455651",2018-02-07,350,"Berrigurra"
"149","942 000024455651",2018-03-02,330,"Berrigurra"
"150","942 000024455964",2017-11-03,248,"Berrigurra"
"151","942 000024455964",2018-02-07,334,"Berrigurra"
"152","942 000024455964",2018-03-02,334,"Berrigurra"
"153","942 000024456008",2018-02-07,338,"Berrigurra"
"154","942 000024456008",2018-03-02,314,"Berrigurra"
"155","942 000024456050",2017-11-03,262,"Berrigurra"
"156","942 000024456050",2018-02-07,350,"Berrigurra"
"157","942 000024456050",2018-03-02,354,"Berrigurra"
"158","942 000024456114",2017-11-03,270,"Berrigurra"
"159","942 000024456114",2018-02-07,362,"Berrigurra"
"160","942 000024456114",2018-03-02,334,"Berrigurra"
"161","942 000024456296",2017-11-03,254,"Berrigurra"
"162","942 000024456296",2018-02-07,330,"Berrigurra"
"163","942 000024456296",2018-03-02,324,"Berrigurra"
"164","942 000024456307",2018-02-07,318,"Berrigurra"
"165","942 000024456307",2018-03-02,300,"Berrigurra"
"166","942 000024456323",2017-11-03,238,"Berrigurra"
"167","942 000024456323",2018-02-07,318,"Berrigurra"
"168","942 000024456323",2018-03-02,304,"Berrigurra"
"169","942 000024456499",2017-11-03,296,"Berrigurra"
"170","942 000024456499",2018-02-07,420,"Berrigurra"
"171","942 000024456499",2018-03-02,382,"Berrigurra"
"172","942 000024456564",2017-11-03,240,"Berrigurra"
"173","942 000024456564",2018-02-07,338,"Berrigurra"
"174","942 000024456564",2018-03-02,326,"Berrigurra"
"175","942 000024456603",2017-11-03,244,"Berrigurra"
"176","942 000024456603",2018-02-07,332,"Berrigurra"
"177","942 000024456603",2018-03-02,326,"Berrigurra"
"178","942 000024456870",2017-11-03,270,"Berrigurra"
"179","942 000024456870",2018-02-07,364,"Berrigurra"
"180","942 000024456870",2018-03-02,336,"Berrigurra"
"181","942 000024457062",2017-11-03,246,"Berrigurra"
"182","942 000024457062",2018-02-07,312,"Berrigurra"
"183","942 000024457062",2018-03-02,298,"Berrigurra"
"184","942 000024457095",2017-11-03,230,"Berrigurra"
"185","942 000024457095",2018-02-07,316,"Berrigurra"
"186","942 000024457095",2018-03-02,294,"Berrigurra"
"187","942 000026155400",2017-11-03,300,"Berrigurra"
"188","942 000026155400",2018-02-07,375,"Berrigurra"
"189","942 000026155400",2018-03-02,356,"Berrigurra"
"190","942 000026155424",2017-11-03,262,"Berrigurra"
"191","942 000026155424",2018-02-07,356,"Berrigurra"
"192","942 000026155424",2018-03-02,320,"Berrigurra"
"193","942 000026155439",2018-02-07,314,"Berrigurra"
"194","942 000026155439",2018-03-02,296,"Berrigurra"
"195","942 000026155468",2017-11-03,264,"Berrigurra"
"196","942 000026155468",2018-02-07,332,"Berrigurra"
"197","942 000026155468",2018-03-02,320,"Berrigurra"
"198","942 000026155508",2017-11-03,256,"Berrigurra"
"199","942 000026155508",2018-03-02,318,"Berrigurra"
"200","942 000026155541",2017-11-03,306,"Berrigurra"
"201","942 000026155541",2018-02-07,406,"Berrigurra"
"202","942 000026155541",2018-03-02,380,"Berrigurra"
"203","942 000026155542",2017-11-03,260,"Berrigurra"
"204","942 000026155542",2018-02-07,348,"Berrigurra"
"205","942 000026155542",2018-03-02,340,"Berrigurra"
"206","942 000026155559",2017-11-03,222,"Berrigurra"
"207","942 000026155559",2018-02-07,314,"Berrigurra"
"208","942 000026155559",2018-03-02,296,"Berrigurra"
"209","942 000026155564",2017-11-03,232,"Berrigurra"
