"","RFID","Date","Weight","stationname"
"1","900 093000931864",2019-05-01,217,"CQIRP"
"2","900 093000931864",2019-06-19,253,"CQIRP"
"3","900 093000937232",2019-06-18,245,"CQIRP"
"4","900 093000937232",2019-07-26,266,"CQIRP"
"5","900 093000938695",2019-06-18,262,"CQIRP"
"6","900 093000938695",2019-07-26,281,"CQIRP"
"7","900 093000963551",2019-05-01,195.5,"CQIRP"
"8","900 093000963551",2019-06-19,225,"CQIRP"
"9","900 093000966047",2019-05-01,198.5,"CQIRP"
"10","900 093000966047",2019-06-19,228,"CQIRP"
"11","900 093000978822",2019-05-01,244,"CQIRP"
"12","900 093000978822",2019-06-19,286,"CQIRP"
"13","900 093000981826",2019-05-01,247,"CQIRP"
"14","900 093000981826",2019-06-19,294,"CQIRP"
"15","900 093000982067",2019-06-18,241,"CQIRP"
"16","900 093000982067",2019-07-26,259,"CQIRP"
"17","900 093000982906",2019-06-18,264,"CQIRP"
"18","900 093000982906",2019-07-26,283,"CQIRP"
"19","900 093000983122",2019-05-01,203,"CQIRP"
"20","900 093000983122",2019-06-19,233,"CQIRP"
"21","900 093000983427",2019-05-01,236,"CQIRP"
"22","900 093000983427",2019-06-19,275,"CQIRP"
"23","900 093000983444",2019-05-01,236,"CQIRP"
"24","900 093000983444",2019-06-19,288,"CQIRP"
"25","900 093000983548",2019-06-18,210,"CQIRP"
"26","900 093000983548",2019-07-26,230,"CQIRP"
"27","900 093000986644",2019-06-18,199.5,"CQIRP"
"28","900 093000986644",2019-07-26,221,"CQIRP"
"29","900 093000992329",2019-06-18,232,"CQIRP"
"30","900 093000992329",2019-07-26,248,"CQIRP"
"31","900 093000994860",2019-06-18,231,"CQIRP"
"32","900 093000994860",2019-07-26,251,"CQIRP"
"33","900 116003160080",2019-06-18,206,"CQIRP"
"34","900 116003160080",2019-07-26,228,"CQIRP"
"35","900 116003161607",2019-05-01,201,"CQIRP"
"36","900 116003161607",2019-06-19,246,"CQIRP"
"37","964 001013660132",2018-03-28,250,"CQIRP"
"38","964 001013660132",2019-06-19,491,"CQIRP"
"39","982 000135759031",2014-05-05,0,"CQIRP"
"40","982 000135759031",2014-06-27,0,"CQIRP"
"41","982 000135759031",2015-06-02,0,"CQIRP"
"42","982 000136389157",2014-05-05,0,"CQIRP"
"43","982 000136389157",2014-06-27,0,"CQIRP"
"44","982 000136389157",2015-06-02,0,"CQIRP"
"45","982 000136389283",2014-05-05,0,"CQIRP"
"46","982 000136389283",2014-06-27,0,"CQIRP"
"47","982 000136389283",2015-06-02,0,"CQIRP"
