"","RFID","Date","Weight","stationname"
"1","982 123531030364",2021-05-01,482,"Carisma"
"2","982 123551647863",2021-04-30,652,"Carisma"
"3","982 123531029779",2021-04-30,682,"Carisma"
"4","982 123551647873",2021-05-01,634,"Carisma"
"5","982 123531030224",2021-05-01,600,"Carisma"
"6","982 123531030895",2021-05-01,578,"Carisma"
"7","982 123531030357",2021-05-01,592,"Carisma"
"8","982 123531029803",2021-04-30,722,"Carisma"
"9","982 123531029812",2021-05-01,600,"Carisma"
"10","982 123531029570",2021-05-01,586,"Carisma"
"11","982 123551647856",2021-04-30,670,"Carisma"
"12","982 123542672820",2021-04-30,628,"Carisma"
"13","982 123531029822",2021-04-30,722,"Carisma"
"14","982 123542672827",2021-05-01,652,"Carisma"
"15","982 123522409882",2021-05-01,612,"Carisma"
"16","982 123551647914",2021-05-01,431,"Carisma"
"17","900 093000735625",2021-05-01,630,"Carisma"
"18","900 093000738210",2021-04-30,612,"Carisma"
"19","982 123742929489",2021-05-01,586,"Carisma"
"20","982 123742929491",2021-05-01,560,"Carisma"
"21","942 000028809286",2021-05-01,664,"Carisma"
"22","982 123742929474",2021-04-30,644,"Carisma"
"23","900 093000699299",2021-05-01,636,"Carisma"
"24","900 093000735967",2021-04-30,754,"Carisma"
"25","900 093000736246",2021-04-30,904,"Carisma"
"26","900 093000750980",2021-04-30,624,"Carisma"
"27","982 123742929514",2021-05-01,634,"Carisma"
"28","982 123742929562",2021-05-01,634,"Carisma"
"29","982 123742929480",2021-04-30,628,"Carisma"
"30","982 123742929494",2021-05-01,606,"Carisma"
"31","900 093000693864",2021-04-30,642,"Carisma"
"32","900 093000749788",2021-04-30,704,"Carisma"
"33","982 123742929500",2021-05-01,562,"Carisma"
"34","900 093000699232",2021-04-30,648,"Carisma"
"35","982 125001214523",2021-05-01,354,"Carisma"
"36","982 125001215534",2021-05-01,556,"Carisma"
"37","982 125001213191",2021-05-01,504,"Carisma"
"38","982 123531030747",2021-05-01,495,"Carisma"
"39","982 123531031015",2021-05-01,504,"Carisma"
"40","982 123531030170",2021-05-01,481,"Carisma"
"41","982 123531030686",2021-04-30,534,"Carisma"
"42","982 123531029408",2021-05-01,496,"Carisma"
"43","982 123531030724",2021-05-01,480,"Carisma"
"44","982 123531029581",2021-05-01,488,"Carisma"
"45","982 123531030960",2021-05-01,518,"Carisma"
"46","982 125001212727",2021-05-01,512,"Carisma"
"47","982 125001212496",2021-05-01,451,"Carisma"
"48","982 125001230263",2021-04-30,670,"Carisma"
"49","982 123723011351",2021-05-01,477,"Carisma"
"50","942 000033108063",2021-05-01,532,"Carisma"
"51","942 000033108166",2021-04-30,686,"Carisma"
"52","942 000033107661",2021-04-30,612,"Carisma"
"53","982 123742929467",2021-05-01,560,"Carisma"
"54","942 000032546351",2021-05-01,506,"Carisma"
"55","982 123542673267",2021-05-01,516,"Carisma"
"56","982 123531029135",2021-05-01,490,"Carisma"
"57","982 123551647930",2021-05-01,508,"Carisma"
"58","982 123542672450",2021-05-01,524,"Carisma"
"59","982 123542673005",2021-05-01,401,"Carisma"
"60","982 123531029898",2021-05-01,489,"Carisma"
"61","982 123531029877",2021-05-01,455,"Carisma"
"62","982 123542672877",2021-04-30,542,"Carisma"
"63","982 123542672600",2021-05-01,493,"Carisma"
"64","982 123542672806",2021-04-30,558,"Carisma"
"65","982 123542672576",2021-04-30,504,"Carisma"
"66","982 123542673185",2021-05-01,478,"Carisma"
"67","982 123542673151",2021-05-01,506,"Carisma"
"68","982 123531029153",2021-05-01,490,"Carisma"
"69","982 123531029342",2021-05-01,502,"Carisma"
"70","982 123551648281",2021-05-01,514,"Carisma"
"71","982 123743177350",2021-04-16,271,"Carisma"
"72","982 123743177183",2021-04-16,365,"Carisma"
"73","982 123743176919",2021-04-16,371,"Carisma"
"74","982 123743176610",2021-04-16,348,"Carisma"
"75","982 123743177441",2021-04-16,347,"Carisma"
"76","982 123743177388",2021-04-16,266,"Carisma"
"77","982 123743177445",2021-04-16,285,"Carisma"
"78","982 123743176300",2021-04-16,318,"Carisma"
"79","982 123743176379",2021-04-16,242,"Carisma"
"80","982 123743176261",2021-04-16,306,"Carisma"
"81","982 123743177008",2021-04-16,291,"Carisma"
"82","982 123743176550",2021-04-16,287,"Carisma"
"83","982 123743176328",2021-04-16,232,"Carisma"
"84","982 123743177722",2021-04-16,304,"Carisma"
"85","982 123743177015",2021-04-16,256,"Carisma"
"86","982 123743177009",2021-04-16,233,"Carisma"
"87","982 123743177458",2021-04-16,289,"Carisma"
"88","982 123743177997",2021-04-16,260,"Carisma"
"89","982 123743176495",2021-04-16,297,"Carisma"
"90","982 123743177397",2021-04-16,208,"Carisma"
"91","982 123743177176",2021-04-16,284,"Carisma"
"92","982 123743176348",2021-04-16,303,"Carisma"
"93","982 123743177318",2021-04-16,263,"Carisma"
"94","982 123743177356",2021-04-16,254,"Carisma"
"95","982 123743176775",2021-04-16,275,"Carisma"
"96","982 123743176512",2021-04-16,252,"Carisma"
"97","982 123743177037",2021-04-16,321,"Carisma"
"98","982 123743177324",2021-04-16,249,"Carisma"
"99","982 123743177301",2021-04-16,244,"Carisma"
"100","982 123743177026",2021-04-16,289,"Carisma"
"101","982 123743176752",2021-04-16,290,"Carisma"
"102","982 123743177181",2021-04-16,285,"Carisma"
"103","982 123743176522",2021-04-16,268,"Carisma"
"104","982 123743176493",2021-04-16,224,"Carisma"
"105","982 123743176785",2021-04-16,266,"Carisma"
"106","982 123743176900",2021-04-16,273,"Carisma"
"107","982 123743176515",2021-04-16,251,"Carisma"
"108","982 123743177425",2021-04-16,252,"Carisma"
"109","982 123743177030",2021-04-16,275,"Carisma"
"110","982 123743177928",2021-04-16,234,"Carisma"
"111","982 123743177161",2021-04-16,280,"Carisma"
"112","982 123743177480",2021-04-16,299,"Carisma"
"113","982 123743177300",2021-04-16,263,"Carisma"
"114","982 123743177346",2021-04-16,262,"Carisma"
"115","982 123743177036",2021-04-16,278,"Carisma"
"116","982 123743176611",2021-04-16,314,"Carisma"
"117","982 123743177927",2021-04-16,260,"Carisma"
"118","982 123743176779",2021-04-16,293,"Carisma"
"119","982 123743176937",2021-04-16,272,"Carisma"
"120","982 123743177353",2021-04-16,239,"Carisma"
"121","982 123743176762",2021-04-16,289,"Carisma"
"122","982 123743176932",2021-04-16,262,"Carisma"
"123","982 123743176530",2021-04-16,275,"Carisma"
"124","982 123743177182",2021-04-16,249,"Carisma"
"125","982 123743177068",2021-04-16,250,"Carisma"
"126","982 123743176927",2021-04-16,255,"Carisma"
"127","982 123743177773",2021-04-16,245,"Carisma"
"128","982 123743176898",2021-04-16,270,"Carisma"
"129","982 123743177375",2021-04-16,234,"Carisma"
"130","982 123743177006",2021-04-16,214,"Carisma"
"131","982 123743176748",2021-04-16,245,"Carisma"
"132","982 123743176312",2021-04-16,279,"Carisma"
"133","982 123743176771",2021-04-16,251,"Carisma"
"134","982 123743177188",2021-04-16,255,"Carisma"
"135","982 123743177024",2021-04-16,267,"Carisma"
"136","982 123743177021",2021-04-16,279,"Carisma"
