"","RFID","Weight","Date","Location","cattle_id"
"1","982 000121745573",0,2021-08-03 10:37:59,"DM31",NA
"2","982 000121745408",104.33,2021-08-03 10:41:34,"DM31",NA
"3","982 000121745648",104.42,2021-08-03 10:49:37,"DM31",NA
"4","982 000121745832",165.42,2021-12-15 11:44:27,"DM31",NA
"5","982 091014185197",163.91,2022-12-02 10:02:00,"DM31",NA
"6","964 001033918697",339.91,2023-02-01 13:40:34,"DM31","6417ba9cba47000064004665"
"7","964 001023012023",409.67,2023-02-03 18:11:05,"DM31","6417baa5ba470000640046b2"
"8","964 001034702142",439.53,2023-02-04 19:32:59,"DM31","6417ba9cba4700006400466c"
"9","964 001023012774",230.04,2023-02-04 19:53:07,"DM31","6417ba9bba47000064004660"
"10","982 123760831505",295.96,2023-02-05 06:47:01,"DM31","6417ba52ba4700006400441b"
"11","964 001023011620",394.89,2023-02-05 20:45:32,"DM31","6417ba9bba4700006400465f"
"12","964 001023012795",406.35,2023-02-05 20:45:38,"DM31","6417ba9bba47000064004661"
"13","942 000039740534",397.51,2023-02-05 23:41:25,"DM31",NA
"14","942 000039740653",389.95,2023-02-08 15:04:30,"DM31","6417ba81ba47000064004580"
"15","982 123756447208",441.78,2023-02-08 20:49:07,"DM31","6417ba66ba470000640044bd"
"16","982 123760831173",398.01,2023-02-09 07:54:14,"DM31","6417ba90ba47000064004602"
"17","982 123756446587",448.8,2023-02-16 08:05:53,"DM31","6417ba64ba470000640044b2"
"18","982 123756447469",438.73,2023-02-16 08:17:59,"DM31","6417ba6cba470000640044eb"
"19","942 000039462662",463.97,2023-02-16 11:16:19,"DM31","6417ba7cba4700006400455d"
"20","982 123775578019",192.14,2023-02-22 17:35:47,"DM31",NA
"21","982 123756446971",481.43,2023-02-22 22:05:03,"DM31","6417ba6dba470000640044f5"
