"","RFID","Weight","Date","Location","cattle_id"
"1","982 000121745648",78.05,2021-01-18 09:34:19,"Glenmoan",NA
"2","982 091014185238",77.88,2021-02-24 14:21:28,"Glenmoan",NA
"3","982 091014185364",0,2021-03-09 08:29:16,"Glenmoan",NA
"4","982 000121745648",77.12,2021-03-09 09:05:47,"Glenmoan",NA
"5","982 000121745785",94.17,2021-03-09 09:58:21,"Glenmoan",NA
"6","982 091014185227",94.86,2021-04-20 08:51:25,"Glenmoan",NA
"7","982 123707585865",0,2021-04-20 10:18:50,"Glenmoan",NA
"8","982 123707586007",0,2021-04-20 10:20:14,"Glenmoan",NA
"9","982 123707585865",0,2021-04-20 10:36:08,"Glenmoan",NA
"10","982 123707586007",0,2021-04-20 10:46:36,"Glenmoan",NA
"11","982 123707585865",0,2021-05-02 11:18:11,"Glenmoan",NA
"12","982 123707586007",0,2021-05-02 11:18:15,"Glenmoan",NA
"13","982 091014185157",0,2021-05-02 11:18:17,"Glenmoan",NA
"14","982 091014185157",0,2021-05-02 11:18:56,"Glenmoan",NA
"15","982 123707585865",0,2021-05-02 11:19:00,"Glenmoan",NA
"16","982 123707586007",0,2021-05-02 11:19:02,"Glenmoan",NA
"17","982 091014185157",0,2021-05-02 11:22:45,"Glenmoan",NA
"18","982 123707586007",0,2021-05-02 11:23:11,"Glenmoan",NA
"19","982 091014185157",0,2021-05-02 11:23:34,"Glenmoan",NA
"20","982 091014185157",80.59,2021-05-02 11:25:21,"Glenmoan",NA
"21","982 091014185157",79.56,2021-05-02 11:47:26,"Glenmoan",NA
"22","982 091014185391",68.13,2021-05-18 10:12:31,"Glenmoan",NA
"23","982 091014185383",68.32,2021-05-18 10:12:47,"Glenmoan",NA
"24","982 000121745785",68.15,2021-05-18 10:12:59,"Glenmoan",NA
"25","982 000121745933",78.64,2021-05-18 11:28:08,"Glenmoan","60b59643204b000025006246"
"26","982 091014185469",0,2021-05-26 10:30:04,"Glenmoan",NA
"27","982 091014185018",86.57,2021-05-26 10:30:50,"Glenmoan",NA
"28","982 000121745861",62.46,2021-05-26 10:31:58,"Glenmoan",NA
"29","982 091014185046",91.84,2021-05-26 10:32:34,"Glenmoan",NA
"30","982 000121745861",86.98,2021-05-26 10:32:34,"Glenmoan",NA
"31","982 091014185046",88.2,2021-05-26 10:32:34,"Glenmoan",NA
"32","982 000121745861",93.36,2021-05-26 10:33:50,"Glenmoan",NA
"33","982 091014185200",94.18,2021-05-26 10:33:50,"Glenmoan",NA
"34","982 091014185383",89.32,2021-05-26 11:17:32,"Glenmoan",NA
"35","982 091014185391",85.89,2021-05-26 11:20:15,"Glenmoan",NA
"36","982 000121745785",87.9,2021-05-26 11:54:13,"Glenmoan",NA
"37","982 091014185391",63.88,2021-05-26 11:54:15,"Glenmoan",NA
"38","982 091014185383",64.02,2021-05-26 11:54:33,"Glenmoan",NA
"39","982 091014185391",86.94,2021-05-26 11:54:58,"Glenmoan",NA
"40","982 000121745785",63.14,2021-05-26 11:55:32,"Glenmoan",NA
"41","982 000121745785",85.62,2021-05-26 11:58:55,"Glenmoan",NA
"42","982 091014185383",87.57,2021-05-26 11:59:15,"Glenmoan",NA
"43","982 091014185391",64.68,2021-05-26 11:59:37,"Glenmoan",NA
"44","982 091014185046",63.79,2021-05-26 12:19:44,"Glenmoan",NA
"45","982 091014185018",87.56,2021-05-26 12:19:48,"Glenmoan",NA
"46","982 000121745968",90.44,2021-05-26 12:19:53,"Glenmoan",NA
"47","982 091014185383",87.85,2021-05-26 12:21:06,"Glenmoan",NA
"48","982 091014185391",63.83,2021-05-26 12:38:42,"Glenmoan",NA
"49","982 091014185383",86.88,2021-05-26 12:38:51,"Glenmoan",NA
"50","982 000121745785",89.94,2021-05-26 12:39:53,"Glenmoan",NA
"51","982 091014185383",94.17,2021-05-26 12:39:53,"Glenmoan",NA
"52","982 091014185391",63.14,2021-05-26 12:40:03,"Glenmoan",NA
"53","982 000121745785",88.26,2021-05-26 12:43:21,"Glenmoan",NA
"54","982 091014185046",62.98,2021-05-26 12:43:30,"Glenmoan",NA
"55","982 000121745785",87.03,2021-05-26 12:43:35,"Glenmoan",NA
"56","982 091014185046",67.57,2021-05-26 12:43:39,"Glenmoan",NA
"57","982 091014185391",88.75,2021-05-26 12:43:46,"Glenmoan",NA
"58","982 091014185046",64,2021-05-26 12:43:57,"Glenmoan",NA
"59","982 000121745785",87.85,2021-05-26 12:45:19,"Glenmoan",NA
"60","982 091014185046",88.35,2021-05-26 12:46:38,"Glenmoan",NA
"61","982 091014185391",63.45,2021-05-26 12:47:22,"Glenmoan",NA
"62","982 091014185046",88.7,2021-05-26 12:47:35,"Glenmoan",NA
"63","982 000121745785",63.61,2021-05-26 12:48:16,"Glenmoan",NA
"64","982 000121745785",63.4,2021-05-26 12:48:37,"Glenmoan",NA
"65","982 091014185391",62.78,2021-05-26 12:49:09,"Glenmoan",NA
"66","982 091014185046",87.05,2021-05-26 12:49:20,"Glenmoan",NA
"67","982 091014185391",64.18,2021-05-26 12:50:09,"Glenmoan",NA
"68","982 091014185046",85.96,2021-05-26 12:50:39,"Glenmoan",NA
"69","982 000121745785",62.85,2021-05-26 12:51:40,"Glenmoan",NA
"70","982 000121745885",88.78,2021-05-26 13:13:26,"Glenmoan",NA
"71","982 091014185018",63.89,2021-05-26 13:59:07,"Glenmoan",NA
"72","982 000121745861",86.83,2021-05-26 13:59:17,"Glenmoan",NA
"73","982 000121745910",63.54,2021-05-26 13:59:37,"Glenmoan",NA
"74","982 000121745861",89.33,2021-05-26 13:59:46,"Glenmoan",NA
"75","982 000121745861",84.18,2021-05-26 14:00:49,"Glenmoan",NA
"76","982 000121745910",62.84,2021-05-26 14:06:40,"Glenmoan",NA
"77","982 000121745861",84.48,2021-05-26 14:06:50,"Glenmoan",NA
"78","982 091014185018",85.49,2021-05-26 14:10:51,"Glenmoan",NA
"79","982 000121745861",84,2021-05-26 14:13:38,"Glenmoan",NA
"80","982 091014185018",67.78,2021-05-26 14:13:49,"Glenmoan",NA
"81","982 000121745861",86.7,2021-05-26 14:14:51,"Glenmoan",NA
"82","982 091014185018",71.12,2021-05-26 14:15:12,"Glenmoan",NA
"83","982 000121745501",90.91,2021-05-26 14:47:56,"Glenmoan",NA
"84","982 000121745495",87.61,2021-05-26 14:48:01,"Glenmoan",NA
"85","982 000121745968",63.13,2021-05-26 14:48:06,"Glenmoan",NA
"86","982 000121745501",63.22,2021-05-26 15:50:20,"Glenmoan",NA
"87","942 000027680500",277,2021-05-27 09:42:19,"Glenmoan",NA
"88","900 093000793452",442.81,2021-06-04 10:52:49,"Glenmoan",NA
"89","942 000016247776",403.29,2021-06-08 11:29:49,"Glenmoan",NA
"90","982 091014185092",88.54,2021-06-10 16:24:22,"Glenmoan","60b59643204b000025006248"
"91","982 000121745933",90.21,2021-06-10 16:24:32,"Glenmoan","60b59643204b000025006246"
"92","982 091014185092",87.76,2021-06-10 16:26:16,"Glenmoan","60b59643204b000025006248"
"93","982 000121745459",92.07,2021-06-10 16:26:48,"Glenmoan","60b59643204b000025006247"
"94","982 000121745933",90.65,2021-06-10 16:27:26,"Glenmoan","60b59643204b000025006246"
"95","900 093000793452",438.53,2021-06-11 16:11:56,"Glenmoan",NA
"96","942 000027680500",265.84,2021-06-18 10:30:31,"Glenmoan",NA
"97","942 000037903865",156.17,2021-06-18 10:31:23,"Glenmoan",NA
"98","982 123525087891",467.8,2021-06-19 14:20:12,"Glenmoan",NA
"99","900 093000793452",446.7,2021-06-20 10:59:08,"Glenmoan",NA
"100","982 123525087891",470.77,2021-06-20 14:44:56,"Glenmoan",NA
"101","942 000016247726",437.07,2021-07-06 17:34:41,"Glenmoan",NA
