"","RFID","Date","Weight","stationname"
"1","900 093000455673",2018-08-01,556,"Gyranda"
"2","900 093000456299",2018-08-01,546,"Gyranda"
"3","900 093000460716",2019-07-31,463,"Gyranda"
"4","900 093000467957",2018-08-01,546,"Gyranda"
"5","900 093000472598",2019-07-31,478,"Gyranda"
"6","900 093000472875",2018-08-01,516,"Gyranda"
"7","900 093000473540",2018-08-01,560,"Gyranda"
"8","900 093000496119",2019-07-31,630,"Gyranda"
"9","900 093000496551",2018-08-01,524,"Gyranda"
"10","900 093000496557",2018-08-01,558,"Gyranda"
"11","900 093000496739",2018-08-01,504,"Gyranda"
"12","900 093000497026",2018-08-01,494,"Gyranda"
"13","900 093000497093",2019-07-31,416,"Gyranda"
"14","900 093000860907",2018-08-01,504,"Gyranda"
"15","900 093000861067",2018-08-01,580,"Gyranda"
"16","900 093000861077",2018-08-01,538,"Gyranda"
"17","900 093000861576",2018-08-01,508,"Gyranda"
"18","900 093000861662",2018-08-01,554,"Gyranda"
"19","900 093000861704",2019-07-31,502,"Gyranda"
"20","900 093000861927",2018-08-01,536,"Gyranda"
"21","900 093000862033",2018-08-01,470,"Gyranda"
"22","900 093000862055",2019-07-31,467,"Gyranda"
"23","900 093000862103",2018-08-01,564,"Gyranda"
"24","900 093000862467",2019-07-31,502,"Gyranda"
"25","900 093000862468",2018-08-01,578,"Gyranda"
"26","900 093000862470",2019-07-31,467,"Gyranda"
"27","900 093000871909",2018-08-01,506,"Gyranda"
"28","900 093000872209",2019-07-31,479,"Gyranda"
"29","900 093000872291",2019-07-31,462,"Gyranda"
"30","900 093000872594",2019-07-31,449,"Gyranda"
"31","900 093000872951",2018-08-01,526,"Gyranda"
"32","900 093000872965",2019-07-31,520,"Gyranda"
"33","900 093000886252",2018-08-01,550,"Gyranda"
"34","900 093000908625",2018-08-01,462,"Gyranda"
"35","900 093000908688",2018-08-01,534,"Gyranda"
"36","900 093000908815",2018-08-01,548,"Gyranda"
"37","900 093000908891",2018-08-01,506,"Gyranda"
"38","900 093000908920",2018-08-01,542,"Gyranda"
"39","900 093000908934",2019-07-31,471,"Gyranda"
"40","900 093000908975",2018-08-01,578,"Gyranda"
"41","900 093000909015",2018-08-01,560,"Gyranda"
"42","900 093000909071",2019-07-31,470,"Gyranda"
"43","900 093000909155",2018-08-01,556,"Gyranda"
"44","900 093000909176",2018-08-01,552,"Gyranda"
"45","900 093000909549",2018-08-01,506,"Gyranda"
"46","900 093000909666",2018-08-01,522,"Gyranda"
"47","900 093000909772",2018-08-01,512,"Gyranda"
"48","900 093000909838",2018-08-01,624,"Gyranda"
"49","900 093000909972",2018-08-01,518,"Gyranda"
"50","900 093000910080",2018-08-01,542,"Gyranda"
"51","900 093000911804",2018-08-01,548,"Gyranda"
"52","900 093000911887",2018-08-01,600,"Gyranda"
"53","900 093000911970",2018-08-01,546,"Gyranda"
"54","900 093000911986",2018-08-01,552,"Gyranda"
"55","900 093000912112",2018-08-01,530,"Gyranda"
"56","900 093000912179",2018-08-01,550,"Gyranda"
"57","900 093000912259",2018-08-01,590,"Gyranda"
"58","900 093000912307",2018-08-01,572,"Gyranda"
"59","900 093000912354",2018-08-01,496,"Gyranda"
"60","900 093000912456",2019-07-31,416,"Gyranda"
"61","900 093000921624",2018-08-01,514,"Gyranda"
"62","900 093000922010",2018-08-01,504,"Gyranda"
"63","900 093000922015",2018-08-01,582,"Gyranda"
"64","900 093000922095",2018-08-01,536,"Gyranda"
"65","900 093000922176",2018-08-01,480,"Gyranda"
"66","900 093000922705",2018-08-01,506,"Gyranda"
"67","900 093001056563",2019-07-31,368,"Gyranda"
"68","900 093001056571",2019-07-31,428,"Gyranda"
"69","900 093001056894",2019-07-31,450,"Gyranda"
"70","900 093001057001",2019-07-31,506,"Gyranda"
"71","900 093001057301",2019-07-31,502,"Gyranda"
"72","900 093001057311",2019-07-31,447,"Gyranda"
"73","900 093001083684",2019-07-31,554,"Gyranda"
"74","900 093001088634",2019-07-31,481,"Gyranda"
"75","900 093001088816",2019-07-31,450,"Gyranda"
"76","900 093001089988",2019-07-31,446,"Gyranda"
"77","900 093001092605",2019-07-31,491,"Gyranda"
"78","900 093001092819",2019-07-31,470,"Gyranda"
"79","900 093001092991",2019-07-31,512,"Gyranda"
"80","900 093001093118",2019-07-31,487,"Gyranda"
"81","900 093001093185",2019-07-31,441,"Gyranda"
"82","900 093001099476",2019-07-31,475,"Gyranda"
"83","900 093001099497",2019-07-31,454,"Gyranda"
"84","900 093001099766",2019-07-31,430,"Gyranda"
"85","900 093001100124",2019-07-31,481,"Gyranda"
"86","900 093001108603",2019-07-31,516,"Gyranda"
"87","900 093001108606",2019-07-31,437,"Gyranda"
"88","900 093001108788",2019-07-31,435,"Gyranda"
"89","900 093001109803",2019-07-31,452,"Gyranda"
"90","900 093001110274",2019-07-31,443,"Gyranda"
"91","900 093001110678",2019-07-31,520,"Gyranda"
"92","900 093001110775",2019-07-31,437,"Gyranda"
"93","900 093001111071",2019-07-31,452,"Gyranda"
"94","900 093001111141",2019-07-31,458,"Gyranda"
"95","900 093001111152",2019-07-31,444,"Gyranda"
"96","900 093001115981",2019-07-31,518,"Gyranda"
"97","900 093001116231",2019-07-31,512,"Gyranda"
"98","900 093001117349",2019-07-31,455,"Gyranda"
"99","900 093001118628",2019-07-31,472,"Gyranda"
"100","900 093001118756",2019-07-31,444,"Gyranda"
"101","900 093001119420",2019-07-31,494,"Gyranda"
"102","900 093001120125",2019-07-31,512,"Gyranda"
"103","900 093001120236",2019-07-31,710,"Gyranda"
"104","900 093001120240",2019-07-31,538,"Gyranda"
"105","900 093001120391",2019-07-31,431,"Gyranda"
"106","900 093001120394",2019-07-31,483,"Gyranda"
"107","900 093001120442",2019-07-31,532,"Gyranda"
"108","900 093001129826",2019-07-31,431,"Gyranda"
"109","900 093001130505",2019-07-31,479,"Gyranda"
"110","900 093001130557",2019-07-31,470,"Gyranda"
"111","900 093001130696",2019-07-31,406,"Gyranda"
"112","900 093001130832",2019-07-31,473,"Gyranda"
"113","900 093001130889",2019-07-31,506,"Gyranda"
"114","900 093001130946",2019-07-31,397,"Gyranda"
"115","900 093001131156",2019-07-31,556,"Gyranda"
"116","900 093001131492",2019-07-31,428,"Gyranda"
"117","900 093001131545",2019-07-31,449,"Gyranda"
"118","900 093001131738",2019-07-31,434,"Gyranda"
"119","900 093001132001",2019-07-31,498,"Gyranda"
"120","900 093001132135",2019-07-31,466,"Gyranda"
"121","900 093001138698",2019-07-31,439,"Gyranda"
"122","900 093001138847",2018-08-01,504,"Gyranda"
"123","900 093001138873",2019-07-31,480,"Gyranda"
"124","900 093001139840",2019-07-31,451,"Gyranda"
"125","900 093001140117",2019-07-31,368,"Gyranda"
"126","900 093001140498",2019-07-31,465,"Gyranda"
"127","900 093001140539",2019-07-31,393,"Gyranda"
"128","900 093001140553",2019-07-31,419,"Gyranda"
"129","900 093001140590",2019-07-31,448,"Gyranda"
"130","900 093001140727",2019-07-31,496,"Gyranda"
"131","900 093001140863",2019-07-31,508,"Gyranda"
"132","900 093001140947",2019-07-31,432,"Gyranda"
"133","900 093001141028",2019-07-31,502,"Gyranda"
"134","900 093001141183",2019-07-31,502,"Gyranda"
"135","900 093001141370",2019-07-31,430,"Gyranda"
"136","900 093001141683",2019-07-31,447,"Gyranda"
"137","900 093001141693",2019-07-31,467,"Gyranda"
"138","900 093001141796",2019-07-31,448,"Gyranda"
"139","900 093001141857",2019-07-31,425,"Gyranda"
"140","900 093001142071",2019-07-31,485,"Gyranda"
"141","900 093001142597",2019-07-31,408,"Gyranda"
"142","900 093001146229",2019-07-31,472,"Gyranda"
"143","900 093001146494",2019-07-31,450,"Gyranda"
"144","942 000021778619",2018-08-01,496,"Gyranda"
"145","942 000021778642",2018-08-01,536,"Gyranda"
"146","942 000021778705",2018-08-01,534,"Gyranda"
"147","942 000021778760",2018-08-01,554,"Gyranda"
"148","942 000021778807",2018-08-01,540,"Gyranda"
"149","942 000021778869",2018-08-01,548,"Gyranda"
"150","942 000021779152",2018-08-01,620,"Gyranda"
"151","942 000021779229",2018-08-01,494,"Gyranda"
"152","942 000021779450",2018-08-01,502,"Gyranda"
"153","942 000021779499",2018-08-01,540,"Gyranda"
"154","942 000021779503",2018-08-01,532,"Gyranda"
"155","942 000021779740",2018-08-01,540,"Gyranda"
"156","942 000021779766",2018-08-01,534,"Gyranda"
"157","942 000021779783",2018-08-01,572,"Gyranda"
"158","942 000021779801",2018-08-01,488,"Gyranda"
"159","942 000021780067",2018-08-01,468,"Gyranda"
"160","942 000021780102",2018-08-01,550,"Gyranda"
"161","942 000021780145",2018-08-01,558,"Gyranda"
"162","982 123543174601",2019-07-31,636,"Gyranda"
"163","982 123545151073",2019-07-31,451,"Gyranda"
"164","982 123545151229",2018-08-01,448,"Gyranda"
"165","982 123545151251",2019-06-18,370,"Gyranda"
"166","982 123545151266",2019-07-31,476,"Gyranda"
"167","982 123545151267",2019-07-31,500,"Gyranda"
"168","982 123545151271",2018-08-01,496,"Gyranda"
"169","982 123545151303",2019-06-18,253,"Gyranda"
"170","982 123545151422",2019-06-18,293,"Gyranda"
"171","982 123545151433",2019-06-18,249,"Gyranda"
"172","982 123545151435",2019-06-18,276,"Gyranda"
"173","982 123545151437",2019-06-18,307,"Gyranda"
"174","982 123545151440",2019-06-18,276,"Gyranda"
"175","982 123545151443",2019-06-18,283,"Gyranda"
"176","982 123545151447",2019-06-18,263,"Gyranda"
"177","982 123545151450",2019-06-18,296,"Gyranda"
"178","982 123545151461",2019-06-18,264,"Gyranda"
"179","982 123545151464",2019-06-18,249,"Gyranda"
"180","982 123545151465",2019-06-18,275,"Gyranda"
"181","982 123545151468",2019-06-18,275,"Gyranda"
"182","982 123545151469",2019-06-18,260,"Gyranda"
"183","982 123545151470",2019-06-18,241,"Gyranda"
"184","982 123545151472",2019-06-18,276,"Gyranda"
"185","982 123545151473",2019-06-18,315,"Gyranda"
"186","982 123545151476",2019-06-18,288,"Gyranda"
"187","982 123545151477",2019-06-18,292,"Gyranda"
"188","982 123545151478",2019-06-18,330,"Gyranda"
"189","982 123545151491",2019-06-18,271,"Gyranda"
"190","982 123545151508",2019-06-18,289,"Gyranda"
"191","982 123545151524",2019-06-18,322,"Gyranda"
"192","982 123545151530",2019-06-18,316,"Gyranda"
"193","982 123545151531",2019-06-18,298,"Gyranda"
"194","982 123545151538",2019-06-18,288,"Gyranda"
"195","982 123545151543",2019-06-18,310,"Gyranda"
"196","982 123545151551",2019-06-18,281,"Gyranda"
"197","982 123545151552",2019-06-18,296,"Gyranda"
"198","982 123545151554",2019-06-18,299,"Gyranda"
"199","982 123545151556",2019-06-18,279,"Gyranda"
"200","982 123545151560",2019-06-18,292,"Gyranda"
"201","982 123545151566",2019-06-18,311,"Gyranda"
"202","982 123545151567",2019-06-18,290,"Gyranda"
"203","982 123545151571",2019-06-18,304,"Gyranda"
"204","982 123545151593",2019-06-18,283,"Gyranda"
"205","982 123545151608",2019-06-18,260,"Gyranda"
"206","982 123545151610",2019-06-18,265,"Gyranda"
"207","982 123545151614",2019-06-18,261,"Gyranda"
"208","982 123545151630",2019-06-18,294,"Gyranda"
"209","982 123545151636",2019-06-18,324,"Gyranda"
"210","982 123545151655",2019-06-18,289,"Gyranda"
"211","982 123545151666",2019-06-18,275,"Gyranda"
"212","982 123545151668",2019-06-18,282,"Gyranda"
"213","982 123545151675",2019-06-18,312,"Gyranda"
"214","982 123545151682",2019-06-18,289,"Gyranda"
"215","982 123545151684",2019-06-18,275,"Gyranda"
"216","982 123545151695",2019-06-18,298,"Gyranda"
"217","982 123545151708",2019-06-18,298,"Gyranda"
"218","982 123545151710",2019-06-18,302,"Gyranda"
"219","982 123545151716",2019-06-18,272,"Gyranda"
"220","982 123545151720",2019-06-18,307,"Gyranda"
"221","982 123545151721",2019-06-18,263,"Gyranda"
"222","982 123545151725",2019-06-18,321,"Gyranda"
"223","982 123545151735",2019-06-18,290,"Gyranda"
"224","982 123545151743",2019-06-07,265,"Gyranda"
"225","982 123545151752",2019-06-18,292,"Gyranda"
"226","982 123545151755",2019-06-18,285,"Gyranda"
"227","982 123545151759",2019-06-18,279,"Gyranda"
"228","982 123545151760",2019-06-18,287,"Gyranda"
"229","982 123545151762",2019-06-18,258,"Gyranda"
"230","982 123545151767",2019-06-18,260,"Gyranda"
"231","982 123545151776",2019-06-18,291,"Gyranda"
"232","982 123545151779",2019-06-18,276,"Gyranda"
"233","982 123545151783",2019-06-18,280,"Gyranda"
"234","982 123545151793",2019-06-18,298,"Gyranda"
"235","982 123545151805",2019-06-18,257,"Gyranda"
"236","982 123545151813",2019-06-18,269,"Gyranda"
"237","982 123545151816",2019-06-18,278,"Gyranda"
"238","982 123545151817",2019-06-18,255,"Gyranda"
"239","982 123545151818",2019-06-18,311,"Gyranda"
"240","982 123545151820",2019-06-18,281,"Gyranda"
"241","982 123545151821",2019-06-18,287,"Gyranda"
"242","982 123545151822",2019-06-18,280,"Gyranda"
"243","982 123545151825",2019-06-18,293,"Gyranda"
"244","982 123545151853",2019-06-18,263,"Gyranda"
"245","982 123545151854",2019-06-18,275,"Gyranda"
"246","982 123545151855",2019-06-18,289,"Gyranda"
"247","982 123545151858",2019-06-18,250,"Gyranda"
"248","982 123545151865",2019-06-18,304,"Gyranda"
"249","982 123545151874",2019-06-18,318,"Gyranda"
"250","982 123545151882",2019-06-18,283,"Gyranda"
"251","982 123545151885",2019-06-18,244,"Gyranda"
"252","982 123545151891",2019-06-18,264,"Gyranda"
"253","982 123545151894",2019-06-18,293,"Gyranda"
"254","982 123545151895",2019-06-18,291,"Gyranda"
"255","982 123545151904",2019-06-18,251,"Gyranda"
"256","982 123545151910",2019-06-18,295,"Gyranda"
"257","982 123545151920",2019-06-18,286,"Gyranda"
"258","982 123545151929",2019-06-18,255,"Gyranda"
"259","982 123545151961",2019-06-18,233,"Gyranda"
"260","982 123545151995",2019-06-18,250,"Gyranda"
"261","982 123545152004",2019-06-18,295,"Gyranda"
"262","982 123545152008",2019-06-18,293,"Gyranda"
"263","982 123723123220",2019-06-18,264,"Gyranda"
"264","982 123723123608",2019-06-07,275,"Gyranda"
"265","982 123723123616",2019-06-18,313,"Gyranda"
"266","982 123723123622",2019-06-07,291,"Gyranda"
"267","982 123723123627",2019-06-07,259,"Gyranda"
"268","982 123723123640",2019-06-07,247,"Gyranda"
