,RFID,Date,Weight,stationname
1,942 000021902855,19-04-18,534,Killara
2,942 000024589935,26-04-18,524,Killara
3,942 000024602747,22-05-18,278,Killara
4,942 000024603376,19-04-18,491,Killara
5,942 000026395162,04-05-18,209,Killara
6,942 000026395172,16-05-18,326,Killara
7,942 000026395181,16-05-18,226,Killara
8,942 000026395199,16-05-18,176,Killara
9,942 000026395201,16-05-18,276,Killara
10,942 000026395247,16-05-18,267,Killara
11,942 000026395256,16-05-18,266,Killara
12,942 000026395261,16-05-18,221,Killara
13,942 000026395285,16-05-18,238,Killara
14,942 000026395304,16-05-18,251,Killara
15,942 000026395316,16-05-18,251,Killara
16,942 000026395332,16-05-18,232,Killara
17,942 000026395395,16-05-18,274,Killara
18,942 000026395461,16-05-18,250,Killara
19,942 000026395487,04-05-18,251,Killara
20,942 000026395532,16-05-18,240,Killara
21,942 000026395568,16-05-18,249,Killara
22,942 000026395570,16-05-18,241,Killara
23,942 000026395581,16-05-18,227,Killara
24,942 000026395585,16-05-18,206,Killara
25,942 000026395592,16-05-18,268,Killara
26,942 000026395684,16-05-18,257,Killara
27,942 000026395746,16-05-18,257,Killara
28,942 000026395798,16-05-18,232,Killara
29,942 000026395880,16-05-18,257,Killara
30,942 000026395916,16-05-18,229,Killara
31,942 000026396065,16-05-18,308,Killara
32,942 000026396110,16-05-18,235,Killara
33,942 000026396195,16-05-18,227,Killara
34,942 000026396358,16-05-18,251,Killara
35,942 000026396366,16-05-18,234,Killara
36,942 000026396519,04-05-18,166,Killara
37,942 000026396870,16-05-18,233,Killara
38,942 000026396890,16-05-18,283,Killara
39,942 000026422365,16-05-18,169,Killara
40,942 000026422921,19-04-18,534,Killara
41,942 000026423236,16-05-18,327,Killara
42,942 000026423970,16-05-18,252,Killara
43,942 000026424084,16-05-18,163,Killara
44,942 000026424155,04-05-18,157,Killara
45,942 000026424187,16-05-18,179,Killara
46,942 000026424192,16-05-18,169,Killara
47,942 000026730617,04-05-18,175,Killara
48,942 000026785230,04-05-18,224,Killara
49,942 000026785239,04-05-18,160,Killara
50,942 000026785241,04-05-18,151,Killara
51,942 000026785246,18-03-19,120.5,Killara
52,942 000026785263,04-05-18,174,Killara
53,942 000026785266,04-05-18,171,Killara
54,942 000026785267,04-05-18,174,Killara
55,942 000026785285,04-05-18,212,Killara
56,942 000026785295,04-05-18,180,Killara
57,942 000026785298,04-05-18,223,Killara
58,942 000026785326,04-05-18,237,Killara
59,942 000026785351,04-05-18,183,Killara
60,942 000026785352,04-05-18,151,Killara
61,942 000026785373,04-05-18,193,Killara
62,942 000026785376,04-05-18,205,Killara
63,942 000026785377,04-05-18,190,Killara
64,942 000026785381,04-05-18,157,Killara
65,942 000026785386,04-05-18,180,Killara
66,942 000026785389,04-05-18,150,Killara
67,942 000026785394,22-05-18,278,Killara
68,942 000026785403,04-05-18,193,Killara
69,942 000026785404,04-05-18,185,Killara
70,942 000026785408,04-05-18,187,Killara
71,942 000026785423,04-05-18,165,Killara
72,942 000026785450,18-03-19,113,Killara
73,942 000026785459,04-05-18,151,Killara
74,942 000026785470,04-05-18,177,Killara
75,942 000026785479,04-05-18,198,Killara
76,942 000026785482,04-05-18,197,Killara
77,942 000026785483,04-05-18,207,Killara
78,942 000026785498,04-05-18,150,Killara
79,942 000026785513,04-05-18,147,Killara
80,942 000026785518,04-05-18,188,Killara
81,942 000026785520,04-05-18,200,Killara
82,942 000026785528,04-05-18,192,Killara
83,942 000026785528,13-02-19,325,Killara
84,942 000026785533,04-05-18,110,Killara
85,942 000026785546,11-04-19,189.5,Killara
86,942 000026785558,04-05-18,172,Killara
87,942 000026785575,04-05-18,191,Killara
88,942 000026785580,04-05-18,213,Killara
89,942 000026785631,04-05-18,187,Killara
90,942 000026785633,04-05-18,156,Killara
91,942 000026785637,04-05-18,160,Killara
92,942 000026785662,04-05-18,196,Killara
93,942 000026785687,04-05-18,145,Killara
94,942 000026785691,04-05-18,173,Killara
95,942 000026785704,04-05-18,168,Killara
96,942 000026785706,04-05-18,233,Killara
97,942 000026785710,04-05-18,141,Killara
98,942 000026785717,04-05-18,189,Killara
99,942 000026785722,04-05-18,214,Killara
100,942 000026785727,04-05-18,159,Killara
101,942 000026785742,04-05-18,207,Killara
102,942 000026785761,04-05-18,115,Killara
103,942 000026785768,04-05-18,155,Killara
104,942 000026785773,04-05-18,182,Killara
105,942 000026785777,04-05-18,133,Killara
106,942 000026785796,04-05-18,155,Killara
107,942 000026785796,13-02-19,313,Killara
108,942 000026785797,04-05-18,158,Killara
109,942 000026785805,04-05-18,178,Killara
110,942 000026785807,04-05-18,230,Killara
111,942 000026785810,04-05-18,195,Killara
112,942 000026785816,18-03-19,97,Killara
113,942 000026785817,04-05-18,194,Killara
114,942 000026785833,04-05-18,141,Killara
115,942 000026785852,18-03-19,170.5,Killara
116,942 000026785869,04-05-18,188,Killara
117,942 000026785871,18-03-19,76,Killara
118,942 000026785877,04-05-18,147,Killara
119,942 000026785878,04-05-18,183,Killara
120,942 000026785881,04-05-18,122,Killara
121,942 000026785906,04-05-18,191,Killara
122,942 000026785919,04-05-18,221,Killara
123,942 000026785944,18-03-19,136,Killara
124,942 000026785955,04-05-18,178,Killara
125,942 000026785962,18-03-19,120.5,Killara
126,942 000026785964,04-05-18,219,Killara
127,942 000026785983,04-05-18,221,Killara
128,942 000026785989,04-05-18,149,Killara
129,942 000026785999,04-05-18,167,Killara
130,942 000026786003,04-05-18,181,Killara
131,942 000026786015,04-05-18,163,Killara
132,942 000026786017,04-05-18,210,Killara
133,942 000026786020,04-05-18,148,Killara
134,942 000026786032,04-05-18,149,Killara
135,942 000026786064,04-05-18,201,Killara
136,942 000026786068,04-05-18,152,Killara
137,942 000026786074,04-05-18,196,Killara
138,942 000026786091,04-05-18,142,Killara
139,942 000026786097,04-05-18,172,Killara
140,942 000026786128,04-05-18,124,Killara
141,942 000026786141,04-05-18,161,Killara
