"","RFID","Weight","Date","Location","cattle_id"
"1","990 200000108916",91.19,2021-08-05 23:39:56,"LaEmilia",NA
"2","964 001026850016",90.78,2021-08-05 23:40:18,"LaEmilia","5e4dc1297e18000018006595"
"3","990 200000108916",90.9,2021-08-05 23:40:32,"LaEmilia",NA
"4","990 200000108984",87.49,2021-08-06 01:56:12,"LaEmilia","5d7972e0486500001c000b6f"
"5","964 001026898245",87.34,2021-08-06 02:02:37,"LaEmilia",NA
"6","900 001000660984",86.45,2021-08-06 02:02:55,"LaEmilia",NA
"7","990 200000108984",92.14,2021-08-06 02:23:36,"LaEmilia","5d7972e0486500001c000b6f"
"8","964 001026898245",90.93,2021-08-06 02:24:18,"LaEmilia",NA
"9","900 001000660984",89.88,2021-08-06 02:26:05,"LaEmilia",NA
"10","900 001000660984",272.77,2021-08-06 02:43:03,"LaEmilia",NA
"11","964 001026850431",522.29,2021-08-06 02:43:03,"LaEmilia","5f07e4119f0e0000be0071e2"
"12","990 200000108984",266.97,2021-08-06 02:43:03,"LaEmilia","5d7972e0486500001c000b6f"
"13","964 001026850432",353.21,2021-08-06 02:43:27,"LaEmilia","5f07e4119f0e0000be0071e3"
"14","964 001026850454",433.37,2021-08-06 02:44:53,"LaEmilia","5f07e4079f0e0000be0071bd"
"15","964 001026850404",443.26,2021-08-06 02:45:23,"LaEmilia","5f07e40a9f0e0000be0071c7"
"16","964 001026850458",605.02,2021-08-06 02:45:23,"LaEmilia","5f07e4089f0e0000be0071c1"
"17","964 001026850483",414.28,2021-08-06 02:45:23,"LaEmilia",NA
"18","964 001026850437",625.19,2021-08-06 02:45:36,"LaEmilia","5f07e4129f0e0000be0071e8"
"19","964 001026850403",488.01,2021-08-06 02:45:36,"LaEmilia","5f07e40a9f0e0000be0071c6"
"20","964 001026850455",465.92,2021-08-06 02:46:01,"LaEmilia","5f07e4079f0e0000be0071be"
"21","964 001026850460",478.78,2021-08-06 02:46:01,"LaEmilia","5f07e4049f0e0000be0071b2"
"22","964 001026850473",442.16,2021-08-06 02:46:01,"LaEmilia",NA
"23","964 001026850484",438.88,2021-08-06 02:46:01,"LaEmilia",NA
"24","964 001026850401",543.59,2021-08-06 02:46:27,"LaEmilia","5f07e4099f0e0000be0071c4"
"25","964 001026850482",402.22,2021-08-06 02:46:37,"LaEmilia",NA
"26","964 001026850449",486.07,2021-08-06 02:46:52,"LaEmilia",NA
"27","964 001026850429",498.38,2021-08-06 02:47:30,"LaEmilia","5f07e4109f0e0000be0071e0"
"28","964 001026850451",426.4,2021-08-06 02:53:01,"LaEmilia","5f07e4069f0e0000be0071ba"
"29","964 001026850408",474.73,2021-08-06 02:53:34,"LaEmilia","5f07e40b9f0e0000be0071cb"
"30","964 001026850409",397.19,2021-08-06 02:57:41,"LaEmilia","5f07e40b9f0e0000be0071cc"
"31","964 001026850420",503.74,2021-08-06 02:58:11,"LaEmilia","5f07e40e9f0e0000be0071d7"
"32","964 001026850452",468.09,2021-08-06 02:59:03,"LaEmilia","5f07e4079f0e0000be0071bb"
"33","964 001026850472",384.95,2021-08-06 03:01:59,"LaEmilia",NA
"34","964 001026850410",353.41,2021-08-06 03:02:57,"LaEmilia","5f07e40b9f0e0000be0071cd"
"35","964 001026850417",447.62,2021-08-06 03:03:03,"LaEmilia","5f07e40d9f0e0000be0071d4"
