"","RFID","Weight","Date","Location","cattle_id"
"1","900 081000612585",58.38,2020-10-17 09:13:34,"LaFlorida",NA
"2","990 200000108937",92.84,2020-10-17 09:27:46,"LaFlorida",NA
"3","900 001000660984",58.52,2020-10-17 09:27:59,"LaFlorida",NA
"4","900 081000612585",91.73,2020-10-17 09:28:03,"LaFlorida",NA
"5","990 200000108934",85.78,2020-10-20 12:21:08,"LaFlorida",NA
"6","964 001030068921",89.58,2020-10-21 00:24:32,"LaFlorida",NA
"7","964 001030068920",59.22,2020-10-21 00:25:06,"LaFlorida",NA
"8","964 001030068921",91.2,2020-10-21 00:25:22,"LaFlorida",NA
"9","964 001030068920",58.59,2020-10-21 00:26:10,"LaFlorida",NA
"10","964 001030068921",93.22,2020-10-21 00:32:58,"LaFlorida",NA
"11","964 001030068861",67.53,2020-12-01 09:33:13,"LaFlorida","5ffd2d29070200004c001da3"
"12","964 001030068775",383.03,2020-12-08 10:04:07,"LaFlorida","5ffd2d23070200004c001d77"
"13","964 001030068800",467,2020-12-08 18:05:49,"LaFlorida","5ffd2d1b070200004c001d3c"
"14","964 001030068799",489.82,2020-12-08 18:05:59,"LaFlorida","5ffd2d20070200004c001d63"
"15","964 001030068820",427.75,2020-12-08 18:06:18,"LaFlorida","5ffd2d22070200004c001d72"
"16","964 001030068802",391.91,2020-12-08 18:07:39,"LaFlorida","5ffd2d1b070200004c001d3e"
"17","964 001030068841",433.67,2020-12-08 18:07:45,"LaFlorida","5ffd2d1d070200004c001d4a"
"18","964 001030068784",438.58,2020-12-08 18:07:49,"LaFlorida","5ffd2d24070200004c001d7c"
"19","964 001030068775",379.82,2020-12-08 18:08:03,"LaFlorida","5ffd2d23070200004c001d77"
"20","964 001030068801",460.16,2020-12-08 18:08:03,"LaFlorida","5ffd2d1b070200004c001d3d"
"21","964 001030068786",425.5,2020-12-08 18:08:03,"LaFlorida","5ffd2d25070200004c001d83"
"22","964 001030068842",474.37,2020-12-08 18:08:33,"LaFlorida","5ffd2d1d070200004c001d4b"
"23","964 001030068793",441.22,2020-12-08 18:12:02,"LaFlorida","5ffd2d23070200004c001d73"
"24","964 001030068839",485.88,2020-12-08 18:16:30,"LaFlorida","5ffd2d21070200004c001d67"
"25","964 001030068833",472.47,2020-12-08 18:23:39,"LaFlorida","5ffd2d25070200004c001d87"
"26","964 001030068787",384.53,2020-12-08 19:09:13,"LaFlorida","5ffd2d25070200004c001d84"
"27","964 001030068827",457.93,2020-12-08 19:38:54,"LaFlorida","5ffd2d1e070200004c001d51"
"28","964 001030068762",405.37,2020-12-08 19:39:03,"LaFlorida","5ffd2d20070200004c001d5d"
"29","964 001030068804",407.25,2020-12-08 19:39:19,"LaFlorida","5ffd2d1c070200004c001d40"
"30","964 001030068783",389.71,2020-12-08 19:39:30,"LaFlorida","5ffd2d24070200004c001d7e"
"31","964 001030068814",384.9,2020-12-08 19:39:37,"LaFlorida","5ffd2d1a070200004c001d32"
"32","964 001030068803",425.13,2020-12-08 19:40:12,"LaFlorida","5ffd2d1c070200004c001d3f"
"33","964 001030068752",408.45,2020-12-08 19:40:18,"LaFlorida","5ffd2d1e070200004c001d4d"
"34","964 001030068792",403.79,2020-12-08 19:41:23,"LaFlorida","5ffd2d23070200004c001d78"
"35","964 001030068848",398.69,2020-12-08 19:42:05,"LaFlorida","5ffd2d21070200004c001d6b"
