"","RFID","Weight","Date","Location","cattle_id"
"1","964 001026898245",91.16,2021-06-11 09:32:46,"latijereta",NA
"2","990 200000108937",90.25,2021-06-11 10:38:25,"latijereta",NA
"3","964 001026898245",90.22,2021-06-11 10:38:35,"latijereta",NA
"4","964 001026898245",89.7,2021-06-14 10:59:30,"latijereta",NA
"5","900 081000612585",101.47,2021-06-14 11:00:24,"latijereta",NA
"6","964 001026898245",61.17,2021-06-16 00:31:01,"latijereta",NA
"7","900 081000612585",91.23,2021-06-16 00:32:34,"latijereta",NA
"8","990 200000108937",78.78,2021-06-16 05:05:24,"latijereta",NA
"9","964 001026898263",95.63,2021-06-16 05:09:21,"latijereta",NA
"10","900 081000612585",80.97,2021-06-16 05:10:24,"latijereta",NA
"11","964 001026898262",91.08,2021-06-16 05:18:07,"latijereta",NA
"12","964 001026898263",106.17,2021-06-16 05:18:28,"latijereta",NA
"13","900 081000612585",84.55,2021-06-16 05:18:42,"latijereta",NA
"14","964 001026898262",88.15,2021-06-16 05:20:46,"latijereta",NA
"15","900 081000612585",85.8,2021-06-16 05:21:23,"latijereta",NA
"16","964 001026898262",99.31,2021-06-16 05:23:22,"latijereta",NA
"17","964 001026898263",115.19,2021-06-16 05:23:41,"latijereta",NA
"18","964 001026898262",91.69,2021-06-16 05:25:23,"latijereta",NA
"19","964 001026898263",108.38,2021-06-16 05:25:55,"latijereta",NA
"20","964 001026898261",86.19,2021-06-16 05:26:46,"latijereta",NA
"21","964 001026898262",107.81,2021-06-16 05:49:54,"latijereta",NA
"22","990 200000108937",107.62,2021-06-16 05:49:54,"latijereta",NA
"23","964 001026898261",107.76,2021-06-16 05:49:54,"latijereta",NA
"24","900 081000612585",109.3,2021-06-16 05:49:54,"latijereta",NA
"25","964 001026898262",109.11,2021-06-16 05:49:54,"latijereta",NA
"26","964 001026898263",106.8,2021-06-16 05:49:54,"latijereta",NA
"27","990 200000108937",112.53,2021-06-16 05:57:43,"latijereta",NA
"28","964 001026898263",117.03,2021-06-16 05:57:43,"latijereta",NA
"29","900 081000612585",203.95,2021-06-16 05:57:43,"latijereta",NA
"30","990 200000108937",207.1,2021-06-16 05:57:43,"latijereta",NA
"31","964 001026898262",115.43,2021-06-16 05:57:43,"latijereta",NA
"32","964 001026898262",110.26,2021-06-16 06:09:39,"latijereta",NA
"33","990 200000108937",110.03,2021-06-16 06:09:39,"latijereta",NA
"34","990 200000108937",109.56,2021-06-16 06:09:39,"latijereta",NA
"35","900 081000612585",110.59,2021-06-16 06:09:39,"latijereta",NA
"36","990 200000108937",109.81,2021-06-16 06:09:39,"latijereta",NA
"37","964 001026898262",109.68,2021-06-16 06:09:39,"latijereta",NA
"38","990 200000108937",109.61,2021-06-16 06:09:39,"latijereta",NA
"39","990 200000108937",110.15,2021-06-16 06:09:39,"latijereta",NA
"40","964 001026898262",111.94,2021-06-16 06:09:39,"latijereta",NA
"41","964 001026898262",110.03,2021-06-16 06:09:39,"latijereta",NA
"42","990 200000108937",110.1,2021-06-16 06:09:39,"latijereta",NA
"43","990 200000108937",110.17,2021-06-16 06:09:39,"latijereta",NA
"44","900 081000612585",108.93,2021-06-16 06:09:39,"latijereta",NA
"45","964 001026898262",110.07,2021-06-16 06:09:39,"latijereta",NA
"46","990 200000108937",111.22,2021-06-16 06:09:39,"latijereta",NA
"47","990 200000108937",109.74,2021-06-16 06:09:39,"latijereta",NA
"48","900 081000612585",110.43,2021-06-16 06:09:39,"latijereta",NA
"49","964 001026898262",113.07,2021-06-16 06:09:39,"latijereta",NA
"50","990 200000108937",111.28,2021-06-16 06:09:39,"latijereta",NA
"51","900 081000612585",110.44,2021-06-16 06:09:39,"latijereta",NA
"52","964 001026898262",110.5,2021-06-16 06:09:39,"latijereta",NA
