"","RFID","Weight","Date","Location","cattle_id"
"1","982 091014185383",108.04,2020-08-24 11:03:44,"Math1",NA
"2","982 000121745785",107.6,2020-08-24 11:13:14,"Math1",NA
"3","964 001023929693",286.95,2020-09-23 16:34:59,"Math1","5f6bdde6c37900005a006fb7"
"4","964 001023929674",98.72,2020-09-23 16:54:04,"Math1","5f6bddd4c37900005a006f23"
"5","964 001026954983",194.44,2020-09-23 16:56:30,"Math1","5f6bddd9c37900005a006f4f"
"6","964 001026957724",251.09,2020-09-23 18:08:52,"Math1","5f6bdde3c37900005a006f9c"
"7","964 001026954112",123.71,2020-09-23 18:09:13,"Math1","5f6bdddac37900005a006f56"
"8","964 001023929668",112.1,2020-09-23 18:09:22,"Math1","5f6bddc3c37900005a006e8b"
"9","964 001026957734",114.48,2020-09-23 18:15:32,"Math1","5f6bddc6c37900005a006ea6"
"10","964 001026957765",144.42,2020-09-23 18:15:46,"Math1","5f6bddcec37900005a006ef1"
"11","964 001026954950",155.97,2020-09-23 18:16:14,"Math1","5f6bddcfc37900005a006ef3"
"12","964 001026954122",175.11,2020-09-23 18:18:19,"Math1","5f6bddd2c37900005a006f12"
"13","964 001026954952",369.13,2020-09-23 18:18:19,"Math1","5f6bdde6c37900005a006fbc"
"14","964 001026954922",297,2020-09-23 18:18:28,"Math1","5f6bdde6c37900005a006fb6"
"15","964 001026954916",90.52,2020-09-23 18:37:01,"Math1","5f6bddc8c37900005a006eb9"
"16","964 001023929723",157.28,2020-09-23 18:37:05,"Math1","5f6bddd2c37900005a006f11"
"17","964 001023929731",185.65,2020-09-23 18:37:14,"Math1","5f6bdddfc37900005a006f7a"
"18","964 001026954171",151.96,2020-09-23 18:37:18,"Math1","5f6bddccc37900005a006edb"
"19","964 001026954175",139.34,2020-09-23 18:37:37,"Math1","5f6bddc7c37900005a006eb4"
"20","964 001026954973",153.31,2020-09-23 18:37:43,"Math1","5f6bddcec37900005a006eea"
"21","964 001026957796",144.34,2020-09-23 18:38:29,"Math1","5f6bddc7c37900005a006ead"
"22","964 001026954930",195.55,2020-09-23 18:38:29,"Math1","5f6bdddbc37900005a006f5e"
"23","964 001026957718",251.22,2020-09-23 18:38:38,"Math1","5f6bdde3c37900005a006fa3"
"24","964 001026954127",211.91,2020-09-23 19:05:14,"Math1","5f6bddddc37900005a006f6d"
"25","964 001026954946",176.14,2020-09-23 19:22:09,"Math1","5f6bddd8c37900005a006f40"
"26","964 001023929682",160.61,2020-09-23 19:22:15,"Math1","5f6bddd7c37900005a006f37"
"27","964 001026957791",211.68,2020-09-23 19:22:48,"Math1","5f6bdddec37900005a006f74"
"28","964 001026954917",110.51,2020-09-23 19:23:15,"Math1","5f6bddd5c37900005a006f29"
"29","964 001026954961",207.1,2020-09-23 19:23:31,"Math1","5f6bdddfc37900005a006f7c"
"30","964 001026954107",183.73,2020-09-23 19:23:40,"Math1","5f6bddd5c37900005a006f2e"
"31","964 001026954194",276.58,2020-09-23 19:23:47,"Math1","5f6bdde4c37900005a006faa"
"32","964 001026954985",200.04,2020-09-23 19:23:50,"Math1","5f6bddd9c37900005a006f48"
"33","964 001026954114",81.38,2020-09-23 19:26:29,"Math1","5f6bddc1c37900005a006e82"
"34","964 001026954924",183.3,2020-09-23 19:44:29,"Math1","5f6bddd8c37900005a006f45"
