"","RFID","Date","Weight","stationname"
"1","964 001023929738",2020-08-22,51.5,"Mathison"
"2","964 001023929687",2020-08-22,58,"Mathison"
"3","964 001023929646",2020-08-22,66.5,"Mathison"
"4","964 001026954155",2020-08-22,67.5,"Mathison"
"5","964 001026957728",2020-08-22,69,"Mathison"
"6","964 001026954161",2020-08-22,74.5,"Mathison"
"7","964 001026954925",2020-08-22,76,"Mathison"
"8","964 001023929739",2020-08-22,78.5,"Mathison"
"9","964 001023929704",2020-08-22,79.5,"Mathison"
"10","964 001026954131",2020-08-22,84,"Mathison"
"11","964 001023929708",2020-08-22,85,"Mathison"
"12","964 001026954110",2020-08-22,86.5,"Mathison"
"13","964 001023929695",2020-08-22,88.5,"Mathison"
"14","964 001026954934",2020-08-22,91.5,"Mathison"
"15","964 001023929689",2020-08-22,94,"Mathison"
"16","964 001026954995",2020-08-22,95,"Mathison"
"17","964 001026954154",2020-08-22,95.5,"Mathison"
"18","964 001026954169",2020-08-22,99.5,"Mathison"
"19","964 001026954158",2020-08-22,100,"Mathison"
"20","964 001026957736",2020-08-22,101,"Mathison"
"21","964 001026954986",2020-08-22,102,"Mathison"
"22","964 001026954960",2020-08-22,102.5,"Mathison"
"23","964 001026954994",2020-08-22,104,"Mathison"
"24","964 001026957795",2020-08-22,104,"Mathison"
"25","964 001026954114",2020-08-22,104.5,"Mathison"
"26","964 001026954167",2020-08-22,104.5,"Mathison"
"27","964 001023929683",2020-08-22,105.5,"Mathison"
"28","964 001026954109",2020-08-22,105.5,"Mathison"
"29","964 001023929685",2020-08-22,106.5,"Mathison"
"30","964 001026954912",2020-08-22,106.5,"Mathison"
"31","964 001023929583",2020-08-22,107,"Mathison"
"32","964 001026957717",2020-08-22,107.5,"Mathison"
"33","964 001023929733",2020-08-22,108,"Mathison"
"34","964 001023929668",2020-08-22,108.5,"Mathison"
"35","964 001026954936",2020-08-22,108.5,"Mathison"
"36","964 001026954991",2020-08-22,109,"Mathison"
"37","964 001026957704",2020-08-22,109,"Mathison"
"38","964 001023929690",2020-08-22,109.5,"Mathison"
"39","964 001026954119",2020-08-22,109.5,"Mathison"
"40","964 001026954142",2020-08-22,109.5,"Mathison"
"41","964 001023929718",2020-08-22,110,"Mathison"
"42","964 001023929642",2020-08-22,111,"Mathison"
"43","964 001023929648",2020-08-22,111,"Mathison"
"44","964 001026954126",2020-08-22,112,"Mathison"
"45","964 001026957716",2020-08-22,112,"Mathison"
"46","964 001026954999",2020-08-22,112.5,"Mathison"
"47","964 001026954993",2020-08-22,114,"Mathison"
"48","964 001026957747",2020-08-22,114,"Mathison"
"49","964 001026954921",2020-08-22,114.5,"Mathison"
"50","964 001026954150",2020-08-22,115.5,"Mathison"
