"","RFID","Weight","Date","Location","cattle_id"
"1","999 100000002065",71.54,2022-11-17 05:26:10,"ViedmaB1",NA
"2","999 100000002303",68.67,2022-11-17 05:26:10,"ViedmaB1",NA
"3","999 100000002379",71.5,2022-11-17 05:26:10,"ViedmaB1",NA
"4","999 100000002379",81.94,2022-11-17 05:32:40,"ViedmaB1",NA
"5","982 000444720489",88.68,2022-11-17 05:34:26,"ViedmaB1",NA
"6","999 100000002241",89.57,2022-11-17 05:34:26,"ViedmaB1",NA
"7","999 100000002379",89.56,2022-11-17 05:34:26,"ViedmaB1",NA
"8","964 001026898246",89.55,2022-11-17 05:34:26,"ViedmaB1",NA
"9","999 100000002303",89.64,2022-11-17 05:34:26,"ViedmaB1",NA
"10","999 100000002065",85.36,2022-11-17 05:34:26,"ViedmaB1",NA
"11","999 100000002303",86.47,2022-11-17 05:34:26,"ViedmaB1",NA
"12","964 001026898246",88.76,2022-11-17 05:34:26,"ViedmaB1",NA
"13","964 001026898246",89.14,2022-11-17 05:34:26,"ViedmaB1",NA
"14","999 100000002379",86.4,2022-11-17 05:34:45,"ViedmaB1",NA
"15","964 001026898246",74.74,2022-11-17 05:36:41,"ViedmaB1",NA
"16","999 100000002065",76.38,2022-11-17 05:36:41,"ViedmaB1",NA
"17","999 100000002065",68.3,2022-11-18 00:51:49,"ViedmaB1",NA
"18","982 126055493335",253.83,2022-11-18 03:41:42,"ViedmaB1",NA
"19","982 126055493339",433.88,2022-11-18 03:41:42,"ViedmaB1",NA
"20","982 126055493337",374.61,2022-11-18 03:41:42,"ViedmaB1",NA
"21","982 126055493336",809.96,2022-11-18 03:41:42,"ViedmaB1",NA
"22","982 126055493339",686.64,2022-11-18 03:41:42,"ViedmaB1",NA
"23","982 126055493336",587.9,2022-11-18 03:41:42,"ViedmaB1",NA
"24","982 126055493338",448.69,2022-11-18 03:41:46,"ViedmaB1",NA
"25","032 010001234771",443.67,2023-02-14 21:19:02,"ViedmaB1","63eca29e09a383fcf30aa6aa"
"26","032 010001234844",430.4,2023-02-14 21:20:42,"ViedmaB1","63eca29e09a383fcf30aa6ab"
"27","982 126055493192",596.27,2023-02-15 02:03:18,"ViedmaB1","63eca29e09a383fcf30aa6ac"
"28","982 126055493172",423.4,2023-02-15 02:06:41,"ViedmaB1","63eca29e09a383fcf30aa6ad"
"29","032 010001234771",485.19,2023-02-15 02:07:06,"ViedmaB1","63eca29e09a383fcf30aa6aa"
"30","982 126055493194",524.65,2023-02-15 02:07:06,"ViedmaB1","63eca29e09a383fcf30aa6ae"
"31","032 010001234771",442.11,2023-02-15 02:07:06,"ViedmaB1","63eca29e09a383fcf30aa6aa"
"32","982 126055493194",442.11,2023-02-15 02:07:06,"ViedmaB1","63eca29e09a383fcf30aa6ae"
"33","982 126055493195",376.78,2023-02-15 02:52:52,"ViedmaB1","63eca29e09a383fcf30aa6af"
"34","982 126055493186",422.12,2023-02-15 02:52:59,"ViedmaB1","63eca29f09a383fcf30aa6b0"
"35","982 126055493176",528.38,2023-02-15 02:53:23,"ViedmaB1","63eca29f09a383fcf30aa6b1"
"36","982 126055493179",380.73,2023-02-15 02:53:27,"ViedmaB1","63eca29f09a383fcf30aa6b2"
