"","RFID","Date","Weight","stationname"
"1","982 123724743259",2019-10-25,35,"Belmont"
"2","982 123724743372",2019-10-15,1.5,"Belmont"
"3","982 123724743401",2019-10-15,39,"Belmont"
"4","982 123724743413",2019-10-15,51.5,"Belmont"
"5","982 123724743419",2019-10-25,62,"Belmont"
"6","982 123724743433",2019-10-15,52,"Belmont"
"7","982 123724743437",2019-10-15,37,"Belmont"
"8","982 123724743438",2019-10-15,41,"Belmont"
"9","982 123724743449",2019-10-15,37.5,"Belmont"
"10","982 123724743456",2019-10-15,34.5,"Belmont"
"11","982 123724743456",2019-10-25,39,"Belmont"
"12","982 123724743466",2019-10-15,45,"Belmont"
"13","982 123724743501",2019-11-12,43.5,"Belmont"
"14","982 123724743502",2019-10-25,45,"Belmont"
"15","982 123724743505",2019-11-12,45.5,"Belmont"
"16","982 123736288244",2019-11-12,33,"Belmont"
"17","982 123736288258",2019-11-12,40,"Belmont"
"18","982 123736288274",2019-11-12,0,"Belmont"
"19","982 123736288357",2019-11-12,48.5,"Belmont"
"20","982 123736288784",2019-11-12,18.5,"Belmont"
"21","982 123736288801",2019-11-12,33,"Belmont"
"22","982 123736288810",2019-11-12,45,"Belmont"
"23","982 123724743222",2020-05-26,223,"Belmont"
"24","982 123724743229",2020-05-26,215,"Belmont"
"25","982 123724743372",2020-05-27,218,"Belmont"
"26","982 123724743381",2020-05-26,224,"Belmont"
"27","982 123724743401",2020-05-27,193,"Belmont"
"28","982 123724743413",2020-05-27,203,"Belmont"
"29","982 123724743419",2020-05-27,223,"Belmont"
"30","982 123724743433",2020-05-27,225,"Belmont"
"31","982 123724743437",2020-05-27,206,"Belmont"
"32","982 123724743438",2020-05-27,209,"Belmont"
"33","982 123724743449",2020-05-27,196.5,"Belmont"
"34","982 123724743456",2020-05-27,165.5,"Belmont"
"35","982 123724743466",2020-05-27,242,"Belmont"
"36","982 123724743501",2020-05-27,143.5,"Belmont"
"37","982 123724743502",2020-05-27,212,"Belmont"
"38","982 123724743505",2020-05-27,186.5,"Belmont"
"39","982 123724743516",2020-05-26,231,"Belmont"
"40","982 123736288177",2020-05-27,200,"Belmont"
"41","982 123736288188",2020-05-26,193.5,"Belmont"
"42","982 123736288197",2020-05-26,212,"Belmont"
"43","982 123736288209",2020-05-27,187,"Belmont"
"44","982 123736288244",2020-05-27,169.5,"Belmont"
"45","982 123736288258",2020-05-27,204,"Belmont"
"46","982 123736288269",2020-05-26,240,"Belmont"
"47","982 123736288274",2020-05-27,187,"Belmont"
"48","982 123736288336",2020-05-26,204,"Belmont"
"49","982 123736288357",2020-05-27,181.5,"Belmont"
"50","982 123736288405",2020-05-27,187.5,"Belmont"
"51","982 123736288439",2020-05-27,199,"Belmont"
"52","982 123736288687",2020-05-27,165.5,"Belmont"
"53","982 123736288690",2020-05-27,181.5,"Belmont"
"54","982 123736288701",2020-05-27,176.5,"Belmont"
"55","982 123736288702",2020-05-27,184,"Belmont"
"56","982 123736288715",2020-05-27,186.5,"Belmont"
"57","982 123736288784",2020-05-27,183,"Belmont"
"58","982 123736288801",2020-05-27,174,"Belmont"
"59","982 123736288810",2020-05-27,212,"Belmont"
"60","982 123724743501",2021-02-11,224,"Belmont"
"61","982 123736288318",2021-02-11,273,"Belmont"
"62","982 123724743381",2021-02-11,252,"Belmont"
"63","982 123736288089",2021-02-11,226,"Belmont"
"64","982 123724743502",2021-02-11,290,"Belmont"
"65","982 123736288209",2021-02-11,270,"Belmont"
"66","982 123736288687",2021-02-11,217,"Belmont"
"67","982 123736288336",2021-02-11,258,"Belmont"
"68","982 123736288197",2021-02-11,292,"Belmont"
"69","982 123736288280",2021-02-11,214,"Belmont"
"70","982 123736288690",2021-02-11,242,"Belmont"
"71","982 123736288269",2021-02-11,276,"Belmont"
"72","982 123736288099",2021-02-11,218,"Belmont"
"73","982 123736288118",2021-02-11,303,"Belmont"
"74","982 123724743401",2021-02-11,246,"Belmont"
"75","982 123736288701",2021-02-11,243,"Belmont"
"76","982 123724743433",2021-02-11,272,"Belmont"
"77","982 123724743419",2021-02-11,297,"Belmont"
"78","982 123736288274",2021-02-11,274,"Belmont"
"79","982 123736288296",2021-02-11,271,"Belmont"
"80","982 123736288320",2021-02-11,240,"Belmont"
"81","982 123736288303",2021-02-11,269,"Belmont"
"82","982 123736288357",2021-02-11,245,"Belmont"
"83","982 123724743516",2021-02-11,314,"Belmont"
"84","982 123724743413",2021-02-11,253,"Belmont"
"85","982 123736288715",2021-02-11,256,"Belmont"
"86","982 123724743259",2021-02-11,289,"Belmont"
"87","982 123724743222",2021-02-11,294,"Belmont"
"88","982 123736288405",2021-02-11,284,"Belmont"
"89","982 123724743505",2021-02-11,278,"Belmont"
"90","982 123736288244",2021-02-11,266,"Belmont"
"91","982 123736288188",2021-02-11,292,"Belmont"
"92","982 123736288177",2021-02-11,257,"Belmont"
"93","982 123724743456",2021-02-11,237,"Belmont"
"94","982 123724743229",2021-02-11,298,"Belmont"
"95","982 123736288439",2021-02-11,265,"Belmont"
"96","982 123724743437",2021-02-11,280,"Belmont"
"97","982 123724743449",2021-02-11,263,"Belmont"
"98","982 123724743466",2021-02-11,321,"Belmont"
"99","982 123736288810",2021-02-11,277,"Belmont"
"100","982 123736288258",2021-02-11,263,"Belmont"
"101","982 123724743438",2021-02-11,277,"Belmont"
"102","982 123724743372",2021-02-11,263,"Belmont"
"103","982 123736288668",2021-06-16,220,"Belmont"
"104","982 123736288668",2022-01-18,257,"Belmont"
"105","982 123766109172",2023-02-09,248,"Belmont"
"106","982 123766109181",2023-02-09,209,"Belmont"
"107","982 123766108972",2023-02-09,289,"Belmont"
"108","982 123766109061",2023-02-09,288,"Belmont"
"109","982 123766108995",2023-02-09,251,"Belmont"
"110","982 123766109034",2023-02-09,295,"Belmont"
"111","982 123766108849",2023-02-09,252,"Belmont"
"112","982 123766109174",2023-02-09,243,"Belmont"
"113","982 123766109043",2023-02-09,291,"Belmont"
"114","982 123766108915",2023-02-09,258,"Belmont"
"115","982 123766109130",2023-02-09,327,"Belmont"
"116","982 123766109245",2023-02-09,335,"Belmont"
"117","982 123766108984",2023-02-09,286,"Belmont"
"118","982 123766108913",2023-02-09,207,"Belmont"
"119","982 123766109091",2023-02-09,276,"Belmont"
"120","982 123766109016",2023-02-09,285,"Belmont"
"121","982 123766108976",2023-02-09,270,"Belmont"
"122","982 123766108776",2023-02-09,326,"Belmont"
"123","982 123766109246",2023-02-09,299,"Belmont"
"124","982 123766108851",2023-02-09,220,"Belmont"
"125","982 123766109248",2023-02-09,345,"Belmont"
"126","982 123766109060",2023-02-09,252,"Belmont"
"127","982 123766109258",2023-02-09,323,"Belmont"
"128","982 123766109031",2023-02-09,258,"Belmont"
"129","982 123766109243",2023-02-09,305,"Belmont"
"130","982 123766109015",2023-02-09,214,"Belmont"
"131","982 123766109083",2023-02-09,349,"Belmont"
"132","982 123766108874",2023-02-09,262,"Belmont"
"133","982 123766108989",2023-02-09,278,"Belmont"
"134","982 123766109049",2023-02-09,332,"Belmont"
"135","982 123766109003",2023-02-09,257,"Belmont"
"136","982 123766109144",2023-02-09,344,"Belmont"
"137","982 123766108877",2023-02-09,245,"Belmont"
"138","982 123766109229",2023-02-09,316,"Belmont"
"139","982 123766108902",2023-02-09,245,"Belmont"
"140","982 123766109128",2023-02-09,337,"Belmont"
"141","982 123766109141",2023-02-09,282,"Belmont"
"142","982 123766108894",2023-02-09,281,"Belmont"
"143","982 123766109217",2023-02-09,239,"Belmont"
"144","982 123766109168",2023-02-09,347,"Belmont"
"145","982 123766109073",2023-02-09,251,"Belmont"
"146","982 123766109165",2023-02-09,329,"Belmont"
"147","982 123766109161",2023-02-09,311,"Belmont"
"148","982 123766109122",2023-02-09,334,"Belmont"
"149","982 123766109129",2023-02-09,298,"Belmont"
"150","982 123766109032",2023-02-09,317,"Belmont"
"151","982 123766109244",2023-02-09,343,"Belmont"
"152","982 123766108973",2023-02-09,235,"Belmont"
"153","982 123766109215",2023-02-09,287,"Belmont"
"154","982 123766109057",2023-02-09,288,"Belmont"
"155","982 123766109079",2023-02-09,294,"Belmont"
"156","982 123766108769",2023-02-09,284,"Belmont"
"157","982 123766108859",2023-02-09,249,"Belmont"
"158","982 123766109149",2023-02-09,333,"Belmont"
"159","982 123766109160",2023-02-09,312,"Belmont"
"160","982 123766108892",2023-02-09,231,"Belmont"
"161","982 123766108970",2023-02-09,249,"Belmont"
"162","982 123766108879",2023-02-09,270,"Belmont"
"163","982 123766109097",2023-02-09,292,"Belmont"
"164","982 123766109135",2023-02-09,314,"Belmont"
"165","982 123766109092",2023-02-09,283,"Belmont"
"166","982 123766109164",2023-02-09,282,"Belmont"
"167","982 123766109039",2023-02-09,344,"Belmont"
"168","982 123766109225",2023-02-09,280,"Belmont"
"169","982 123766108990",2023-02-09,249,"Belmont"
"170","982 123766108992",2023-02-09,291,"Belmont"
"171","982 123766109137",2023-02-09,327,"Belmont"
"172","982 123766109104",2023-02-09,282,"Belmont"
"173","982 123766109080",2023-02-09,300,"Belmont"
"174","982 123766108861",2023-02-09,246,"Belmont"
"175","982 123766108777",2023-02-09,325,"Belmont"
"176","982 123766109120",2023-02-09,320,"Belmont"
"177","982 123766109220",2023-02-09,327,"Belmont"
"178","982 123766109110",2023-02-09,269,"Belmont"
"179","982 123766109081",2023-02-09,361,"Belmont"
"180","982 123766108807",2023-02-09,256,"Belmont"
"181","982 123766108971",2023-02-09,291,"Belmont"
"182","982 123766109249",2023-02-09,373,"Belmont"
"183","982 123766109253",2023-02-09,322,"Belmont"
"184","982 123766109040",2023-02-09,293,"Belmont"
"185","982 123766108998",2023-02-09,261,"Belmont"
"186","982 123766109074",2023-02-09,262,"Belmont"
"187","982 123766109113",2023-02-09,270,"Belmont"
"188","982 123766108832",2023-02-09,232,"Belmont"
"189","982 123766108804",2023-02-09,306,"Belmont"
"190","982 123766109093",2023-02-09,276,"Belmont"
"191","982 123766108820",2023-02-09,258,"Belmont"
"192","982 123766109035",2023-02-09,311,"Belmont"
"193","982 123766109014",2023-02-09,273,"Belmont"
"194","982 123766109224",2023-02-09,325,"Belmont"
"195","982 123766109099",2023-02-09,285,"Belmont"
"196","982 123766109112",2023-02-09,280,"Belmont"
"197","982 123766108771",2023-02-09,291,"Belmont"
"198","982 123766108772",2023-02-09,341,"Belmont"
"199","982 123766109148",2023-02-09,387,"Belmont"
"200","982 123766108852",2023-02-09,184,"Belmont"
"201","982 123766108979",2023-02-09,304,"Belmont"
"202","982 123766109228",2023-02-09,336,"Belmont"
"203","982 123766109223",2023-02-09,362,"Belmont"
"204","982 123766109053",2023-02-09,301,"Belmont"
"205","982 123766109192",2023-02-09,235,"Belmont"
"206","982 123766108917",2023-02-09,212,"Belmont"
"207","982 123766109179",2023-02-09,248,"Belmont"
"208","982 123766108985",2023-02-09,283,"Belmont"
"209","982 123766109090",2023-02-09,276,"Belmont"
"210","982 123766109252",2023-02-09,304,"Belmont"
"211","982 123766109085",2023-02-09,318,"Belmont"
"212","982 123766109087",2023-02-09,289,"Belmont"
"213","982 123766109041",2023-02-09,279,"Belmont"
"214","982 123766108969",2023-02-09,270,"Belmont"
"215","982 123766109026",2023-02-09,303,"Belmont"
"216","982 123766109114",2023-02-09,316,"Belmont"
"217","982 123766108999",2023-02-09,298,"Belmont"
"218","982 123766108982",2023-02-09,245,"Belmont"
"219","982 123766109009",2023-02-09,262,"Belmont"
"220","982 123766108822",2023-02-09,242,"Belmont"
"221","982 123766109000",2023-02-09,232,"Belmont"
"222","982 123766109106",2023-02-09,285,"Belmont"
"223","982 123766109036",2023-02-09,296,"Belmont"
"224","982 123766109138",2023-02-09,293,"Belmont"
"225","982 123766109226",2023-02-09,301,"Belmont"
"226","982 123766108873",2023-02-09,260,"Belmont"
"227","982 123766108785",2023-02-09,333,"Belmont"
"228","982 123766109109",2023-02-09,275,"Belmont"
"229","982 123766109255",2023-02-09,302,"Belmont"
"230","982 123766109227",2023-02-09,380,"Belmont"
"231","982 123766108974",2023-02-09,274,"Belmont"
"232","982 123766109195",2023-02-09,219,"Belmont"
"233","982 123766109044",2023-02-09,330,"Belmont"
"234","982 123766109030",2023-02-09,315,"Belmont"
"235","982 123766109259",2023-02-09,307,"Belmont"
"236","982 123766109290",2023-02-09,249,"Belmont"
"237","982 123766108893",2023-02-09,219,"Belmont"
"238","982 123766109070",2023-02-09,301,"Belmont"
"239","982 123766108817",2023-02-09,316,"Belmont"
"240","982 123766108860",2023-02-09,226,"Belmont"
"241","982 123766109254",2023-02-09,313,"Belmont"
"242","982 123766108912",2023-02-09,240,"Belmont"
"243","982 123766109151",2023-02-09,277,"Belmont"
"244","982 123766108824",2023-02-09,268,"Belmont"
"245","982 123766109046",2023-02-09,314,"Belmont"
"246","982 123766109167",2023-02-09,343,"Belmont"
"247","982 123766108997",2023-02-09,277,"Belmont"
"248","982 123766109018",2023-02-09,229,"Belmont"
"249","982 123766109247",2023-02-09,369,"Belmont"
"250","982 123766108881",2023-02-09,236,"Belmont"
"251","982 123766108876",2023-02-09,215,"Belmont"
"252","982 123766109222",2023-02-09,370,"Belmont"
"253","982 123766108825",2023-02-09,221,"Belmont"
"254","982 123766109038",2023-02-09,292,"Belmont"
"255","982 123766108887",2023-02-09,238,"Belmont"
"256","982 123766108846",2023-02-09,253,"Belmont"
"257","982 123766108842",2023-02-09,245,"Belmont"
"258","982 123766109158",2023-02-09,319,"Belmont"
"259","982 123766109163",2023-02-09,324,"Belmont"
"260","982 123766108831",2023-02-09,238,"Belmont"
"261","982 123766108910",2023-02-09,228,"Belmont"
"262","982 123766109221",2023-02-09,342,"Belmont"
"263","982 123766109219",2023-02-09,264,"Belmont"
"264","982 123766109191",2023-02-09,250,"Belmont"
"265","982 123766109011",2023-02-09,286,"Belmont"
"266","982 123766108813",2023-02-09,310,"Belmont"
"267","982 123766109231",2023-02-09,325,"Belmont"
"268","982 123766108838",2023-02-09,221,"Belmont"
"269","982 123766109023",2023-02-09,289,"Belmont"
"270","982 123766108850",2023-02-09,247,"Belmont"
"271","982 123766109236",2023-02-09,317,"Belmont"
"272","982 123766108794",2023-02-09,262,"Belmont"
"273","982 123766108975",2023-02-09,282,"Belmont"
"274","982 123766108980",2023-02-09,260,"Belmont"
"275","982 123766108798",2023-02-09,324,"Belmont"
"276","982 123766109189",2023-02-09,236,"Belmont"
"277","982 123766109239",2023-02-09,334,"Belmont"
"278","982 123766109199",2023-02-09,264,"Belmont"
"279","982 123766109086",2023-02-09,266,"Belmont"
"280","982 123766109050",2023-02-09,295,"Belmont"
"281","982 123766109067",2023-02-09,315,"Belmont"
"282","982 123766108788",2023-02-09,314,"Belmont"
"283","982 123766108918",2023-02-09,222,"Belmont"
"284","982 123766108809",2023-02-09,245,"Belmont"
"285","982 123766109059",2023-02-09,330,"Belmont"
"286","982 123766108978",2023-02-09,279,"Belmont"
"287","982 123766109260",2023-02-09,299,"Belmont"
"288","982 123766109008",2023-02-09,162,"Belmont"
"289","982 123766109032",2023-03-10,348,"Belmont"
"290","982 123766109199",2023-03-10,288,"Belmont"
"291","982 123766109053",2023-03-10,328,"Belmont"
"292","982 123766109092",2023-03-10,319,"Belmont"
"293","982 123766109138",2023-03-10,333,"Belmont"
"294","982 123766109225",2023-03-10,290,"Belmont"
"295","982 123766109050",2023-03-10,331,"Belmont"
"296","982 123766108860",2023-03-10,265,"Belmont"
"297","982 123766109015",2023-03-10,246,"Belmont"
"298","982 123766109114",2023-03-10,357,"Belmont"
"299","982 123766109009",2023-03-10,292,"Belmont"
"300","982 123766109003",2023-03-10,291,"Belmont"
"301","982 123766108804",2023-03-10,338,"Belmont"
"302","982 123766108969",2023-03-10,309,"Belmont"
"303","982 123766108813",2023-03-10,338,"Belmont"
"304","982 123766109221",2023-03-10,388,"Belmont"
"305","982 123766108971",2023-03-10,336,"Belmont"
"306","982 123766109259",2023-03-10,367,"Belmont"
"307","982 123766109044",2023-03-10,367,"Belmont"
"308","982 123766109217",2023-03-10,281,"Belmont"
"309","982 123766109130",2023-03-10,356,"Belmont"
"310","982 123766109081",2023-03-10,373,"Belmont"
"311","982 123766109222",2023-03-10,408,"Belmont"
"312","982 123766108776",2023-03-10,344,"Belmont"
"313","982 123766108825",2023-03-10,232,"Belmont"
"314","982 123766108794",2023-03-10,281,"Belmont"
"315","982 123766109040",2023-03-10,322,"Belmont"
"316","982 123766109231",2023-03-10,374,"Belmont"
"317","982 123766109191",2023-03-10,286,"Belmont"
"318","982 123766109111",2023-03-10,301,"Belmont"
"319","982 123766109239",2023-03-10,384,"Belmont"
"320","982 123766109260",2023-03-10,336,"Belmont"
"321","982 123766108831",2023-03-10,262,"Belmont"
"322","982 123766109165",2023-03-10,372,"Belmont"
"323","982 123766108809",2023-03-10,289,"Belmont"
"324","982 123766109167",2023-03-10,380,"Belmont"
"325","982 123736288668",2023-03-10,520,"Belmont"
"326","982 123766109224",2023-03-10,359,"Belmont"
"327","982 123766108999",2023-03-10,325,"Belmont"
"328","982 123766109067",2023-03-10,362,"Belmont"
"329","982 123766108771",2023-03-10,333,"Belmont"
"330","982 123766108982",2023-03-10,225,"Belmont"
"331","982 123766108772",2023-03-10,370,"Belmont"
"332","982 123766108850",2023-03-10,283,"Belmont"
"333","982 123766108788",2023-03-10,352,"Belmont"
"334","982 123766108917",2023-03-10,236,"Belmont"
"335","982 123766108785",2023-03-10,364,"Belmont"
"336","982 123766108989",2023-03-10,305,"Belmont"
"337","982 123766109163",2023-03-10,385,"Belmont"
"338","982 123766109049",2023-03-03,355,"Belmont"
"339","982 123766108851",2023-03-03,234,"Belmont"
"340","982 123766109032",2023-03-03,346,"Belmont"
"341","982 123766109070",2023-03-03,315,"Belmont"
"342","982 123766109199",2023-03-03,279,"Belmont"
"343","982 123766109053",2023-03-03,336,"Belmont"
"344","982 123766109092",2023-03-03,323,"Belmont"
"345","982 123766109138",2023-03-03,318,"Belmont"
"346","982 123766109225",2023-03-03,0,"Belmont"
"347","982 123766109246",2023-03-03,340,"Belmont"
"348","982 123766109097",2023-03-03,316,"Belmont"
"349","982 123766109050",2023-03-03,311,"Belmont"
"350","982 123766109112",2023-03-03,303,"Belmont"
"351","982 123766108860",2023-03-03,256,"Belmont"
"352","982 123766109290",2023-03-03,253,"Belmont"
"353","982 123766109023",2023-03-03,313,"Belmont"
"354","982 123766109174",2023-03-03,245,"Belmont"
"355","982 123766108788",2023-03-03,335,"Belmont"
"356","982 123766109168",2023-03-03,373,"Belmont"
"357","982 123766108887",2023-03-03,272,"Belmont"
