"","RFID","Date","Weight","stationname"
"1","942 000002126815",2018-03-05 00:00:00,510,"Belmont"
"2","942 000002126815",2018-05-24 00:00:00,580,"Belmont"
"3","942 000002126815",2018-08-14 00:00:00,588,"Belmont"
"4","942 000002126815",2019-02-25 00:00:00,570,"Belmont"
"5","942 000002126815",2019-05-20 00:00:00,558,"Belmont"
"6","942 000002126815",2019-08-27 00:00:00,548,"Belmont"
"7","942 000002126815",2019-11-11 00:00:00,425,"Belmont"
"8","942 000002679208",2017-12-19 00:00:00,586,"Belmont"
"9","942 000002679208",2018-01-11 00:00:00,624,"Belmont"
"10","942 000002679208",2018-02-01 00:00:00,672,"Belmont"
"11","942 000002679208",2018-02-26 00:00:00,580,"Belmont"
"12","942 000002679208",2018-03-09 00:00:00,594,"Belmont"
"13","942 000002679208",2018-03-14 00:00:00,624,"Belmont"
"14","942 000002679208",2018-04-05 00:00:00,632,"Belmont"
"15","942 000002679208",2018-05-24 00:00:00,660,"Belmont"
"16","942 000002679208",2018-08-22 00:00:00,666,"Belmont"
"17","942 000002679208",2018-11-05 00:00:00,580,"Belmont"
"18","942 000002679208",2018-12-21 00:00:00,538,"Belmont"
"19","942 000002679208",2019-02-28 00:00:00,624,"Belmont"
"20","942 000002679208",2019-04-02 00:00:00,614,"Belmont"
"21","942 000002679208",2019-05-24 00:00:00,602,"Belmont"
"22","942 000002679208",2019-08-28 00:00:00,642,"Belmont"
"23","942 000002679208",2020-03-24 00:00:00,596,"Belmont"
"24","942 000002679416",2018-03-09 00:00:00,526,"Belmont"
"25","942 000002679416",2018-05-21 00:00:00,584,"Belmont"
"26","942 000002679416",2018-08-22 00:00:00,574,"Belmont"
"27","942 000002679416",2018-12-19 00:00:00,495,"Belmont"
"28","942 000002679416",2019-03-01 00:00:00,524,"Belmont"
"29","942 000002679416",2019-04-02 00:00:00,538,"Belmont"
"30","942 000002679416",2019-05-23 00:00:00,500,"Belmont"
"31","942 000002679416",2019-08-28 00:00:00,560,"Belmont"
"32","942 000002679416",2020-03-24 00:00:00,462,"Belmont"
"33","942 000002679476",2018-03-05 00:00:00,504,"Belmont"
"34","942 000002679476",2018-05-24 00:00:00,570,"Belmont"
"35","942 000002679476",2018-08-14 00:00:00,572,"Belmont"
"36","942 000002679476",2019-05-20 00:00:00,440,"Belmont"
"37","942 000002679476",2019-08-27 00:00:00,514,"Belmont"
"38","942 000002679476",2019-11-11 00:00:00,388,"Belmont"
"39","942 000002679490",2017-12-19 00:00:00,596,"Belmont"
"40","942 000002679490",2018-01-11 00:00:00,642,"Belmont"
"41","942 000002679490",2018-02-01 00:00:00,674,"Belmont"
"42","942 000002679490",2018-02-26 00:00:00,602,"Belmont"
"43","942 000002679490",2018-03-09 00:00:00,594,"Belmont"
"44","942 000002679490",2018-03-14 00:00:00,642,"Belmont"
"45","942 000002679490",2018-04-05 00:00:00,662,"Belmont"
"46","942 000002679490",2018-05-24 00:00:00,732,"Belmont"
"47","942 000002679490",2018-08-22 00:00:00,712,"Belmont"
"48","942 000002679490",2018-11-05 00:00:00,584,"Belmont"
"49","942 000002679490",2018-12-21 00:00:00,548,"Belmont"
"50","942 000002679490",2019-02-28 00:00:00,654,"Belmont"
"51","942 000002679490",2019-04-02 00:00:00,600,"Belmont"
"52","942 000002679490",2019-05-24 00:00:00,636,"Belmont"
"53","942 000002679490",2019-08-28 00:00:00,672,"Belmont"
"54","942 000002679490",2020-03-24 00:00:00,638,"Belmont"
"55","942 000002679646",2018-03-09 00:00:00,534,"Belmont"
"56","942 000002679646",2018-05-21 00:00:00,578,"Belmont"
"57","942 000002679646",2018-08-14 00:00:00,590,"Belmont"
"58","942 000002679646",2018-12-19 00:00:00,494,"Belmont"
"59","942 000002679646",2019-03-01 00:00:00,550,"Belmont"
"60","942 000002679646",2019-05-24 00:00:00,499,"Belmont"
"61","942 000002679646",2019-08-26 00:00:00,574,"Belmont"
"62","942 000002679646",2019-11-11 00:00:00,482,"Belmont"
"63","942 000002679646",2020-03-24 00:00:00,495,"Belmont"
"64","942 000002679679",2018-03-09 00:00:00,524,"Belmont"
"65","942 000002679679",2018-05-21 00:00:00,564,"Belmont"
"66","942 000002679679",2018-08-14 00:00:00,562,"Belmont"
"67","942 000002679679",2018-12-19 00:00:00,107.5,"Belmont"
"68","942 000002679679",2019-03-01 00:00:00,451,"Belmont"
"69","942 000002679679",2019-05-24 00:00:00,418,"Belmont"
"70","942 000002679679",2019-08-26 00:00:00,497,"Belmont"
"71","942 000002679679",2019-11-11 00:00:00,403,"Belmont"
