"","RFID","Weight","Date","sex","breed"
"1","942 000002679208",645.82,2019-05-14,"female","Belmont Red"
"2","942 000002679490",667.2,2019-05-14,"female","Composite"
"3","942 000002679490",409.16,2019-05-14,"female","Composite"
"4","942 000002680000",549.71,2019-05-14,"female","Belmont Red"
"5","942 000002680070",396.65,2019-05-14,"female","Belmont Red"
"6","942 000002719840",495.27,2019-05-14,"female","Belmont Red"
"7","942 000002764953",584.21,2019-05-14,"female","Belmont Red"
"8","964 001013660132",439.36,2019-02-28,"female","Brangus"
"9","964 001013660132",316.02,2018-11-06,"female","Brangus"
"10","964 001013660132",412.29,2019-01-29,"female","Brangus"
"11","964 001013660132",305,2018-08-12,"female","Brangus"
"12","964 001013660132",476.07,2019-05-30,"female","Brangus"
"13","964 001013660132",389.98,2018-12-30,"female","Brangus"
"14","964 001013660132",412.87,2019-01-31,"female","Brangus"
"15","964 001013660132",345.22,2018-12-01,"female","Brangus"
"16","964 001013660132",513.5,2019-06-16,"female","Brangus"
"17","964 001013660132",483.65,2019-05-15,"female","Brangus"
"18","964 001013660132",324.01,2018-09-26,"female","Brangus"
"19","964 001013660132",411.05,2019-01-23,"female","Brangus"
"20","964 001013660132",320.67,2018-10-17,"female","Brangus"
"21","964 001013660132",498.83,2019-06-17,"female","Brangus"
"22","964 001013660132",311.41,2018-10-20,"female","Brangus"
"23","964 001013660132",302,2018-08-14,"female","Brangus"
"24","964 001013660132",522.07,2019-06-17,"female","Brangus"
"25","964 001013660132",415.64,2019-02-09,"female","Brangus"
"26","964 001013660132",378.39,2019-01-01,"female","Brangus"
"27","964 001013660132",403.74,2019-01-21,"female","Brangus"
"28","964 001013660132",313,2018-08-31,"female","Brangus"
"29","964 001013660132",324,2018-08-02,"female","Brangus"
"30","964 001013660132",414.08,2019-01-25,"female","Brangus"
"31","964 001013660132",401.76,2019-01-23,"female","Brangus"
"32","964 001013660132",438.22,2019-02-27,"female","Brangus"
"33","964 001013660132",484.84,2019-05-18,"female","Brangus"
"34","964 001013660132",419.85,2019-01-29,"female","Brangus"
"35","964 001013660132",395.61,2019-01-16,"female","Brangus"
"36","964 001013660132",482.17,2019-04-29,"female","Brangus"
"37","964 001013660132",408.35,2019-01-30,"female","Brangus"
"38","964 001013660132",438.58,2019-02-17,"female","Brangus"
"39","964 001013660132",351.86,2018-12-13,"female","Brangus"
"40","964 001013660132",322.06,2018-11-08,"female","Brangus"
"41","964 001013660132",311.46,2018-10-24,"female","Brangus"
"42","964 001013660132",391.08,2019-01-14,"female","Brangus"
"43","964 001013660132",443,2018-08-05,"female","Brangus"
"44","964 001013660132",455.14,2019-03-07,"female","Brangus"
"45","964 001013660132",488.1,2019-05-08,"female","Brangus"
"46","964 001013660132",421.83,2019-01-30,"female","Brangus"
"47","964 001013660132",308,2018-08-03,"female","Brangus"
"48","964 001013660132",488.36,2019-06-10,"female","Brangus"
"49","964 001013660132",340,2018-11-23,"female","Brangus"
"50","964 001013660132",312.58,2018-09-23,"female","Brangus"
"51","964 001013660132",337.32,2018-11-12,"female","Brangus"
"52","964 001013660132",314,2018-08-17,"female","Brangus"
"53","964 001013660132",492.43,2019-05-09,"female","Brangus"
"54","964 001013660132",423.24,2019-02-12,"female","Brangus"
"55","964 001013660132",408.65,2019-01-24,"female","Brangus"
"56","964 001013660132",336,2018-08-06,"female","Brangus"
"57","964 001013660132",359.27,2018-12-07,"female","Brangus"
"58","964 001013660132",398.71,2019-01-24,"female","Brangus"
"59","964 001013660132",302.63,2018-10-25,"female","Brangus"
"60","964 001013660132",310,2018-08-02,"female","Brangus"
"61","964 001013660132",361.04,2018-12-13,"female","Brangus"
"62","964 001013660132",425.71,2019-02-08,"female","Brangus"
"63","964 001013660132",415.41,2019-02-04,"female","Brangus"
"64","964 001013660132",439.15,2019-02-15,"female","Brangus"
"65","964 001013660132",400.17,2019-01-26,"female","Brangus"
"66","964 001013660132",315.73,2018-10-12,"female","Brangus"
"67","964 001013660132",481,2018-08-27,"female","Brangus"
"68","964 001013660132",355.49,2018-11-21,"female","Brangus"
"69","964 001013660132",316.37,2018-10-03,"female","Brangus"
"70","964 001013660132",417.47,2019-02-08,"female","Brangus"
"71","964 001013660132",396.74,2018-12-01,"female","Brangus"
"72","964 001013660132",307.37,2018-10-22,"female","Brangus"
"73","964 001013660132",329.43,2018-10-03,"female","Brangus"
"74","964 001013660132",395.04,2019-01-02,"female","Brangus"
"75","964 001013660132",363.7,2018-12-01,"female","Brangus"
"76","964 001013660132",481.17,2019-04-24,"female","Brangus"
"77","964 001013660132",513.65,2019-06-19,"female","Brangus"
"78","964 001013660132",338.17,2018-11-21,"female","Brangus"
"79","964 001013660132",311,2018-08-05,"female","Brangus"
"80","964 001013660132",479.99,2019-05-13,"female","Brangus"
"81","964 001013660132",502.82,2019-06-16,"female","Brangus"
"82","964 001013660132",456.65,2019-03-07,"female","Brangus"
"83","964 001013660132",321,2018-09-01,"female","Brangus"
"84","964 001013660132",375.81,2019-01-01,"female","Brangus"
"85","964 001013660132",334,2018-08-21,"female","Brangus"
"86","964 001013660132",411.84,2019-01-26,"female","Brangus"
"87","964 001013660132",374.08,2018-12-26,"female","Brangus"
"88","964 001013660132",397.68,2019-01-06,"female","Brangus"
"89","964 001013660132",449.43,2019-03-05,"female","Brangus"
"90","964 001013660132",485.7,2019-04-29,"female","Brangus"
"91","964 001013660132",402.68,2019-01-11,"female","Brangus"
"92","964 001013660132",321.27,2018-11-03,"female","Brangus"
"93","964 001013660132",326.45,2018-11-21,"female","Brangus"
"94","964 001013660132",346.56,2018-11-20,"female","Brangus"
"95","964 001013660132",335.46,2018-11-24,"female","Brangus"
"96","964 001013660132",319.34,2018-09-28,"female","Brangus"
"97","964 001013660132",353.98,2018-12-17,"female","Brangus"
"98","964 001013660132",348.75,2018-12-10,"female","Brangus"
"99","964 001013660132",397.29,2019-01-06,"female","Brangus"
"100","964 001013660132",402.25,2019-01-23,"female","Brangus"
"101","964 001013660132",504.87,2019-06-10,"female","Brangus"
"102","964 001013660132",326,2018-08-17,"female","Brangus"
"103","964 001013660132",335,2018-08-19,"female","Brangus"
"104","964 001013660132",309,2018-08-20,"female","Brangus"
"105","964 001013660132",337.57,2018-11-08,"female","Brangus"
"106","964 001013660132",418.51,2019-01-28,"female","Brangus"
"107","964 001013660132",336.76,2018-11-13,"female","Brangus"
"108","964 001013660132",412.05,2019-01-23,"female","Brangus"
"109","964 001013660132",324.06,2018-09-24,"female","Brangus"
"110","964 001013660132",324,2018-09-14,"female","Brangus"
"111","964 001013660132",429.24,2019-02-16,"female","Brangus"
"112","964 001013660132",435.43,2019-02-28,"female","Brangus"
"113","964 001013660132",409.84,2019-01-27,"female","Brangus"
"114","964 001013660132",333.73,2018-11-11,"female","Brangus"
"115","964 001013660132",486.44,2019-06-07,"female","Brangus"
"116","964 001013660132",307,2018-08-09,"female","Brangus"
"117","964 001013660132",355.57,2018-12-05,"female","Brangus"
"118","964 001013660132",366.45,2018-12-19,"female","Brangus"
"119","964 001013660132",508.92,2019-06-18,"female","Brangus"
"120","964 001013660132",425.5,2019-03-01,"female","Brangus"
"121","964 001013660132",426.82,2019-02-22,"female","Brangus"
"122","964 001013660132",344.1,2018-12-14,"female","Brangus"
"123","964 001013660132",500.16,2019-06-01,"female","Brangus"
"124","964 001013660132",324.57,2018-09-30,"female","Brangus"
"125","964 001013660132",313.7,2018-11-04,"female","Brangus"
"126","964 001013660132",342.25,2018-12-11,"female","Brangus"
"127","964 001013660132",319.43,2018-11-06,"female","Brangus"
"128","964 001013660132",382.53,2019-01-06,"female","Brangus"
"129","964 001013660132",375.51,2018-12-26,"female","Brangus"
"130","964 001013660132",392.59,2019-01-14,"female","Brangus"
"131","964 001013660132",305.55,2018-11-05,"female","Brangus"
"132","964 001013660132",443.26,2019-03-06,"female","Brangus"
"133","964 001013660132",312.88,2018-11-07,"female","Brangus"
