"","RFID","Date","Weight","stationname"
"1","900 093000058988",2016-07-12,590,"Tremere"
"2","900 093000058988",2017-06-12,620,"Tremere"
"3","900 093000058988",2018-07-23,672,"Tremere"
"4","900 093000058991",2016-07-12,590,"Tremere"
"5","900 093000058991",2017-05-23,584,"Tremere"
"6","900 093000058991",2018-07-26,618,"Tremere"
"7","900 093000058992",2016-07-12,479,"Tremere"
"8","900 093000058992",2017-06-12,516,"Tremere"
"9","900 093000058992",2018-07-23,592,"Tremere"
"10","900 093000059211",2016-12-13,243,"Tremere"
"11","900 093000059211",2017-08-23,358,"Tremere"
"12","900 093000059211",2018-07-26,542,"Tremere"
"13","900 093000059528",2016-08-16,376,"Tremere"
"14","900 093000059528",2017-05-23,459,"Tremere"
"15","900 093000059528",2018-07-26,610,"Tremere"
"16","900 093000059530",2016-07-12,558,"Tremere"
"17","900 093000059530",2017-06-12,572,"Tremere"
"18","900 093000059530",2018-07-23,608,"Tremere"
"19","900 093000060105",2016-07-08,666,"Tremere"
"20","900 093000060105",2017-05-23,612,"Tremere"
"21","900 093000060105",2018-07-26,620,"Tremere"
"22","900 093000060138",2016-07-08,714,"Tremere"
"23","900 093000060138",2017-05-23,722,"Tremere"
"24","900 093000060138",2018-07-26,704,"Tremere"
"25","900 093000060210",2016-07-08,618,"Tremere"
"26","900 093000060210",2017-05-23,626,"Tremere"
"27","900 093000060210",2018-07-26,586,"Tremere"
"28","900 093000060237",2016-07-12,570,"Tremere"
"29","900 093000060237",2017-06-12,606,"Tremere"
"30","900 093000060237",2018-07-23,666,"Tremere"
"31","900 093000060787",2016-07-08,494,"Tremere"
"32","900 093000060787",2017-05-23,508,"Tremere"
"33","900 093000060787",2018-07-26,534,"Tremere"
"34","900 093000060823",2016-07-12,682,"Tremere"
"35","900 093000060823",2017-06-12,648,"Tremere"
"36","900 093000060823",2018-07-23,706,"Tremere"
"37","900 093000060886",2016-07-08,586,"Tremere"
"38","900 093000060886",2017-05-23,596,"Tremere"
"39","900 093000060886",2018-07-26,596,"Tremere"
"40","900 093000066582",2016-08-16,329,"Tremere"
"41","900 093000066582",2017-05-23,360,"Tremere"
"42","900 093000066582",2018-07-26,468,"Tremere"
"43","900 093000066881",2016-08-16,351,"Tremere"
"44","900 093000066881",2017-05-23,404,"Tremere"
"45","900 093000066881",2018-07-26,498,"Tremere"
"46","900 093000066981",2016-07-12,624,"Tremere"
"47","900 093000066981",2017-06-12,684,"Tremere"
"48","900 093000066981",2018-07-31,682,"Tremere"
"49","900 093000068514",2016-07-12,554,"Tremere"
"50","900 093000068514",2017-06-12,564,"Tremere"
"51","900 093000068514",2018-07-23,616,"Tremere"
"52","900 093000076729",2016-07-12,560,"Tremere"
"53","900 093000076729",2017-06-12,568,"Tremere"
"54","900 093000076729",2018-07-23,558,"Tremere"
"55","900 093000081249",2016-08-16,358,"Tremere"
"56","900 093000081249",2017-05-23,444,"Tremere"
"57","900 093000081249",2018-07-26,574,"Tremere"
"58","900 093000081356",2016-07-12,500,"Tremere"
"59","900 093000081356",2017-06-12,540,"Tremere"
"60","900 093000081356",2018-07-23,608,"Tremere"
"61","900 093000081513",2016-07-12,584,"Tremere"
"62","900 093000081513",2017-06-12,624,"Tremere"
"63","900 093000081513",2018-07-23,636,"Tremere"
"64","900 093000081720",2017-05-23,458,"Tremere"
"65","900 093000081720",2018-04-18,644,"Tremere"
"66","900 093000081720",2018-07-26,642,"Tremere"
"67","900 093000081758",2016-07-08,588,"Tremere"
"68","900 093000081758",2017-05-23,606,"Tremere"
"69","900 093000081758",2018-07-26,596,"Tremere"
"70","900 093000081901",2016-08-16,330,"Tremere"
"71","900 093000081901",2017-05-23,428,"Tremere"
"72","900 093000081901",2018-07-26,526,"Tremere"
"73","900 093000082935",2016-07-12,596,"Tremere"
"74","900 093000082935",2017-06-12,598,"Tremere"
"75","900 093000082935",2018-07-23,658,"Tremere"
"76","900 093000085073",2016-08-16,326,"Tremere"
"77","900 093000085073",2017-05-23,377,"Tremere"
"78","900 093000085073",2018-07-26,467,"Tremere"
"79","900 093000090584",2016-07-08,654,"Tremere"
"80","900 093000090584",2017-05-23,686,"Tremere"
"81","900 093000090584",2018-07-26,726,"Tremere"
"82","900 093000090615",2016-07-01,496,"Tremere"
"83","900 093000090615",2017-05-23,566,"Tremere"
"84","900 093000090615",2018-07-26,558,"Tremere"
"85","900 093000097685",2016-07-08,654,"Tremere"
"86","900 093000097685",2017-05-23,660,"Tremere"
"87","900 093000097685",2018-07-26,632,"Tremere"
"88","900 093000097767",2016-07-01,596,"Tremere"
"89","900 093000097767",2017-05-23,682,"Tremere"
"90","900 093000097767",2018-07-26,674,"Tremere"
"91","900 093000097933",2016-07-12,538,"Tremere"
"92","900 093000097933",2017-06-12,602,"Tremere"
"93","900 093000097933",2018-07-23,620,"Tremere"
"94","900 093000098365",2016-07-08,520,"Tremere"
"95","900 093000098365",2017-05-23,524,"Tremere"
"96","900 093000098365",2018-07-26,566,"Tremere"
"97","900 093000099007",2016-07-12,598,"Tremere"
"98","900 093000099007",2017-06-12,630,"Tremere"
"99","900 093000099007",2018-07-23,672,"Tremere"
"100","900 093000099109",2017-05-23,390,"Tremere"
"101","900 093000099109",2018-04-18,598,"Tremere"
"102","900 093000099109",2018-07-26,606,"Tremere"
"103","900 093000099132",2016-08-16,416,"Tremere"
"104","900 093000099132",2017-05-23,464,"Tremere"
"105","900 093000099132",2018-07-23,632,"Tremere"
"106","900 116003111477",2016-07-08,518,"Tremere"
"107","900 116003111477",2017-05-23,518,"Tremere"
"108","900 116003111477",2018-07-26,542,"Tremere"
"109","900 116003112089",2016-12-13,318,"Tremere"
"110","900 116003112089",2017-08-23,437,"Tremere"
"111","900 116003112089",2018-07-23,554,"Tremere"
"112","900 116003112159",2016-12-13,318,"Tremere"
"113","900 116003112159",2017-08-23,424,"Tremere"
"114","900 116003112159",2018-07-26,512,"Tremere"
"115","900 116003127286",2016-12-13,346,"Tremere"
"116","900 116003127286",2017-08-23,430,"Tremere"
"117","900 116003127286",2018-07-23,514,"Tremere"
"118","900 116003177737",2016-12-13,268,"Tremere"
"119","900 116003177737",2017-08-23,344,"Tremere"
"120","900 116003177737",2018-07-26,462,"Tremere"
"121","900 116003179583",2017-08-23,384,"Tremere"
"122","900 116003179583",2018-07-26,485,"Tremere"
"123","900 116003179583",2019-09-17,576,"Tremere"
"124","900 116003183031",2016-12-13,271,"Tremere"
"125","900 116003183031",2017-08-23,376,"Tremere"
"126","900 116003183031",2018-07-23,598,"Tremere"
"127","900 116003184949",2016-12-13,285,"Tremere"
"128","900 116003184949",2017-08-23,354,"Tremere"
"129","900 116003184949",2018-07-26,520,"Tremere"
"130","900 116003187602",2010-07-20,345,"Tremere"
"131","900 116003187602",2016-07-08,612,"Tremere"
"132","900 116003187602",2017-05-23,622,"Tremere"
"133","951 000301745576",2017-01-26,348,"Tremere"
"134","951 000301745576",2017-06-12,514,"Tremere"
"135","951 000301745576",2018-07-23,690,"Tremere"
"136","951 000301745765",2017-01-26,341,"Tremere"
"137","951 000301745765",2017-06-12,482,"Tremere"
"138","951 000301745765",2018-07-23,479,"Tremere"
"139","951 000302131470",2017-01-26,437,"Tremere"
"140","951 000302131470",2017-06-12,556,"Tremere"
"141","951 000302131470",2018-07-23,634,"Tremere"
"142","951 000302131600",2017-01-26,448,"Tremere"
"143","951 000302131600",2017-06-12,554,"Tremere"
"144","951 000302131600",2018-07-23,700,"Tremere"
"145","951 000302132339",2017-01-26,412,"Tremere"
"146","951 000302132339",2017-06-12,498,"Tremere"
"147","951 000302132339",2018-07-23,464,"Tremere"
"148","951 000302938846",2017-01-26,318,"Tremere"
"149","951 000302938846",2017-06-12,419,"Tremere"
"150","951 000302938846",2018-07-23,590,"Tremere"
"151","951 000305650407",2017-01-26,428,"Tremere"
"152","951 000305650407",2017-06-12,506,"Tremere"
"153","951 000305650407",2018-07-23,650,"Tremere"
"154","951 000305650505",2017-01-26,394,"Tremere"
"155","951 000305650505",2017-06-12,588,"Tremere"
"156","951 000305650505",2018-07-23,562,"Tremere"
"157","951 000305650526",2017-01-26,374,"Tremere"
"158","951 000305650526",2017-06-12,467,"Tremere"
"159","951 000305650526",2018-07-23,566,"Tremere"
"160","951 000305650528",2017-01-26,463,"Tremere"
"161","951 000305650528",2017-06-12,674,"Tremere"
"162","951 000305650528",2018-07-23,654,"Tremere"
"163","951 000305650664",2017-01-26,435,"Tremere"
"164","951 000305650664",2017-06-12,464,"Tremere"
"165","951 000305650664",2018-07-23,602,"Tremere"
"166","951 000305650682",2017-01-26,522,"Tremere"
"167","951 000305650682",2017-06-12,504,"Tremere"
"168","951 000305650682",2018-07-23,760,"Tremere"
"169","951 000305650731",2017-01-26,425,"Tremere"
"170","951 000305650731",2017-06-12,534,"Tremere"
"171","951 000305650731",2018-07-23,674,"Tremere"
"172","951 000305650787",2017-01-26,416,"Tremere"
"173","951 000305650787",2017-06-12,522,"Tremere"
"174","951 000305650787",2018-07-23,652,"Tremere"
"175","951 000305650867",2017-01-26,444,"Tremere"
"176","951 000305650867",2017-06-12,552,"Tremere"
"177","951 000305650867",2018-07-23,680,"Tremere"
"178","951 000305651172",2017-01-26,386,"Tremere"
"179","951 000305651172",2017-06-12,528,"Tremere"
"180","951 000305651172",2018-07-23,698,"Tremere"
"181","951 000502702035",2017-08-18,317,"Tremere"
"182","951 000502702035",2017-11-27,357,"Tremere"
"183","951 000502702035",2018-07-23,508,"Tremere"
"184","964 001004336507",2016-07-08,616,"Tremere"
"185","964 001004336507",2017-05-23,592,"Tremere"
"186","964 001004336507",2018-07-26,556,"Tremere"
"187","964 001004336657",2016-07-12,542,"Tremere"
"188","964 001004336657",2017-06-12,534,"Tremere"
"189","964 001004336657",2018-07-23,598,"Tremere"
"190","964 001005759199",2016-07-08,550,"Tremere"
"191","964 001005759199",2017-05-23,548,"Tremere"
"192","964 001005759199",2018-07-26,612,"Tremere"
"193","964 001005759655",2016-07-08,536,"Tremere"
"194","964 001005759655",2017-05-23,572,"Tremere"
"195","964 001005759655",2018-07-26,574,"Tremere"
"196","964 001005760013",2016-07-08,570,"Tremere"
"197","964 001005760013",2017-05-23,548,"Tremere"
"198","964 001005760013",2018-07-26,542,"Tremere"
"199","964 001005760020",2016-07-08,594,"Tremere"
"200","964 001005760020",2017-05-23,588,"Tremere"
"201","964 001005760020",2018-07-26,680,"Tremere"
"202","964 001005760189",2016-07-08,534,"Tremere"
"203","964 001005760189",2017-05-23,586,"Tremere"
"204","964 001005760189",2018-07-26,622,"Tremere"
"205","964 001005760201",2016-07-08,622,"Tremere"
"206","964 001005760201",2017-05-23,618,"Tremere"
"207","964 001005760201",2018-07-26,648,"Tremere"
"208","964 001005760256",2016-07-08,726,"Tremere"
"209","964 001005760256",2017-05-23,676,"Tremere"
"210","964 001005760256",2018-07-26,750,"Tremere"
"211","964 001005760260",2016-07-08,564,"Tremere"
"212","964 001005760260",2017-05-23,518,"Tremere"
"213","964 001005760260",2018-07-26,578,"Tremere"
"214","964 001005760763",2016-07-12,447,"Tremere"
"215","964 001005760763",2017-06-12,526,"Tremere"
"216","964 001005760763",2018-07-23,550,"Tremere"
"217","964 001006027337",2016-08-16,310,"Tremere"
"218","964 001006027337",2017-05-23,388,"Tremere"
"219","964 001006027337",2018-07-26,465,"Tremere"
"220","964 001006027725",2016-08-16,333,"Tremere"
"221","964 001006027725",2017-05-23,422,"Tremere"
"222","964 001006027725",2018-07-26,497,"Tremere"
"223","964 001006027874",2016-08-16,300,"Tremere"
"224","964 001006027874",2017-05-23,373,"Tremere"
"225","964 001006027874",2018-07-26,427,"Tremere"
"226","964 001006027940",2016-03-04,271,"Tremere"
"227","964 001006027940",2016-08-16,283,"Tremere"
"228","964 001006027940",2018-07-25,416,"Tremere"
"229","982 000165565405",2017-01-26,432,"Tremere"
"230","982 000165565405",2017-06-12,542,"Tremere"
"231","982 000165565405",2018-07-23,746,"Tremere"
"232","982 000167894732",2016-07-08,596,"Tremere"
"233","982 000167894732",2017-05-23,618,"Tremere"
"234","982 000167894732",2018-07-26,666,"Tremere"
"235","982 000167896491",2016-07-12,656,"Tremere"
"236","982 000167896491",2017-06-12,672,"Tremere"
"237","982 000167896491",2018-07-23,712,"Tremere"
"238","982 000167899650",2016-07-08,638,"Tremere"
"239","982 000167899650",2017-05-23,656,"Tremere"
"240","982 000167899650",2018-07-26,718,"Tremere"
"241","982 000167906412",2016-07-08,638,"Tremere"
"242","982 000167906412",2017-05-23,636,"Tremere"
"243","982 000167906412",2018-07-26,646,"Tremere"
"244","982 000167906555",2014-09-25,341,"Tremere"
"245","982 000167906555",2016-07-12,582,"Tremere"
"246","982 000167906555",2017-06-12,630,"Tremere"
