"","RFID","Weight","Date","Location","cattle_id"
"1","982 123779046918",171.38,2022-04-13 12:52:54,"29.FrontFoot","62710042b929729fa601b953"
"2","982 123779046918",289.57,2022-04-20 11:42:28,"11.CQIRP","62710042b929729fa601b953"
"3","982 123779046918",104.7,2022-04-20 11:58:19,"11.CQIRP","62710042b929729fa601b953"
"4","982 123779046918",297,2022-04-20 15:00:17,"11.CQIRP","62710042b929729fa601b953"
"5","982 123779046918",311.25,2022-04-21 11:30:21,"11.CQIRP","62710042b929729fa601b953"
"6","982 123779046918",303.24,2022-04-21 15:27:19,"11.CQIRP","62710042b929729fa601b953"
"7","982 123779046918",210.86,2022-04-22 08:10:17,"11.CQIRP","62710042b929729fa601b953"
"8","982 123779046918",301.59,2022-04-29 08:02:57,"11.CQIRP","62710042b929729fa601b953"
"9","982 123779046918",305.55,2022-04-29 09:24:33,"11.CQIRP","62710042b929729fa601b953"
"10","982 123779046918",303.3,2022-05-01 09:54:06,"11.CQIRP","62710042b929729fa601b953"
"11","982 123779046918",303.18,2022-05-02 09:00:12,"11.CQIRP","62710042b929729fa601b953"
"12","982 123779046918",316.19,2022-05-02 15:28:26,"11.CQIRP","62710042b929729fa601b953"
"13","982 123779046918",319.29,2022-05-03 06:51:45,"11.CQIRP","62710042b929729fa601b953"
"14","982 123779046918",306.58,2022-05-03 07:45:57,"11.CQIRP","62710042b929729fa601b953"
"15","982 123779046918",309.44,2022-05-03 07:57:34,"11.CQIRP","62710042b929729fa601b953"
"16","982 123779046918",312.89,2022-05-03 11:09:43,"11.CQIRP","62710042b929729fa601b953"
"17","982 123779046918",306.69,2022-05-05 08:37:04,"11.CQIRP","62710042b929729fa601b953"
"18","982 123779046918",313.11,2022-05-06 08:02:10,"11.CQIRP","62710042b929729fa601b953"
"19","982 123779046918",305.45,2022-05-07 12:34:09,"11.CQIRP","62710042b929729fa601b953"
"20","982 123779046918",308.74,2022-05-10 07:34:53,"11.CQIRP","62710042b929729fa601b953"
"21","982 123779046918",316.14,2022-05-11 07:49:13,"11.CQIRP","62710042b929729fa601b953"
"22","982 123779046918",322.75,2022-05-14 09:30:46,"11.CQIRP","62710042b929729fa601b953"
"23","982 123779046918",309.23,2022-05-16 07:30:31,"11.CQIRP","62710042b929729fa601b953"
"24","982 123779046918",312.91,2022-05-18 14:41:33,"11.CQIRP","62710042b929729fa601b953"
"25","982 123779046918",316.89,2022-05-20 08:00:56,"11.CQIRP","62710042b929729fa601b953"
