station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,metadata
33229,2010-01-01,    7.6,0, 28.9,25, 22.8,25, 10.9,25, 69.1,26, 99.1,26,"name=BELMONT AGFORCE                         "
33229,2010-01-02,    3.6,0, 31.4,25, 23.7,25, 16.4,25, 57.0,26, 89.4,26,"latitude= -23.2231"
33229,2010-01-03,    0.0,0, 32.7,25, 23.8,25, 20.8,25, 53.2,26, 89.2,26,"longitude= 150.3839"
33229,2010-01-04,    0.0,0, 32.0,25, 24.2,25, 16.1,25, 51.7,26, 81.5,26,"elevation=   9.0 m"
33229,2010-01-05,    0.0,0, 31.6,25, 22.6,25, 15.8,25, 57.0,26, 96.7,26,"reference=rxnjhg"
33229,2010-01-06,   12.0,0, 29.5,25, 23.3,25, 13.2,25, 67.4,26, 97.2,26,"extracted=20230714"
33229,2010-01-07,    0.0,0, 29.1,25, 23.6,25,  7.4,25, 66.5,26, 92.0,26,"dataset=BoM Only"
33229,2010-01-08,   27.8,0, 27.8,25, 21.6,25,  8.0,25, 68.3,26, 98.9,26,"Please read our web site for information about the meanings of the codes, and other information"
33229,2010-01-09,    9.2,0, 30.4,25, 22.0,25, 25.5,25, 56.4,26, 92.7,26,""
33229,2010-01-10,    0.0,0, 30.5,25, 22.2,25, 27.2,25, 54.3,26, 88.6,26,""
33229,2010-01-11,    0.0,0, 31.1,25, 21.9,25, 28.3,25, 51.3,26, 88.3,26,""
33229,2010-01-12,    0.0,0, 31.5,25, 21.6,25, 28.1,25, 50.6,26, 90.7,26,""
33229,2010-01-13,    0.0,0, 31.7,25, 22.0,25, 28.0,25, 53.1,26, 93.8,26,""
33229,2010-01-14,    0.0,0, 31.9,25, 22.4,25, 26.3,25, 53.1,26, 92.7,26,""
33229,2010-01-15,    1.6,0, 30.9,25, 23.5,25, 19.8,25, 60.4,26, 93.3,26,""
33229,2010-01-16,    0.0,0, 31.8,25, 22.9,25, 26.5,25, 50.4,26, 84.9,26,""
33229,2010-01-17,    0.0,0, 33.2,25, 22.6,25, 27.5,25, 47.2,26, 87.6,26,""
33229,2010-01-18,    0.0,0, 35.2,25, 21.5,25, 25.5,25, 45.0,26, 99.9,26,""
33229,2010-01-19,    0.0,0, 34.9,25, 23.7,25, 29.2,25, 29.1,26, 55.6,26,""
33229,2010-01-20,    0.0,0, 33.0,25, 20.9,25, 27.6,25, 48.1,26, 98.0,26,""
33229,2010-01-21,    0.0,0, 32.7,25, 23.6,25, 27.7,25, 48.9,26, 83.1,26,""
33229,2010-01-22,    0.0,0, 31.7,25, 22.7,25, 26.0,25, 46.4,26, 78.7,26,""
33229,2010-01-23,    0.0,0, 31.8,25, 23.6,25, 18.9,25, 50.2,26, 81.0,26,""
33229,2010-01-24,    0.0,0, 30.7,25, 23.9,25, 16.4,25, 57.1,26, 85.0,26,""
33229,2010-01-25,    0.0,0, 29.6,25, 24.0,25, 13.4,25, 64.4,26, 89.5,26,""
