"","Date","daily_rain","max_temp","min_temp"
"1","2010-01-01",2,29.1,23.2
"2","2010-01-02",0.8,32.3,24
"3","2010-01-03",0,33.8,24.1
"4","2010-01-04",0,33.1,24.6
"5","2010-01-05",0.4,32.4,22.6
"6","2010-01-06",28,29.5,23
"7","2010-01-07",0.2,30,24
"8","2010-01-08",25.4,28,21.6
"9","2010-01-09",1.6,31,22.4
"10","2010-01-10",0,30.6,21.5
"11","2010-01-11",0,31.5,21.3
"12","2010-01-12",0,31.9,21.5
"13","2010-01-13",0,32.3,22.5
"14","2010-01-14",0,32.5,22.9
"15","2010-01-15",0.2,31,23.4
"16","2010-01-16",0.8,32.4,22.1
"17","2010-01-17",0,34.4,23.2
"18","2010-01-18",0,36.7,22
"19","2010-01-19",0,36.1,24.2
"20","2010-01-20",0,33.7,21.5
"21","2010-01-21",0,33.2,23.2
"22","2010-01-22",0,31.9,22.4
"23","2010-01-23",0,32,23.1
"24","2010-01-24",0,31.2,23.4
"25","2010-01-25",0.8,30.1,24
"26","2010-01-26",0,32.7,24.7
"27","2010-01-27",0,32.8,22.9
"28","2010-01-28",0,32.1,23.2
"29","2010-01-29",0,32.5,22.7
"30","2010-01-30",0,31.9,24.5
"31","2010-01-31",2.6,28.2,25.2
"32","2010-02-01",66.2,30.8,22.4
"33","2010-02-02",22.2,25.4,21.5
"34","2010-02-03",12.4,24.9,21.8
"35","2010-02-04",15,26.8,21.9
"36","2010-02-05",0,31.6,22.1
"37","2010-02-06",1.2,30.9,23.6
"38","2010-02-07",0,32.1,23.6
"39","2010-02-08",31.6,29.6,23.7
"40","2010-02-09",12.2,30.2,22.9
"41","2010-02-10",0.2,30.7,23.2
"42","2010-02-11",0,31.3,22.2
"43","2010-02-12",0,31.1,23.2
"44","2010-02-13",0,31.7,23.1
"45","2010-02-14",0,32.4,24.2
"46","2010-02-15",0,33,25.2
"47","2010-02-16",6.8,31.8,25.4
"48","2010-02-17",34.4,29,24.7
"49","2010-02-18",27.6,27.8,24.3
"50","2010-02-19",9.8,28.4,23.1
"51","2010-02-20",0.8,26.9,23
"52","2010-02-21",2.4,29,23.7
"53","2010-02-22",0,31.6,22.9
"54","2010-02-23",0,33.6,23.9
"55","2010-02-24",0,32.5,24.4
"56","2010-02-25",7.6,28.8,23.6
"57","2010-02-26",5.8,28.9,22.6
"58","2010-02-27",0,29.7,21.2
"59","2010-02-28",0,31.5,23.2
"60","2010-03-01",0.2,32.2,25.2
"61","2010-03-02",2.6,32.3,25.3
"62","2010-03-03",5.6,30.5,22.4
"63","2010-03-04",0,30.1,24
"64","2010-03-05",0.8,30.6,24.1
"65","2010-03-06",0,34.1,23.8
"66","2010-03-07",3.4,32.6,24.6
"67","2010-03-08",3.4,28.2,23.6
"68","2010-03-09",4,31.6,23.5
"69","2010-03-10",0,31.9,23.6
"70","2010-03-11",3,29.4,23.5
"71","2010-03-12",6.8,28.1,21.7
"72","2010-03-13",0.6,28.1,21.1
"73","2010-03-14",0.2,28.3,19.4
"74","2010-03-15",2,29.5,20.4
"75","2010-03-16",0,30.3,20.2
"76","2010-03-17",0,30,20.3
"77","2010-03-18",0,29.3,21
"78","2010-03-19",0,30.1,20.1
"79","2010-03-20",0,27.6,21
"80","2010-03-21",35.8,26.5,22.4
"81","2010-03-22",60.8,25.9,23.8
"82","2010-03-23",2.2,29.1,21.8
"83","2010-03-24",0,29.3,20.7
"84","2010-03-25",0.6,28.5,20.7
"85","2010-03-26",0,29,20.9
"86","2010-03-27",0,28.8,20.7
"87","2010-03-28",0.4,27.7,21.7
"88","2010-03-29",10.2,29.4,20.8
"89","2010-03-30",0,29.6,20.5
"90","2010-03-31",0,29.6,21.8
"91","2010-04-01",0,28.5,22.2
"92","2010-04-02",0,29.5,22
"93","2010-04-03",0,28.9,21.3
"94","2010-04-04",0,28.7,21.5
"95","2010-04-05",0,28.6,19.9
"96","2010-04-06",0,27.5,19.8
"97","2010-04-07",0,28.9,19
"98","2010-04-08",0,30.2,21.3
"99","2010-04-09",0,33.4,21
"100","2010-04-10",1.2,32.8,22.8
"101","2010-04-11",0,33.8,23.6
"102","2010-04-12",0,32.5,23
"103","2010-04-13",0.4,24.4,19.7
"104","2010-04-14",0.2,28.5,19.8
"105","2010-04-15",0,28.8,18.8
"106","2010-04-16",0,28.9,18.3
"107","2010-04-17",0,29.1,20.5
"108","2010-04-18",0,29,19.2
