"","stationname","Date","RFID","dailywt","birthDate","sex","breed","birthWeight","weather_factor","age"
"1","Belmont",2016-01-24,"964 001008604080",92,"2015-11-07","female","Composite",38,2,79
"2","Belmont",2016-02-02,"964 001008604080",122.5,"2015-11-07","female","Composite",38,6,88
"3","Belmont",2016-02-17,"964 001008604733",120,"2015-11-26","female","Composite",43,6,84
"4","Belmont",2016-04-11,"964 001008604080",104,"2015-11-07","female","Composite",38,1,157
"5","Belmont",2016-04-22,"964 001008604080",108.5,"2015-11-07","female","Composite",38,1,168
"6","Belmont",2016-04-25,"964 001008604354",133,"2015-11-14","female","Composite",46,1,164
"7","Belmont",2016-04-30,"964 001008604733",107,"2015-11-26","female","Composite",43,1,157
"8","Belmont",2016-05-01,"964 001008604354",124,"2015-11-14","female","Composite",46,1,170
"9","Belmont",2016-07-05,"964 001008604485",149,"2015-12-12","female","Composite",38,6,207
"10","Belmont",2016-11-02,"964 001010472390",35.5,"2016-10-21","male","Unknown",38,2,13
"11","Belmont",2016-11-04,"964 001010472461",59.83,"2016-10-17","male","Unknown",38,2,19
"12","Belmont",2016-11-16,"964 001010472390",45.67,"2016-10-21","male","Unknown",38,2,27
"13","Belmont",2016-11-17,"964 001010472390",59.5,"2016-10-21","male","Unknown",38,2,28
"14","Belmont",2016-11-19,"964 001010472390",43.17,"2016-10-21","male","Unknown",38,2,30
"15","Belmont",2016-11-20,"964 001010472895",54.5,"2016-11-18","male","Belmont Red",38,2,3
"16","Belmont",2016-11-20,"964 001010472390",47.7,"2016-10-21","male","Unknown",38,2,31
"17","Belmont",2016-11-21,"964 001010472390",72,"2016-10-21","male","Unknown",38,2,32
"18","Belmont",2016-11-25,"964 001010472390",61,"2016-10-21","male","Unknown",38,2,36
"19","Belmont",2016-11-25,"964 001010473387",59.25,"2016-10-11","male","Unknown",38,2,46
"20","Belmont",2016-11-26,"964 001010472390",48.5,"2016-10-21","male","Unknown",38,2,37
"21","Belmont",2016-11-27,"964 001010473387",77,"2016-10-11","male","Unknown",38,2,48
"22","Belmont",2016-11-27,"964 001010472367",47,"2016-11-21","female","Belmont Red",38,2,7
"23","Belmont",2016-11-28,"964 001010472390",47.17,"2016-10-21","male","Unknown",38,2,39
"24","Belmont",2016-11-29,"964 001010473387",79,"2016-10-11","male","Unknown",38,2,50
"25","Belmont",2016-11-29,"964 001010472390",78.5,"2016-10-21","male","Unknown",38,2,40
"26","Belmont",2016-12-01,"964 001010472390",82.5,"2016-10-21","male","Unknown",38,1,42
"27","Belmont",2016-12-04,"964 001010473387",65.75,"2016-10-11","male","Unknown",38,1,55
"28","Belmont",2016-12-04,"964 001010472367",43.25,"2016-11-21","female","Belmont Red",38,1,14
"29","Belmont",2016-12-05,"964 001010473198",47.5,"2016-11-29","male","Belmont Red",38,1,7
"30","Belmont",2016-12-06,"964 001010473198",50,"2016-11-29","male","Belmont Red",38,1,8
"31","Belmont",2016-12-06,"964 001010472390",84.5,"2016-10-21","male","Unknown",38,1,47
"32","Belmont",2016-12-07,"964 001010472390",85,"2016-10-21","male","Unknown",38,1,48
"33","Belmont",2016-12-08,"964 001010472773",55.5,"2016-11-25","male","Belmont Red",38,1,14
"34","Belmont",2016-12-13,"964 001010473387",122,"2016-10-11","male","Unknown",38,1,64
"35","Belmont",2016-12-15,"964 001010472895",78,"2016-11-18","male","Belmont Red",38,1,28
"36","Belmont",2016-12-15,"964 001010472390",91,"2016-10-21","male","Unknown",38,1,56
"37","Belmont",2016-12-16,"964 001010472390",90.5,"2016-10-21","male","Unknown",38,1,57
"38","Belmont",2016-12-17,"964 001010472390",82.62,"2016-10-21","male","Unknown",38,1,58
"39","Belmont",2016-12-17,"964 001010473387",85.5,"2016-10-11","male","Unknown",38,1,68
"40","Belmont",2016-12-18,"964 001010473387",84.5,"2016-10-11","male","Unknown",38,1,69
"41","Belmont",2016-12-18,"964 001010472390",68.67,"2016-10-21","male","Unknown",38,1,59
"42","Belmont",2016-12-19,"964 001010472390",94,"2016-10-21","male","Unknown",38,1,60
"43","Belmont",2016-12-19,"964 001010472895",82.5,"2016-11-18","male","Belmont Red",38,1,32
"44","Belmont",2016-12-19,"964 001010473198",61,"2016-11-29","male","Belmont Red",38,1,21
"45","Belmont",2016-12-20,"964 001010473357",68.5,"2016-11-23","male","Belmont Red",38,1,28
"46","Belmont",2016-12-21,"964 001010473357",67,"2016-11-23","male","Belmont Red",38,1,29
"47","Belmont",2016-12-22,"964 001010473387",88,"2016-10-11","male","Unknown",38,1,73
"48","Belmont",2016-12-23,"964 001010473387",87.5,"2016-10-11","male","Unknown",38,1,74
"49","Belmont",2016-12-23,"964 001010472390",71.83,"2016-10-21","male","Unknown",38,1,64
"50","Belmont",2016-12-24,"964 001010472390",98,"2016-10-21","male","Unknown",38,1,65
"51","Belmont",2016-12-24,"964 001010473387",89.5,"2016-10-11","male","Unknown",38,1,75
"52","Belmont",2016-12-25,"964 001010473387",88.5,"2016-10-11","male","Unknown",38,1,76
"53","Belmont",2016-12-25,"964 001010472390",99,"2016-10-21","male","Unknown",38,1,66
"54","Belmont",2016-12-25,"964 001010473198",65.5,"2016-11-29","male","Belmont Red",38,1,27
"55","Belmont",2016-12-26,"964 001010473387",91,"2016-10-11","male","Unknown",38,1,77
"56","Belmont",2016-12-27,"964 001010472390",103,"2016-10-21","male","Unknown",38,1,68
"57","Belmont",2016-12-28,"964 001010473387",92.5,"2016-10-11","male","Unknown",38,1,79
"58","Belmont",2016-12-29,"964 001010473387",91.5,"2016-10-11","male","Unknown",38,1,80
"59","Belmont",2016-12-29,"964 001010473357",77,"2016-11-23","male","Belmont Red",38,1,37
"60","Belmont",2016-12-30,"964 001010473387",94.5,"2016-10-11","male","Unknown",38,1,81
"61","Belmont",2016-12-30,"964 001010472390",85,"2016-10-21","male","Unknown",38,1,71
"62","Belmont",2016-12-31,"964 001010473387",95,"2016-10-11","male","Unknown",38,1,82
"63","Belmont",2016-12-31,"964 001010472390",106,"2016-10-21","male","Unknown",38,1,72
"64","Belmont",2017-01-01,"964 001010472390",107,"2016-10-21","male","Unknown",38,3,73
"65","Belmont",2017-01-05,"964 001010472390",109,"2016-10-21","male","Unknown",38,3,77
"66","Belmont",2017-01-05,"964 001010473387",99,"2016-10-11","male","Unknown",38,3,87
"67","Belmont",2017-01-06,"964 001010472390",108,"2016-10-21","male","Unknown",38,3,78
"68","Belmont",2017-01-08,"964 001010473387",101.5,"2016-10-11","male","Unknown",38,3,90
"69","Belmont",2017-01-08,"964 001010472390",112,"2016-10-21","male","Unknown",38,3,80
"70","Belmont",2017-01-09,"964 001010472390",111,"2016-10-21","male","Unknown",38,3,81
"71","Belmont",2017-01-09,"964 001010473387",99.5,"2016-10-11","male","Unknown",38,3,91
"72","Belmont",2017-01-10,"964 001010472390",92.7,"2016-10-21","male","Unknown",38,3,82
"73","Belmont",2017-01-10,"964 001010473357",87,"2016-11-23","male","Belmont Red",38,3,49
"74","Belmont",2017-01-10,"964 001010473198",83,"2016-11-29","male","Belmont Red",38,3,43
"75","Belmont",2017-01-10,"964 001010473387",100,"2016-10-11","male","Unknown",38,3,92
"76","Belmont",2017-01-11,"964 001010472390",116,"2016-10-21","male","Unknown",38,3,83
"77","Belmont",2017-01-11,"964 001010473387",102.5,"2016-10-11","male","Unknown",38,3,93
"78","Belmont",2017-01-12,"964 001010472390",113,"2016-10-21","male","Unknown",38,3,84
"79","Belmont",2017-01-12,"964 001010473198",84.5,"2016-11-29","male","Belmont Red",38,3,45
"80","Belmont",2017-01-12,"964 001010473387",103,"2016-10-11","male","Unknown",38,3,94
"81","Belmont",2017-01-13,"964 001010473387",105,"2016-10-11","male","Unknown",38,3,95
"82","Belmont",2017-01-13,"964 001010472390",113.5,"2016-10-21","male","Unknown",38,3,85
"83","Belmont",2017-01-14,"964 001010472390",115,"2016-10-21","male","Unknown",38,3,86
"84","Belmont",2017-01-15,"964 001010473387",107,"2016-10-11","male","Unknown",38,3,97
"85","Belmont",2017-01-16,"964 001010473198",89,"2016-11-29","male","Belmont Red",38,3,49
"86","Belmont",2017-01-16,"964 001010472390",118,"2016-10-21","male","Unknown",38,3,88
"87","Belmont",2017-01-16,"964 001010472773",90.5,"2016-11-25","male","Belmont Red",38,3,53
"88","Belmont",2017-01-17,"964 001010472390",90.6,"2016-10-21","male","Unknown",38,3,89
"89","Belmont",2017-01-17,"964 001010473387",97.5,"2016-10-11","male","Unknown",38,3,99
"90","Belmont",2017-01-17,"964 001010473357",93,"2016-11-23","male","Belmont Red",38,3,56
"91","Belmont",2017-01-18,"964 001010473357",114,"2016-11-23","male","Belmont Red",38,3,57
"92","Belmont",2017-01-19,"964 001010473357",94.5,"2016-11-23","male","Belmont Red",38,3,58
"93","Belmont",2017-01-19,"964 001010472390",121,"2016-10-21","male","Unknown",38,3,91
"94","Belmont",2017-01-19,"964 001010473198",92.5,"2016-11-29","male","Belmont Red",38,3,52
"95","Belmont",2017-01-19,"964 001010473387",108,"2016-10-11","male","Unknown",38,3,101
"96","Belmont",2017-01-20,"964 001010473198",93.5,"2016-11-29","male","Belmont Red",38,3,53
"97","Belmont",2017-01-20,"964 001010473387",113.75,"2016-10-11","male","Unknown",38,3,102
"98","Belmont",2017-01-20,"964 001010472390",124,"2016-10-21","male","Unknown",38,3,92
"99","Belmont",2017-01-21,"964 001010473198",93.5,"2016-11-29","male","Belmont Red",38,3,54
"100","Belmont",2017-01-21,"964 001010472390",126.67,"2016-10-21","male","Unknown",38,3,93
"101","Belmont",2017-01-21,"964 001010473357",95.5,"2016-11-23","male","Belmont Red",38,3,60
"102","Belmont",2017-01-21,"964 001010473387",109,"2016-10-11","male","Unknown",38,3,103
"103","Belmont",2017-01-22,"964 001010473198",94.5,"2016-11-29","male","Belmont Red",38,3,55
"104","Belmont",2017-01-22,"964 001010472773",118,"2016-11-25","male","Belmont Red",38,3,59
"105","Belmont",2017-01-22,"964 001010472390",125,"2016-10-21","male","Unknown",38,3,94
"106","Belmont",2017-01-22,"964 001010473357",84.5,"2016-11-23","male","Belmont Red",38,3,61
"107","Belmont",2017-01-23,"964 001010472367",95,"2016-11-21","female","Belmont Red",38,3,64
"108","Belmont",2017-01-23,"964 001010472559",50.67,"2017-01-02","female","Belmont Red",38,3,22
"109","Belmont",2017-01-23,"964 001010473357",98.75,"2016-11-23","male","Belmont Red",38,3,62
"110","Belmont",2017-01-23,"964 001010472390",129.5,"2016-10-21","male","Unknown",38,3,95
"111","Belmont",2017-01-24,"964 001010472390",129,"2016-10-21","male","Unknown",38,3,96
"112","Belmont",2017-01-25,"964 001010473387",112,"2016-10-11","male","Unknown",38,3,107
"113","Belmont",2017-01-26,"964 001010473387",113,"2016-10-11","male","Unknown",38,3,108
"114","Belmont",2017-01-26,"964 001010472390",129,"2016-10-21","male","Unknown",38,3,98
"115","Belmont",2017-01-27,"964 001010473357",101,"2016-11-23","male","Belmont Red",38,3,66
"116","Belmont",2017-01-27,"964 001010472722",20.5,"2016-12-05","female","Belmont Red",38,3,54
"117","Belmont",2017-01-27,"964 001010473387",113,"2016-10-11","male","Unknown",38,3,109
"118","Belmont",2017-01-27,"964 001010472559",70.33,"2017-01-02","female","Belmont Red",38,3,26
"119","Belmont",2017-01-29,"964 001010473357",103,"2016-11-23","male","Belmont Red",38,3,68
"120","Belmont",2017-01-29,"964 001010472390",135,"2016-10-21","male","Unknown",38,3,101
"121","Belmont",2017-01-30,"964 001010472390",135,"2016-10-21","male","Unknown",38,3,102
"122","Belmont",2017-01-30,"964 001010473387",118.5,"2016-10-11","male","Unknown",38,3,112
"123","Belmont",2017-01-31,"964 001010472895",122,"2016-11-18","male","Belmont Red",38,3,75
"124","Belmont",2017-01-31,"964 001010473198",104,"2016-11-29","male","Belmont Red",38,3,64
"125","Belmont",2017-01-31,"964 001010473357",103,"2016-11-23","male","Belmont Red",38,3,70
"126","Belmont",2017-01-31,"964 001010473387",119,"2016-10-11","male","Unknown",38,3,113
"127","Belmont",2017-02-01,"964 001010472390",138,"2016-10-21","male","Unknown",38,1,104
"128","Belmont",2017-02-02,"964 001010473387",120,"2016-10-11","male","Unknown",38,1,115
"129","Belmont",2017-02-02,"964 001010472390",138,"2016-10-21","male","Unknown",38,1,105
"130","Belmont",2017-02-03,"964 001010472390",138,"2016-10-21","male","Unknown",38,1,106
"131","Belmont",2017-02-03,"964 001010472367",103,"2016-11-21","female","Belmont Red",38,1,75
"132","Belmont",2017-02-03,"964 001010473357",107,"2016-11-23","male","Belmont Red",38,1,73
"133","Belmont",2017-02-03,"964 001010473387",121,"2016-10-11","male","Unknown",38,1,116
"134","Belmont",2017-02-04,"964 001010473387",121,"2016-10-11","male","Unknown",38,1,117
"135","Belmont",2017-02-05,"964 001010472390",142.5,"2016-10-21","male","Unknown",38,1,108
"136","Belmont",2017-02-05,"964 001010473357",109,"2016-11-23","male","Belmont Red",38,1,75
"137","Belmont",2017-02-05,"964 001010473387",125,"2016-10-11","male","Unknown",38,1,118
"138","Belmont",2017-02-06,"964 001010473387",123,"2016-10-11","male","Unknown",38,1,119
"139","Belmont",2017-02-07,"964 001010472390",145,"2016-10-21","male","Unknown",38,1,110
"140","Belmont",2017-02-07,"964 001010473387",113.17,"2016-10-11","male","Unknown",38,1,120
"141","Belmont",2017-02-07,"964 001010473357",111,"2016-11-23","male","Belmont Red",38,1,77
"142","Belmont",2017-02-08,"964 001010472895",136,"2016-11-18","male","Belmont Red",38,1,83
"143","Belmont",2017-02-08,"964 001010473357",112,"2016-11-23","male","Belmont Red",38,1,78
"144","Belmont",2017-02-08,"964 001010473387",125.5,"2016-10-11","male","Unknown",38,1,121
"145","Belmont",2017-02-08,"964 001010472390",146,"2016-10-21","male","Unknown",38,1,111
"146","Belmont",2017-02-08,"964 001010473198",115,"2016-11-29","male","Belmont Red",38,1,72
"147","Belmont",2017-02-09,"964 001010472914",140,"2016-10-19","female","Belmont Red",38,1,114
"148","Belmont",2017-02-09,"964 001010473387",127,"2016-10-11","male","Unknown",38,1,122
"149","Belmont",2017-02-09,"964 001010472895",135,"2016-11-18","male","Belmont Red",38,1,84
"150","Belmont",2017-02-10,"964 001010472367",108,"2016-11-21","female","Belmont Red",38,1,82
"151","Belmont",2017-02-10,"964 001010472914",142,"2016-10-19","female","Belmont Red",38,1,115
"152","Belmont",2017-02-10,"964 001010473357",114,"2016-11-23","male","Belmont Red",38,1,80
"153","Belmont",2017-02-11,"964 001010472914",144,"2016-10-19","female","Belmont Red",38,1,116
"154","Belmont",2017-02-11,"964 001010473387",130,"2016-10-11","male","Unknown",38,1,124
"155","Belmont",2017-02-12,"964 001010473198",119,"2016-11-29","male","Belmont Red",38,1,76
"156","Belmont",2017-02-12,"964 001010472552",97.5,"2016-12-26","male","Belmont Red",38,1,49
"157","Belmont",2017-02-12,"964 001010472914",146.5,"2016-10-19","female","Belmont Red",38,1,117
"158","Belmont",2017-02-12,"964 001010472461",143,"2016-10-17","male","Unknown",38,1,119
"159","Belmont",2017-02-12,"964 001010472722",93.5,"2016-12-05","female","Belmont Red",38,1,70
"160","Belmont",2017-02-12,"964 001010472390",148,"2016-10-21","male","Unknown",38,1,115
"161","Belmont",2017-02-12,"964 001010473387",129,"2016-10-11","male","Unknown",38,1,125
"162","Belmont",2017-02-12,"964 001010473357",115,"2016-11-23","male","Belmont Red",38,1,82
"163","Belmont",2017-02-13,"964 001010472914",148,"2016-10-19","female","Belmont Red",38,1,118
"164","Belmont",2017-02-13,"964 001010473198",119,"2016-11-29","male","Belmont Red",38,1,77
"165","Belmont",2017-02-13,"964 001010472895",140,"2016-11-18","male","Belmont Red",38,1,88
"166","Belmont",2017-02-13,"964 001010473387",128,"2016-10-11","male","Unknown",38,1,126
"167","Belmont",2017-02-13,"964 001010472722",94,"2016-12-05","female","Belmont Red",38,1,71
"168","Belmont",2017-02-13,"964 001010473357",116,"2016-11-23","male","Belmont Red",38,1,83
"169","Belmont",2017-02-13,"964 001010472390",148,"2016-10-21","male","Unknown",38,1,116
"170","Belmont",2017-02-14,"964 001010472390",149,"2016-10-21","male","Unknown",38,1,117
"171","Belmont",2017-02-14,"964 001010472914",147,"2016-10-19","female","Belmont Red",38,1,119
"172","Belmont",2017-02-14,"964 001010473387",130,"2016-10-11","male","Unknown",38,1,127
"173","Belmont",2017-02-14,"964 001010472895",139,"2016-11-18","male","Belmont Red",38,1,89
"174","Belmont",2017-02-15,"964 001010473357",119,"2016-11-23","male","Belmont Red",38,1,85
"175","Belmont",2017-02-15,"964 001010472914",149,"2016-10-19","female","Belmont Red",38,1,120
"176","Belmont",2017-02-15,"964 001010472461",145,"2016-10-17","male","Unknown",38,1,122
"177","Belmont",2017-02-15,"964 001010472895",141,"2016-11-18","male","Belmont Red",38,1,90
"178","Belmont",2017-02-15,"964 001010472390",150,"2016-10-21","male","Unknown",38,1,118
"179","Belmont",2017-02-15,"964 001010473387",131.25,"2016-10-11","male","Unknown",38,1,128
"180","Belmont",2017-02-16,"964 001010472390",150,"2016-10-21","male","Unknown",38,1,119
"181","Belmont",2017-02-16,"964 001010473198",125,"2016-11-29","male","Belmont Red",38,1,80
"182","Belmont",2017-02-16,"964 001010473387",130,"2016-10-11","male","Unknown",38,1,129
"183","Belmont",2017-02-16,"964 001010473357",119,"2016-11-23","male","Belmont Red",38,1,86
"184","Belmont",2017-02-16,"964 001010472559",73.5,"2017-01-02","female","Belmont Red",38,1,46
"185","Belmont",2017-02-17,"964 001010472559",95,"2017-01-02","female","Belmont Red",38,1,47
