"","Date","ID","Breed","Sex","BirthDate","Age","Weight"
"40",2018-09-04,24,"Brahman","male",2018-09-04,1,48.07
"64",2018-09-05,14,"Belmont Red","female",2018-09-05,1,41.87
"66",2018-09-05,24,"Brahman","male",2018-09-04,2,48.07
"146",2018-09-06,14,"Belmont Red","female",2018-09-05,2,41.87
"153",2018-09-06,24,"Brahman","male",2018-09-04,3,48.07
"223",2018-09-07,14,"Belmont Red","female",2018-09-05,3,41.87
"226",2018-09-07,24,"Brahman","male",2018-09-04,4,48.38
"243",2018-09-08,14,"Belmont Red","female",2018-09-05,4,42.17
"274",2018-09-08,24,"Brahman","male",2018-09-04,5,48.38
"337",2018-09-09,14,"Belmont Red","female",2018-09-05,5,42.17
"347",2018-09-09,24,"Brahman","male",2018-09-04,6,48.38
"366",2018-09-10,14,"Belmont Red","female",2018-09-05,6,42.17
"398",2018-09-10,24,"Brahman","male",2018-09-04,7,52.57
"433",2018-09-11,24,"Brahman","male",2018-09-04,8,52.57
"445",2018-09-11,31,"Brahman","female",2018-09-11,1,43.28
"450",2018-09-11,56,"composite","female",2018-09-11,1,41.09
"453",2018-09-11,58,"composite","female",2018-09-11,1,41.09
"471",2018-09-11,14,"Belmont Red","female",2018-09-05,7,48.68
"482",2018-09-12,56,"composite","female",2018-09-11,2,41.09
"483",2018-09-12,57,"composite","female",2018-09-12,1,41.09
"490",2018-09-12,24,"Brahman","male",2018-09-04,9,52.57
"503",2018-09-12,31,"Brahman","female",2018-09-11,2,43.28
"506",2018-09-12,14,"Belmont Red","female",2018-09-05,8,48.68
"508",2018-09-12,58,"composite","female",2018-09-11,2,41.09
"566",2018-09-13,57,"composite","female",2018-09-12,2,41.09
"572",2018-09-13,24,"Brahman","male",2018-09-04,10,52.57
"574",2018-09-13,14,"Belmont Red","female",2018-09-05,9,48.68
"577",2018-09-13,58,"composite","female",2018-09-11,3,41.09
"587",2018-09-13,31,"Brahman","female",2018-09-11,3,43.28
"595",2018-09-13,56,"composite","female",2018-09-11,3,41.09
"606",2018-09-14,58,"composite","female",2018-09-11,4,41.39
"607",2018-09-14,14,"Belmont Red","female",2018-09-05,10,48.68
"636",2018-09-14,24,"Brahman","male",2018-09-04,11,52.57
