"","RFID","Date","Weight","stationname"
"1","900 001000731902",2020-03-04 00:00:00,368,"Anguil"
"2","900 081000633216",2020-03-04 00:00:00,411,"Anguil"
"3","900 081000633220",2020-03-04 00:00:00,576,"Anguil"
"4","900 081000633222",2020-03-04 00:00:00,437,"Anguil"
"5","900 081000633235",2020-03-04 00:00:00,433,"Anguil"
"6","900 081000633244",2020-03-04 00:00:00,540,"Anguil"
"7","900 081000633247",2020-03-04 00:00:00,467,"Anguil"
"8","900 081000633251",2020-03-04 00:00:00,473,"Anguil"
"9","900 081000633257",2020-03-04 00:00:00,556,"Anguil"
"10","900 081000633260",2020-03-04 00:00:00,475,"Anguil"
"11","900 081000637563",2020-03-04 00:00:00,392,"Anguil"
"12","900 081000637564",2020-03-04 00:00:00,660,"Anguil"
"13","900 081000637565",2020-03-04 00:00:00,423,"Anguil"
"14","900 081000637566",2020-03-04 00:00:00,516,"Anguil"
"15","900 081000637567",2020-03-04 00:00:00,485,"Anguil"
"16","900 081000637569",2020-03-04 00:00:00,450,"Anguil"
"17","900 081000637570",2020-03-04 00:00:00,489,"Anguil"
"18","900 081000637572",2020-03-04 00:00:00,588,"Anguil"
"19","900 081000637573",2020-03-04 00:00:00,626,"Anguil"
"20","900 081000637574",2020-03-04 00:00:00,486,"Anguil"
"21","900 081000637575",2020-03-04 00:00:00,594,"Anguil"
"22","900 081000637577",2020-03-04 00:00:00,520,"Anguil"
"23","900 081000637578",2020-03-04 00:00:00,441,"Anguil"
"24","900 081000637579",2020-03-04 00:00:00,427,"Anguil"
"25","900 081000637580",2020-03-04 00:00:00,400,"Anguil"
"26","900 081000637581",2020-03-04 00:00:00,506,"Anguil"
"27","900 081000637583",2020-03-04 00:00:00,475,"Anguil"
"28","900 081000637584",2020-03-04 00:00:00,401,"Anguil"
"29","900 081000637585",2020-03-04 00:00:00,528,"Anguil"
"30","900 081000637586",2020-03-04 00:00:00,449,"Anguil"
"31","900 081000637587",2020-03-04 00:00:00,479,"Anguil"
"32","900 081000637588",2020-03-04 00:00:00,480,"Anguil"
"33","900 081000637589",2020-03-04 00:00:00,536,"Anguil"
"34","900 081000637590",2020-03-04 00:00:00,448,"Anguil"
"35","900 081000637591",2020-03-04 00:00:00,536,"Anguil"
"36","900 081000637592",2020-03-04 00:00:00,520,"Anguil"
"37","900 081000637593",2020-03-04 00:00:00,329,"Anguil"
"38","900 081000637594",2020-03-04 00:00:00,461,"Anguil"
"39","900 081000637596",2020-03-04 00:00:00,417,"Anguil"
"40","900 081000637597",2020-03-04 00:00:00,504,"Anguil"
"41","900 081000637598",2020-03-04 00:00:00,347,"Anguil"
"42","900 081000637599",2020-03-04 00:00:00,526,"Anguil"
"43","900 081000637600",2020-03-04 00:00:00,528,"Anguil"
"44","900 081000637601",2020-03-04 00:00:00,516,"Anguil"
"45","900 081000637602",2020-03-04 00:00:00,512,"Anguil"
"46","900 081000637603",2020-03-04 00:00:00,436,"Anguil"
